method_id,track,rank_preholdout,feature,op,threshold,family,pre_score,train_base_roi,validation_base_roi,holdout_base_n,holdout_base_roi,holdout_base_loss_rate,holdout_removed_n,holdout_removed_wins,holdout_removed_losses,holdout_safe_n,holdout_safe_wins,holdout_safe_losses,holdout_safe_roi,holdout_safe_loss_rate,roi_change,loss_rate_change,confirmed
NFL-H096,LONG,1,adv_prior_road_miles_last2,<=,-102.51070568704984,TRAVEL_FATIGUE,1.2638571428571428,0.41733333333333344,0.275,31,0.11580645161290322,0.5161290322580645,5,1,4,26,14,12,0.2407692307692308,0.46153846153846156,0.12496277915632757,-0.05459057071960294,True
NFL-H014,LONG,2,adv_prev_travel_miles,>=,318.9181952941583,TRAVEL_FATIGUE,0.7070102687876808,0.2479245283018868,0.26634146341463416,40,0.33275,0.44999999999999996,13,6,7,27,16,11,0.4492592592592593,0.40740740740740744,0.11650925925925931,-0.042592592592592515,True
NFL-H059,LONG,2,adv_road_miles_last4_including_current,<=,-2523.2248588546827,TRAVEL_FATIGUE,1.0298386573104314,0.36742857142857144,0.316875,37,0.2424324324324324,0.45945945945945943,3,0,3,34,20,14,0.35205882352941176,0.4117647058823529,0.10962639109697936,-0.04769475357710651,True
NFL-H016,LONG,2,adv_prior_road_miles_last3,<=,156.60942255977346,TRAVEL_FATIGUE,1.09914381270903,0.3334117647058824,0.3060869565217391,45,0.2613333333333333,0.48888888888888893,20,9,11,25,14,11,0.36840000000000006,0.43999999999999995,0.10706666666666675,-0.04888888888888898,True
NFL-H091,MODERN,2,prior_road_miles_last4,>=,4036.7662769877834,TRAVEL_FATIGUE,1.6826017316017317,0.42,0.3886363636363636,37,0.1281081081081081,0.5405405405405406,3,0,3,34,17,17,0.22764705882352942,0.5,0.09953895071542132,-0.04054054054054057,True
NFL-H022,LONG,2,adv_tz_hours_last4_including_current,>=,2.0,TRAVEL_FATIGUE,0.8028983818457502,0.27730769230769237,0.5056756756756757,40,0.21100000000000002,0.5,12,5,7,28,15,13,0.3,0.4642857142857143,0.08899999999999997,-0.0357142857142857,True
NFL-H031,LONG,2,adv_prior_road_games_last4,<=,-1.0,TRAVEL_FATIGUE,0.7315512898955487,0.2530263157894737,0.2354901960784314,76,0.1828947368421053,0.5263157894736843,7,1,6,69,35,34,0.26521739130434785,0.49275362318840576,0.08232265446224254,-0.03356216628527853,True
NFL-H004,LONG,2,prior_road_games_last2,<=,0.0,TRAVEL_FATIGUE,1.6298161558687878,0.6791228070175438,0.2948648648648649,34,0.4758823529411765,0.4117647058823529,10,5,5,24,15,9,0.55625,0.375,0.08036764705882354,-0.03676470588235292,True
NFL-H069,LONG,3,short_week_le6,>=,1.0,SCHEDULE_CONTEXT,0.5122278078707525,0.15375690607734804,0.14270676691729325,136,0.11845588235294117,0.5294117647058824,21,6,15,115,58,57,0.19521739130434784,0.4956521739130435,0.07676150895140667,-0.033759590792838856,True
NFL-H003,LONG,2,prior_road_games_last2,<=,0.0,TRAVEL_FATIGUE,1.0756934284092816,0.5616455696202532,0.22529411764705878,43,0.43744186046511624,0.41860465116279066,12,6,6,31,19,12,0.5038709677419355,0.3870967741935484,0.06642910727681928,-0.03150787696924229,True
