method_id,k,stack,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,retain_train,retain_validation,pre_avg_roi,robust_score
RS003,2,injury_listed >= 12.4 | recent_edge_def_allowed_rush_epa_per_carry >= 0.112239,55,0.6545454545454545,0.6152727272727272,28,0.6785714285714286,0.5549999999999999,0.6962025316455697,0.717948717948718,0.5851363636363636,0.7070191928324838
RS003,2,opp_prior_road_miles_last3 <= 598.236 | W5-6,47,0.6382978723404256,0.6027659574468085,23,0.6956521739130435,0.5678260869565217,0.5949367088607594,0.5897435897435898,0.5852960222016651,0.7065627979790791
RS003,2,rank_edge_def_allowed_giveaway_rate >= 9.4 | opp_coachq_staff_quality_mean >= 0.708888,55,0.6,0.501090909090909,27,0.7407407407407407,0.6837037037037036,0.6962025316455697,0.6923076923076923,0.5923973063973063,0.7034958300958298
RS003,2,rank_edge_def_allowed_giveaway_rate >= 9.4 | injury_listed >= 12.4,58,0.603448275862069,0.5074137931034483,25,0.72,0.6624000000000001,0.7341772151898734,0.6410256410256411,0.5849068965517241,0.695472148541114
RS003,2,opp_coachq_staff_quality_mean >= 0.708888 | adv_road_miles_last5_including_current <= -908.14,54,0.6296296296296297,0.5694444444444444,26,0.6923076923076923,0.5634615384615385,0.6835443037974683,0.6666666666666666,0.5664529914529914,0.6889743589743589
RS003,2,rank_edge_def_allowed_giveaway_rate >= 9.4 | recent_edge_def_allowed_rush_epa_per_carry >= 0.112239,48,0.6458333333333334,0.585625,28,0.6785714285714286,0.5510714285714285,0.6075949367088608,0.717948717948718,0.5683482142857142,0.6866564195298372
RS003,2,adv_road_miles_last5_including_current <= -908.14 | W5-5,57,0.6140350877192983,0.531578947368421,24,0.7083333333333334,0.6041666666666666,0.7215189873417721,0.6153846153846154,0.5678728070175438,0.6824856612685559
RS003,2,rank_edge_def_allowed_giveaway_rate >= 9.4 | W5-5,58,0.603448275862069,0.5051724137931034,28,0.7142857142857143,0.6307142857142857,0.7341772151898734,0.717948717948718,0.5679433497536945,0.6802823039029935
RS003,2,recent_edge_def_allowed_rush_epa_per_carry >= 0.112239 | W5-6,54,0.6111111111111112,0.5231481481481481,27,0.7037037037037037,0.6048148148148149,0.6835443037974683,0.6923076923076923,0.5639814814814815,0.6788396624472574
RS003,2,opp_coachq_staff_quality_mean >= 0.708888 | opp_prior_road_miles_last3 <= 598.236,45,0.6444444444444445,0.6248888888888888,24,0.6666666666666666,0.5025,0.569620253164557,0.6153846153846154,0.5636944444444444,0.6709497187060477
RS003,2,adv_road_miles_last5_including_current <= -908.14 | recent_edge_def_allowed_rush_epa_per_carry >= 0.112239,49,0.6530612244897959,0.5979591836734695,24,0.6666666666666666,0.51125,0.620253164556962,0.6153846153846154,0.5546045918367347,0.6651120486656201
RS003,2,recent_edge_def_allowed_giveaway_rate >= 0.00871904 | rank_edge_def_allowed_giveaway_rate >= 9.4,48,0.6041666666666666,0.4966666666666666,30,0.7,0.5936666666666667,0.6075949367088608,0.7692307692307693,0.5451666666666666,0.6522903481012657
RS003,2,opp_coachq_staff_quality_mean >= 0.708888 | recent_edge_def_allowed_rush_epa_per_carry >= 0.112239,53,0.6226415094339622,0.5324528301886792,30,0.6666666666666666,0.513,0.6708860759493671,0.7692307692307693,0.5227264150943396,0.63479262001433
RS003,2,injury_listed >= 12.4 | W5-6,62,0.5967741935483871,0.5091935483870967,27,0.6666666666666666,0.5355555555555556,0.7848101265822784,0.6923076923076923,0.5223745519713261,0.633934105321202
RS003,2,recent_edge_def_allowed_rush_epa_per_carry >= 0.112239 | W5-5,57,0.6140350877192983,0.5178947368421053,30,0.6666666666666666,0.5196666666666666,0.7215189873417721,0.7692307692307693,0.518780701754386,0.6332157450588497
RS003,2,opp_coachq_staff_quality_mean >= 0.708888 | W5-6,58,0.5862068965517241,0.4818965517241379,29,0.6896551724137931,0.5641379310344827,0.7341772151898734,0.7435897435897436,0.5230172413793104,0.6305597992143169
RS003,2,opp_prior_road_miles_last3 <= 598.236 | W5-5,49,0.6122448979591837,0.5373469387755102,24,0.6666666666666666,0.5025,0.620253164556962,0.6153846153846154,0.519923469387755,0.6280686813186812
RS003,2,opp_coachq_staff_quality_mean >= 0.708888 | injury_listed >= 12.4,62,0.5967741935483871,0.49258064516129035,29,0.6551724137931034,0.5006896551724138,0.7848101265822784,0.7435897435897436,0.4966351501668521,0.6062381706169249
