method_id,season,n,wins,win_rate,roi,units,active_seasons,positive_seasons,negative_seasons,max_negative_streak,roi_se
NFL-U368,2015,10,5,0.5,0.11299999999999999,1.13,1,1,0,0,0.3754938969765909
NFL-U368,2016,18,8,0.4444444444444444,0.13333333333333336,2.4000000000000004,1,1,0,0,0.31014965816121154
NFL-U368,2017,9,4,0.4444444444444444,-0.0344444444444444,-0.3099999999999996,1,0,1,1,0.38202352716638016
NFL-U368,2018,8,3,0.375,-0.04749999999999999,-0.3799999999999999,1,0,1,1,0.4660883959692011
NFL-U368,2019,10,6,0.6,0.409,4.09,1,1,0,0,0.38886858677164676
NFL-U368,2020,10,4,0.4,-0.061999999999999986,-0.6199999999999999,1,0,1,1,0.38393517971426144
NFL-U368,2021,10,8,0.8,0.8299999999999998,8.299999999999999,1,1,0,0,0.31444837060760505
NFL-U368,2022,9,3,0.3333333333333333,-0.23111111111111113,-2.08,1,0,1,1,0.3867688243082554
NFL-U368,2023,9,3,0.3333333333333333,-0.20222222222222225,-1.8200000000000003,1,0,1,1,0.39967270560414586
NFL-U368,2024,11,7,0.6363636363636364,0.5145454545454545,5.66,1,1,0,0,0.3640688337423012
NFL-U368,2025,9,5,0.5555555555555556,0.25666666666666665,2.31,1,1,0,0,0.4011718944403868
NFL-U369,2006,18,11,0.6111111111111112,0.5294444444444444,9.53,1,1,0,0,0.2978961878026216
NFL-U369,2007,5,2,0.4,-0.05999999999999996,-0.2999999999999998,1,0,1,1,0.5756648330408938
NFL-U369,2008,11,6,0.5454545454545454,0.34454545454545454,3.79,1,1,0,0,0.3889481471314972
NFL-U369,2009,5,4,0.8,0.9739999999999999,4.869999999999999,1,1,0,0,0.5002659292816171
NFL-U369,2010,16,7,0.4375,0.06874999999999998,1.0999999999999996,1,1,0,0,0.316883094899891
NFL-U369,2011,12,5,0.4166666666666667,-0.10666666666666667,-1.28,1,0,1,1,0.31922333146801063
NFL-U369,2012,8,4,0.5,0.17124999999999999,1.3699999999999999,1,1,0,0,0.4505252391059002
NFL-U369,2013,11,4,0.36363636363636365,-0.11818181818181821,-1.3000000000000003,1,0,1,1,0.3700536034434574
NFL-U369,2014,12,8,0.6666666666666666,0.5575,6.6899999999999995,1,1,0,0,0.33429964104078846
NFL-U369,2015,13,5,0.38461538461538464,-0.08153846153846155,-1.06,1,0,1,1,0.33819817842434685
