result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,h1,h2,height_diff,height_gap,taller_is_p1,p1_won,taller_won,shorter_won,pair_key,market_prob,favorite_decimal_odds,market_fav_won,market_fav_taller,american_odds
W,Sean O'Malley,Kris Moutinho,http://ufcstats.com/fighter-details/b50a426a33da0012,http://ufcstats.com/fighter-details/9c27f3217891f3f0,Bantamweight Bout,KO/TKO,3,4:33,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Sugar,--,2021-07-10,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8a0be41c0380188d,1,0.0,0.0,,,77 of 106,70 of 98,83 of 114,,,77 of 106,70 of 98,83 of 114,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:04,0:00,0:00,,,0,0.0,0.0,,,24 of 72,19 of 68,27 of 78,,,24 of 72,19 of 68,27 of 78,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:09,0:00,,,59 of 88,53 of 75,65 of 92,,,15 of 15,15 of 21,15 of 19,,,3 of 3,2 of 2,3 of 3,,,77 of 105,68 of 95,83 of 114,,,0 of 0,2 of 3,0 of 0,,,0 of 1,0 of 0,0 of 0,,,11 of 55,12 of 54,16 of 59,,,2 of 5,4 of 10,1 of 7,,,11 of 12,3 of 4,10 of 12,,,24 of 72,18 of 67,27 of 78,,,0 of 0,1 of 1,0 of 0,,,0 of 0,0 of 0,0 of 0,,,Bantamweight,W,71.0,67.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/9c27f3217891f3f0|http://ufcstats.com/fighter-details/b50a426a33da0012,0.860759493670886,1.1,True,True,-999.9999999999991
W,Amanda Lemos,Montserrat Conejo Ruiz,http://ufcstats.com/fighter-details/3df5493bb279226f,http://ufcstats.com/fighter-details/1235b31de15d0c6e,Women's Strawweight Bout,KO/TKO,1,0:35,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,--,--,2021-07-17,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/40389d39a92f5bfa,1,,,,,7 of 13,,,,,7 of 13,,,,,0 of 0,,,,,0,,,,,0,,,,,0:04,,,,,0,,,,,3 of 7,,,,,3 of 7,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,6 of 11,,,,,1 of 2,,,,,0 of 0,,,,,6 of 12,,,,,0 of 0,,,,,1 of 1,,,,,2 of 6,,,,,1 of 1,,,,,0 of 0,,,,,3 of 7,,,,,0 of 0,,,,,0 of 0,,,,,Women's Strawweight,W,64.0,60.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/1235b31de15d0c6e|http://ufcstats.com/fighter-details/3df5493bb279226f,0.8209718670076726,1.1666666666666667,True,True,-599.9999999999998
W,Shavkat Rakhmonov,Michel Prazeres,http://ufcstats.com/fighter-details/01afe0916a40c7c5,http://ufcstats.com/fighter-details/e51fcd9cd84c0b93,Welterweight Bout,Submission,2,2:10,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke,Nomad,Tractor,2021-06-26,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/a1d6b308781aa2f5,0,0.0,,,,10 of 17,11 of 18,,,,46 of 54,18 of 27,,,,1 of 1,0 of 0,,,,0,1.0,,,,0,0.0,,,,2:23,1:02,,,,0,0.0,,,,5 of 10,1 of 4,,,,31 of 36,1 of 4,,,,0 of 2,0 of 1,,,,0,0.0,,,,0,0.0,,,,0:54,0:04,,,,6 of 11,9 of 15,,,,4 of 5,2 of 3,,,,0 of 1,0 of 0,,,,4 of 9,6 of 11,,,,4 of 4,0 of 0,,,,2 of 4,5 of 7,,,,1 of 5,0 of 1,,,,0 of 1,0 of 1,,,,4 of 4,1 of 2,,,,5 of 10,1 of 4,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,Welterweight,W,73.0,66.0,7.0,7.0,True,True,True,False,http://ufcstats.com/fighter-details/01afe0916a40c7c5|http://ufcstats.com/fighter-details/e51fcd9cd84c0b93,0.7161380760469599,1.3278688524590163,True,True,-305.00000000000006
W,Ben Rothwell,Chris Barnett,http://ufcstats.com/fighter-details/bd58d34e39b7b12a,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,Heavyweight Bout,Submission,2,2:07,3 Rnd (5-5-5),Mark Smith,Guillotine Choke From Side Control,--,Beastboy,2021-05-22,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/277ffed20cf07aea,0,0.0,,,,30 of 51,30 of 50,,,,42 of 70,30 of 50,,,,1 of 1,0 of 0,,,,1,1.0,,,,0,0.0,,,,1:48,0:15,,,,0,0.0,,,,16 of 43,17 of 42,,,,17 of 44,17 of 42,,,,0 of 0,0 of 1,,,,0,0.0,,,,0,0.0,,,,0:02,0:00,,,,20 of 41,27 of 47,,,,8 of 8,2 of 2,,,,2 of 2,1 of 1,,,,24 of 44,30 of 50,,,,6 of 7,0 of 0,,,,0 of 0,0 of 0,,,,10 of 35,10 of 34,,,,1 of 2,3 of 3,,,,5 of 6,4 of 5,,,,14 of 39,17 of 42,,,,2 of 4,0 of 0,,,,0 of 0,0 of 0,,,,Heavyweight,W,76.0,69.0,7.0,7.0,True,True,True,False,http://ufcstats.com/fighter-details/7a5e8c94a86f9895|http://ufcstats.com/fighter-details/bd58d34e39b7b12a,0.7490483575355985,1.289855072463768,True,True,-345.00000000000006
W,Manon Fiorot,Tabatha Ricci,http://ufcstats.com/fighter-details/34ff304266360297,http://ufcstats.com/fighter-details/d25240135aee03e5,Women's Flyweight Bout,KO/TKO,2,3:00,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,The Beast,Baby Shark,2021-06-05,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/3b2485c8d5c8b580,0,1.0,,,,31 of 80,53 of 92,,,,31 of 80,54 of 93,,,,0 of 0,1 of 1,,,,0,0.0,,,,0,0.0,,,,0:00,0:40,,,,0,0.0,,,,11 of 63,6 of 27,,,,11 of 63,6 of 28,,,,0 of 1,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:00,0:00,,,,22 of 70,46 of 84,,,,4 of 5,4 of 5,,,,5 of 5,3 of 3,,,,30 of 79,31 of 61,,,,1 of 1,16 of 23,,,,0 of 0,6 of 8,,,,6 of 51,0 of 18,,,,2 of 7,3 of 5,,,,3 of 5,3 of 4,,,,11 of 63,5 of 26,,,,0 of 0,1 of 1,,,,0 of 0,0 of 0,,,,Women's Flyweight,W,67.0,61.0,6.0,6.0,True,True,True,False,http://ufcstats.com/fighter-details/34ff304266360297|http://ufcstats.com/fighter-details/d25240135aee03e5,0.7473182359952325,1.606060606060606,True,True,-165.00000000000003
W,Giga Chikadze,Cub Swanson,http://ufcstats.com/fighter-details/9560ff14eb3129f7,http://ufcstats.com/fighter-details/d247691a6c0e9034,Featherweight Bout,KO/TKO,1,1:03,3 Rnd (5-5-5),Jason Herzog,Kick to Body At Distance,Ninja,--,2021-05-01,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d57e6a8971b6d2bd,1,,,,,12 of 18,,,,,12 of 18,,,,,0 of 0,,,,,0,,,,,0,,,,,0:05,,,,,0,,,,,4 of 6,,,,,4 of 6,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,9 of 14,,,,,2 of 3,,,,,1 of 1,,,,,7 of 11,,,,,0 of 0,,,,,5 of 7,,,,,1 of 1,,,,,0 of 0,,,,,3 of 5,,,,,4 of 6,,,,,0 of 0,,,,,0 of 0,,,,,Featherweight,W,72.0,68.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/9560ff14eb3129f7|http://ufcstats.com/fighter-details/d247691a6c0e9034,0.6581196581196581,1.4545454545454546,True,True,-219.99999999999997
W,Mana Martinez,Guido Cannetti,http://ufcstats.com/fighter-details/c0386644627a7ee5,http://ufcstats.com/fighter-details/d05412b513b19621,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 28 - 29. Adalaide Byrd 29 - 28. Junichiro Kamijo 28 - 29.,ManaBoi,Ninja,2021-08-28,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/0db9d2486d564a3c,0,0.0,0.0,,,19 of 32,24 of 51,36 of 74,,,21 of 35,24 of 51,43 of 83,,,1 of 2,0 of 0,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:14,0:00,0:53,,,0,0.0,0.0,,,27 of 37,23 of 40,16 of 32,,,28 of 38,23 of 40,17 of 33,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,1,0.0,0.0,,,0:28,0:00,0:00,,,8 of 20,8 of 29,19 of 49,,,8 of 8,11 of 16,12 of 20,,,3 of 4,5 of 6,5 of 5,,,19 of 32,24 of 51,29 of 64,,,0 of 0,0 of 0,3 of 4,,,0 of 0,0 of 0,4 of 6,,,5 of 11,8 of 22,8 of 24,,,6 of 9,4 of 7,3 of 3,,,16 of 17,11 of 11,5 of 5,,,25 of 34,23 of 40,16 of 31,,,0 of 0,0 of 0,0 of 1,,,2 of 3,0 of 0,0 of 0,,,Bantamweight,W,70.0,66.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/c0386644627a7ee5|http://ufcstats.com/fighter-details/d05412b513b19621,0.7191400832177531,1.3278688524590163,True,True,-305.00000000000006
W,Sean Woodson,Collin Anglin,http://ufcstats.com/fighter-details/4682bc59d5f55145,http://ufcstats.com/fighter-details/047a91d3d9c79b05,Featherweight Bout,KO/TKO,1,4:30,3 Rnd (5-5-5),Herb Dean,Punches to Body At Distance,The Sniper,--,2021-11-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/b5abaa65f87938eb,1,,,,,50 of 98,,,,,59 of 107,,,,,0 of 0,,,,,0,,,,,0,,,,,0:22,,,,,0,,,,,8 of 40,,,,,8 of 40,,,,,0 of 1,,,,,0,,,,,0,,,,,0:13,,,,,23 of 61,,,,,17 of 26,,,,,10 of 11,,,,,48 of 95,,,,,2 of 2,,,,,0 of 1,,,,,4 of 26,,,,,2 of 10,,,,,2 of 4,,,,,8 of 40,,,,,0 of 0,,,,,0 of 0,,,,,Featherweight,W,74.0,69.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/047a91d3d9c79b05|http://ufcstats.com/fighter-details/4682bc59d5f55145,0.7619047619047619,1.25,True,True,-400.0
W,Katlyn Chookagian,Jennifer Maia,http://ufcstats.com/fighter-details/e872e9a9a902c045,http://ufcstats.com/fighter-details/8e1f36476ef02a6a,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 27 - 30. Sal D'amato 27 - 30. Adalaide Byrd 27 - 30.,Blonde Fighter,--,2022-01-15,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/f5585e675af7afd4,0,0.0,0.0,,,16 of 41,20 of 51,36 of 85,,,24 of 50,21 of 53,36 of 85,,,1 of 1,0 of 3,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,2:14,1:20,0:00,,,0,0.0,0.0,,,14 of 32,15 of 49,23 of 90,,,19 of 37,17 of 52,24 of 91,,,0 of 0,0 of 2,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:08,0:33,0:00,,,8 of 32,10 of 35,26 of 69,,,6 of 7,8 of 13,7 of 12,,,2 of 2,2 of 3,3 of 4,,,15 of 40,17 of 46,36 of 85,,,1 of 1,3 of 5,0 of 0,,,0 of 0,0 of 0,0 of 0,,,7 of 23,9 of 40,15 of 80,,,1 of 1,2 of 4,2 of 3,,,6 of 8,4 of 5,6 of 7,,,14 of 32,12 of 46,22 of 89,,,0 of 0,3 of 3,1 of 1,,,0 of 0,0 of 0,0 of 0,,,Women's Flyweight,W,69.0,64.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/8e1f36476ef02a6a|http://ufcstats.com/fighter-details/e872e9a9a902c045,0.6507042253521126,1.4761904761904765,True,True,-209.99999999999986
L,Brendan Allen,Chris Curtis,http://ufcstats.com/fighter-details/2f181c0467965b98,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,Middleweight Bout,KO/TKO,2,1:58,3 Rnd (5-5-5),Herb Dean,Knees to Body In Clinch,All In,Action-Man,2021-12-04,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/509697e08673d2e5,0,0.0,,,,22 of 45,21 of 26,,,,23 of 46,21 of 26,,,,0 of 2,0 of 1,,,,1,0.0,,,,0,0.0,,,,0:18,0:00,,,,0,1.0,,,,31 of 49,30 of 41,,,,34 of 55,30 of 41,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:26,0:17,,,,11 of 33,15 of 20,,,,6 of 6,4 of 4,,,,5 of 6,2 of 2,,,,22 of 44,17 of 22,,,,0 of 1,4 of 4,,,,0 of 0,0 of 0,,,,22 of 39,16 of 26,,,,6 of 7,14 of 15,,,,3 of 3,0 of 0,,,,29 of 46,20 of 30,,,,0 of 0,10 of 10,,,,2 of 3,0 of 1,,,,Middleweight,L,74.0,70.0,4.0,4.0,True,False,False,True,http://ufcstats.com/fighter-details/2f181c0467965b98|http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,0.7489200863930886,1.273972602739726,False,True,-365.0
W,Clay Guida,Leonardo Santos,http://ufcstats.com/fighter-details/c47df9303d318c67,http://ufcstats.com/fighter-details/9c65736747ca92ec,Lightweight Bout,Submission,2,1:21,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke,The Carpenter,--,2021-12-04,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/509697e08673d2e5,0,0.0,,,,8 of 30,10 of 20,,,,34 of 57,16 of 30,,,,1 of 4,1 of 3,,,,0,1.0,,,,0,0.0,,,,1:11,0:58,,,,1,0.0,,,,39 of 58,2 of 2,,,,63 of 90,2 of 2,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,1:01,0:00,,,,6 of 27,2 of 12,,,,1 of 1,5 of 5,,,,1 of 2,3 of 3,,,,5 of 26,2 of 12,,,,0 of 1,0 of 0,,,,3 of 3,8 of 8,,,,21 of 38,1 of 1,,,,16 of 18,1 of 1,,,,2 of 2,0 of 0,,,,11 of 19,2 of 2,,,,16 of 23,0 of 0,,,,12 of 16,0 of 0,,,,Lightweight,W,67.0,72.0,-5.0,5.0,False,True,False,True,http://ufcstats.com/fighter-details/9c65736747ca92ec|http://ufcstats.com/fighter-details/c47df9303d318c67,0.6581196581196581,1.4545454545454546,False,True,-219.99999999999997
W,Alexander Volkov,Marcin Tybura,http://ufcstats.com/fighter-details/279566840aa55bf2,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Vito Paolillo 27 - 30. Darryl Ransom 27 - 30. Clemens Werner 28 - 29.,Drago,Tybur,2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/3974fa35c917af1d,0,0.0,0.0,,,20 of 38,22 of 43,33 of 58,,,31 of 49,23 of 44,35 of 60,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,1:38,0:06,0:16,,,0,0.0,0.0,,,9 of 35,28 of 63,21 of 41,,,14 of 41,35 of 70,24 of 46,,,0 of 3,0 of 7,0 of 6,,,0,0.0,0.0,,,0,0.0,0.0,,,0:25,0:49,0:47,,,15 of 33,14 of 35,24 of 49,,,4 of 4,8 of 8,6 of 6,,,1 of 1,0 of 0,3 of 3,,,16 of 33,14 of 35,24 of 46,,,1 of 2,8 of 8,9 of 12,,,3 of 3,0 of 0,0 of 0,,,5 of 30,19 of 52,15 of 35,,,2 of 3,9 of 10,4 of 4,,,2 of 2,0 of 1,2 of 2,,,7 of 32,20 of 51,20 of 38,,,2 of 3,8 of 12,1 of 3,,,0 of 0,0 of 0,0 of 0,,,Heavyweight,W,79.0,75.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/279566840aa55bf2|http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,0.6912521440823327,1.3846153846153846,True,True,-260.0
W,Alex Pereira,Andreas Michailidis,http://ufcstats.com/fighter-details/e5549c82bfb5582d,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4,Middleweight Bout,KO/TKO,2,0:18,3 Rnd (5-5-5),Dan Miragliotta,Flying Knee Head,Poatan,The Spartan,2021-11-06,"New York City, New York, USA",http://ufcstats.com/event-details/48e093ea1f43a053,0,1.0,,,,9 of 14,2 of 4,,,,23 of 29,2 of 4,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:00,0:04,,,,0,0.0,,,,3 of 10,0 of 1,,,,11 of 18,0 of 1,,,,2 of 7,0 of 0,,,,0,0.0,,,,0,0.0,,,,3:59,0:00,,,,2 of 6,2 of 4,,,,5 of 6,0 of 0,,,,2 of 2,0 of 0,,,,3 of 7,1 of 2,,,,6 of 7,0 of 0,,,,0 of 0,1 of 2,,,,3 of 6,0 of 0,,,,0 of 2,0 of 0,,,,0 of 2,0 of 1,,,,0 of 4,0 of 1,,,,2 of 5,0 of 0,,,,1 of 1,0 of 0,,,,Middleweight,W,76.0,72.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4|http://ufcstats.com/fighter-details/e5549c82bfb5582d,0.7054263565891473,1.3571428571428572,True,True,-279.99999999999994
W,Montel Jackson,JP Buys,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d,http://ufcstats.com/fighter-details/0b362247806341e5,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 27 - 30. Derek Cleary 27 - 30. Sal D'amato 27 - 30.,Quik,Young Savage,2021-09-18,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4c27ca8c8481f79a,0,2.0,2.0,,,8 of 12,7 of 12,10 of 19,,,27 of 34,21 of 30,43 of 53,,,2 of 2,2 of 3,0 of 0,,,1,0.0,0.0,,,0,0.0,0.0,,,2:36,4:07,3:20,,,0,0.0,0.0,,,3 of 8,2 of 6,3 of 10,,,9 of 15,14 of 20,16 of 25,,,1 of 4,0 of 1,0 of 2,,,2,1.0,0.0,,,0,0.0,0.0,,,1:20,0:00,0:00,,,4 of 8,5 of 10,9 of 18,,,4 of 4,2 of 2,1 of 1,,,0 of 0,0 of 0,0 of 0,,,1 of 2,5 of 6,5 of 9,,,4 of 5,2 of 3,0 of 0,,,3 of 5,0 of 3,5 of 10,,,1 of 4,1 of 2,1 of 4,,,1 of 3,1 of 4,2 of 6,,,1 of 1,0 of 0,0 of 0,,,1 of 6,2 of 6,3 of 10,,,1 of 1,0 of 0,0 of 0,,,1 of 1,0 of 0,0 of 0,,,Bantamweight,W,70.0,65.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/0b362247806341e5|http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d,0.8259833134684148,1.1587301587301586,True,True,-630.0000000000005
L,Chris Barnett,Martin Buday,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,http://ufcstats.com/fighter-details/8eb046f83e82bf26,Heavyweight Bout,Decision - Unanimous,3,1:38,3 Rnd (5-5-5),Dan Miragliotta,Technical Decision,Beastboy,Badys,2022-04-16,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8753e125f4499816,0,0.0,0.0,,,9 of 24,10 of 24,4 of 4,,,17 of 32,20 of 34,7 of 7,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:17,0:00,,,0,0.0,1.0,,,20 of 29,25 of 38,11 of 16,,,45 of 58,66 of 83,20 of 31,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,3:15,3:08,1:21,,,4 of 17,5 of 18,3 of 3,,,3 of 4,3 of 4,0 of 0,,,2 of 3,2 of 2,1 of 1,,,6 of 20,8 of 21,2 of 2,,,3 of 4,2 of 3,2 of 2,,,0 of 0,0 of 0,0 of 0,,,8 of 17,13 of 25,9 of 14,,,11 of 11,12 of 13,2 of 2,,,1 of 1,0 of 0,0 of 0,,,10 of 18,11 of 22,2 of 4,,,10 of 11,14 of 16,5 of 5,,,0 of 0,0 of 0,4 of 7,,,Heavyweight,L,69.0,76.0,-7.0,7.0,False,False,True,False,http://ufcstats.com/fighter-details/7a5e8c94a86f9895|http://ufcstats.com/fighter-details/8eb046f83e82bf26,0.7191400832177531,1.3278688524590163,True,True,-305.00000000000006
W,Alex Pereira,Bruno Silva,http://ufcstats.com/fighter-details/e5549c82bfb5582d,http://ufcstats.com/fighter-details/12ebd7d157e91701,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 27 - 30. Rick Winter 27 - 30. Junichiro Kamijo 27 - 30.,Poatan,Blindado,2022-03-12,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/1f9344211ca7fd60,0,0.0,0.0,,,27 of 51,33 of 58,48 of 70,,,31 of 55,53 of 79,81 of 105,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:07,1:10,,,0,0.0,0.0,,,16 of 46,31 of 64,12 of 37,,,19 of 49,32 of 65,21 of 46,,,1 of 1,1 of 2,0 of 5,,,0,0.0,0.0,,,0,0.0,0.0,,,0:48,1:10,1:17,,,10 of 28,19 of 41,31 of 51,,,11 of 16,13 of 16,17 of 18,,,6 of 7,1 of 1,0 of 1,,,23 of 45,30 of 53,33 of 53,,,4 of 6,3 of 4,15 of 17,,,0 of 0,0 of 1,0 of 0,,,10 of 40,20 of 49,9 of 30,,,2 of 2,6 of 10,0 of 4,,,4 of 4,5 of 5,3 of 3,,,13 of 42,27 of 57,12 of 35,,,3 of 4,4 of 7,0 of 2,,,0 of 0,0 of 0,0 of 0,,,Middleweight,W,76.0,72.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/12ebd7d157e91701|http://ufcstats.com/fighter-details/e5549c82bfb5582d,0.6581196581196581,1.4545454545454546,True,True,-219.99999999999997
L,Gilbert Burns,Khamzat Chimaev,http://ufcstats.com/fighter-details/23024fdfc966410a,http://ufcstats.com/fighter-details/767755fd74662dbf,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Troy Wincapaw 28 - 29. Chris Lee 28 - 29. Eric Colon 28 - 29.,Durinho,Borz,2022-04-09,"Jacksonville, Florida, USA",http://ufcstats.com/event-details/3a97fda0de6f1fa4,0,0.0,0.0,,,18 of 42,56 of 90,45 of 68,,,29 of 53,63 of 98,49 of 72,,,0 of 0,0 of 3,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:02,0:04,,,1,0.0,0.0,,,27 of 54,37 of 75,44 of 94,,,39 of 66,41 of 79,44 of 94,,,1 of 2,1 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,1:44,0:10,0:29,,,11 of 34,45 of 76,33 of 56,,,5 of 5,7 of 9,10 of 10,,,2 of 3,4 of 5,2 of 2,,,14 of 38,43 of 75,42 of 65,,,1 of 1,5 of 6,3 of 3,,,3 of 3,8 of 9,0 of 0,,,15 of 40,29 of 64,40 of 87,,,7 of 9,4 of 7,3 of 6,,,5 of 5,4 of 4,1 of 1,,,13 of 31,36 of 72,38 of 88,,,4 of 4,1 of 3,6 of 6,,,10 of 19,0 of 0,0 of 0,,,Welterweight,L,70.0,74.0,-4.0,4.0,False,False,True,False,http://ufcstats.com/fighter-details/23024fdfc966410a|http://ufcstats.com/fighter-details/767755fd74662dbf,0.798845836768343,1.196078431372549,True,True,-510.00000000000006
