method_id,split,week,n,wins,losses,win_pct,roi,units
CO061,HOLDOUT,7,1,0,1,0.0,-1.0,-1.0
CO061,HOLDOUT,8,1,1,0,1.0,1.96,1.96
CO061,HOLDOUT,9,3,1,2,0.3333333333333333,0.32,0.96
CO061,HOLDOUT,10,0,0,0,,,0.0
CO061,HOLDOUT,11,2,1,1,0.5,1.385,2.77
CO061,HOLDOUT,12,3,0,3,0.0,-1.0,-3.0
CO061,HOLDOUT,13,0,0,0,,,0.0
CO061,HOLDOUT,14,2,1,1,0.5,0.6000000000000001,1.2000000000000002
CO061,HOLDOUT,15,4,3,1,0.75,1.3725,5.49
CO061,HOLDOUT,16,4,2,2,0.5,1.0125,4.05
CO061,HOLDOUT,17,1,0,1,0.0,-1.0,-1.0
CO061,HOLDOUT,18,1,0,1,0.0,-1.0,-1.0
CO017,ALL,4,11,4,7,0.36363636363636365,-0.0827272727272727,-0.9099999999999997
CO017,ALL,5,8,4,4,0.5,0.29874999999999996,2.3899999999999997
CO017,ALL,6,12,8,4,0.6666666666666666,0.6216666666666667,7.46
CO017,ALL,7,13,7,6,0.5384615384615384,0.28076923076923077,3.6500000000000004
CO017,ALL,8,5,1,4,0.2,-0.49399999999999994,-2.4699999999999998
CO017,ALL,9,11,5,6,0.45454545454545453,0.13909090909090913,1.5300000000000005
CO017,ALL,10,10,6,4,0.6,0.5130000000000001,5.130000000000001
CO017,ALL,11,8,5,3,0.625,0.5425,4.34
CO017,ALL,12,14,9,5,0.6428571428571429,0.6257142857142856,8.759999999999998
CO017,ALL,13,9,2,7,0.2222222222222222,-0.4766666666666667,-4.29
CO017,ALL,14,10,5,5,0.5,0.267,2.67
CO017,ALL,15,8,3,5,0.375,-0.0050000000000000044,-0.040000000000000036
CO017,ALL,16,15,6,9,0.4,0.017333333333333333,0.26
CO017,ALL,17,7,3,4,0.42857142857142855,0.10142857142857142,0.71
CO017,ALL,18,5,1,4,0.2,-0.492,-2.46
CO017,TRAIN,4,2,1,1,0.5,0.15500000000000003,0.31000000000000005
CO017,TRAIN,5,3,1,2,0.3333333333333333,-0.18333333333333335,-0.55
CO017,TRAIN,6,3,3,0,1.0,1.5599999999999998,4.68
CO017,TRAIN,7,1,0,1,0.0,-1.0,-1.0
CO017,TRAIN,8,2,0,2,0.0,-1.0,-2.0
CO017,TRAIN,9,2,1,1,0.5,0.4,0.8
CO017,TRAIN,10,4,2,2,0.5,0.32000000000000006,1.2800000000000002
CO017,TRAIN,11,1,0,1,0.0,-1.0,-1.0
CO017,TRAIN,12,6,4,2,0.6666666666666666,0.6266666666666666,3.76
CO017,TRAIN,13,4,1,3,0.25,-0.3975,-1.59
CO017,TRAIN,14,3,0,3,0.0,-1.0,-3.0
CO017,TRAIN,15,2,2,0,1.0,1.78,3.56
CO017,TRAIN,16,6,3,3,0.5,0.24833333333333332,1.49
CO017,TRAIN,17,1,0,1,0.0,-1.0,-1.0
CO017,TRAIN,18,0,0,0,,,0.0
CO017,VALIDATION,4,5,1,4,0.2,-0.48200000000000004,-2.41
CO017,VALIDATION,5,3,3,0,1.0,1.6466666666666665,4.9399999999999995
CO017,VALIDATION,6,6,4,2,0.6666666666666666,0.5816666666666667,3.49
CO017,VALIDATION,7,5,3,2,0.6,0.45199999999999996,2.26
CO017,VALIDATION,8,3,1,2,0.3333333333333333,-0.15666666666666665,-0.47
CO017,VALIDATION,9,3,1,2,0.3333333333333333,-0.12999999999999998,-0.3899999999999999
CO017,VALIDATION,10,3,3,0,1.0,1.36,4.08
CO017,VALIDATION,11,3,2,1,0.6666666666666666,0.6733333333333333,2.02
CO017,VALIDATION,12,4,1,3,0.25,-0.355,-1.42
CO017,VALIDATION,13,3,0,3,0.0,-1.0,-3.0
CO017,VALIDATION,14,4,3,1,0.75,0.9425000000000001,3.7700000000000005
CO017,VALIDATION,15,4,0,4,0.0,-1.0,-4.0
CO017,VALIDATION,16,6,2,4,0.3333333333333333,-0.1433333333333333,-0.8599999999999999
CO017,VALIDATION,17,3,2,1,0.6666666666666666,0.7133333333333334,2.14
CO017,VALIDATION,18,0,0,0,,,0.0
CO017,HOLDOUT,4,4,2,2,0.5,0.2975,1.19
CO017,HOLDOUT,5,2,0,2,0.0,-1.0,-2.0
CO017,HOLDOUT,6,3,1,2,0.3333333333333333,-0.23666666666666666,-0.71
CO017,HOLDOUT,7,7,4,3,0.5714285714285714,0.34142857142857136,2.3899999999999997
CO017,HOLDOUT,8,0,0,0,,,0.0
CO017,HOLDOUT,9,6,3,3,0.5,0.18666666666666673,1.1200000000000003
CO017,HOLDOUT,10,3,1,2,0.3333333333333333,-0.07666666666666666,-0.22999999999999998
CO017,HOLDOUT,11,4,3,1,0.75,0.8300000000000001,3.3200000000000003
CO017,HOLDOUT,12,4,4,0,1.0,1.605,6.42
CO017,HOLDOUT,13,2,1,1,0.5,0.15000000000000002,0.30000000000000004
CO017,HOLDOUT,14,3,2,1,0.6666666666666666,0.6333333333333333,1.9
CO017,HOLDOUT,15,2,1,1,0.5,0.19999999999999996,0.3999999999999999
CO017,HOLDOUT,16,3,1,2,0.3333333333333333,-0.12333333333333336,-0.3700000000000001
CO017,HOLDOUT,17,3,1,2,0.3333333333333333,-0.1433333333333333,-0.42999999999999994
CO017,HOLDOUT,18,5,1,4,0.2,-0.492,-2.46
CO016,ALL,4,7,5,2,0.7142857142857143,0.018163761366358073,0.1271463295645065
CO016,ALL,5,8,6,2,0.75,0.08336092073774114,0.6668873659019291
CO016,ALL,6,7,6,1,0.8571428571428571,0.2549994179468696,1.7849959256280872
CO016,ALL,7,7,6,1,0.8571428571428571,0.2537310797564904,1.7761175582954327
CO016,ALL,8,5,4,1,0.8,0.1717068591210468,0.858534295605234
CO016,ALL,9,8,6,2,0.75,0.08405548950723203,0.6724439160578563
CO016,ALL,10,6,5,1,0.8333333333333334,0.18541748445311698,1.1125049067187018
CO016,ALL,11,5,4,1,0.8,0.15897559674868514,0.7948779837434257
CO016,ALL,12,5,4,1,0.8,0.15444849748132705,0.7722424874066353
CO016,ALL,13,8,8,0,1.0,0.4056603205376904,3.2452825643015233
CO016,ALL,14,6,6,0,1.0,0.44462599924773555,2.6677559954864134
CO016,ALL,15,12,8,4,0.6666666666666666,-0.06287905856353888,-0.7545487027624667
CO016,ALL,16,6,5,1,0.8333333333333334,0.20086858429952714,1.2052115057971629
CO016,ALL,17,8,7,1,0.875,0.22367231737548482,1.7893785390038786
CO016,ALL,18,3,2,1,0.6666666666666666,-0.036782788232663954,-0.11034836469799186
CO016,TRAIN,4,1,1,0,1.0,0.5263157894736842,0.5263157894736842
CO016,TRAIN,5,2,2,0,1.0,0.43544897223223944,0.8708979444644789
CO016,TRAIN,6,3,2,1,0.6666666666666666,-0.017139479905437332,-0.05141843971631199
CO016,TRAIN,7,2,1,1,0.5,-0.2596153846153846,-0.5192307692307692
CO016,TRAIN,8,1,1,0,1.0,0.4166666666666667,0.4166666666666667
CO016,TRAIN,9,2,2,0,1.0,0.4065107824506321,0.8130215649012642
CO016,TRAIN,10,2,2,0,1.0,0.38265306122448983,0.7653061224489797
CO016,TRAIN,11,1,1,0,1.0,0.5263157894736842,0.5263157894736842
CO016,TRAIN,12,4,3,1,0.75,0.0614816744832378,0.2459266979329512
CO016,TRAIN,13,2,2,0,1.0,0.4020496649586125,0.804099329917225
CO016,TRAIN,14,1,1,0,1.0,0.5347593582887701,0.5347593582887701
CO016,TRAIN,15,5,3,2,0.6,-0.13741309952217162,-0.6870654976108581
CO016,TRAIN,16,2,1,1,0.5,-0.28260869565217395,-0.5652173913043479
CO016,TRAIN,17,4,3,1,0.75,0.04410227696901829,0.17640910787607317
CO016,TRAIN,18,0,0,0,,,0.0
CO016,VALIDATION,4,0,0,0,,,0.0
CO016,VALIDATION,5,3,1,2,0.3333333333333333,-0.5294924554183814,-1.5884773662551441
CO016,VALIDATION,6,0,0,0,,,0.0
CO016,VALIDATION,7,2,2,0,1.0,0.49406152647975077,0.9881230529595015
CO016,VALIDATION,8,2,2,0,1.0,0.45777591973244147,0.9155518394648829
CO016,VALIDATION,9,2,0,2,0.0,-1.0,-2.0
CO016,VALIDATION,10,1,1,0,1.0,0.3861003861003861,0.3861003861003861
CO016,VALIDATION,11,0,0,0,,,0.0
CO016,VALIDATION,12,0,0,0,,,0.0
CO016,VALIDATION,13,2,2,0,1.0,0.41270380434782605,0.8254076086956521
CO016,VALIDATION,14,1,1,0,1.0,0.3787878787878788,0.3787878787878788
CO016,VALIDATION,15,5,4,1,0.8,0.11377608624240557,0.5688804312120278
CO016,VALIDATION,16,1,1,0,1.0,0.37593984962406013,0.37593984962406013
CO016,VALIDATION,17,3,3,0,1.0,0.3987675881537129,1.1963027644611386
CO016,VALIDATION,18,0,0,0,,,0.0
CO016,HOLDOUT,4,3,2,1,0.6666666666666666,-0.06928104575163398,-0.20784313725490194
CO016,HOLDOUT,5,1,1,0,1.0,0.5050505050505051,0.5050505050505051
