method_id,split,segment,n,wins,losses,win_pct,roi,units
CO005,VALIDATION,W4_6,15,11,4,0.7333333333333333,0.8053333333333333,12.08
CO005,VALIDATION,W7_10,13,7,6,0.5384615384615384,0.3438461538461539,4.470000000000001
CO005,VALIDATION,W11_14,14,3,11,0.21428571428571427,-0.46642857142857136,-6.529999999999999
CO005,VALIDATION,W15_18,9,4,5,0.4444444444444444,0.0944444444444445,0.8500000000000005
CO005,HOLDOUT,W4_6,7,3,4,0.42857142857142855,0.11000000000000007,0.7700000000000005
CO005,HOLDOUT,W7_10,10,5,5,0.5,0.26600000000000007,2.6600000000000006
CO005,HOLDOUT,W11_14,12,9,3,0.75,0.8891666666666665,10.669999999999998
CO005,HOLDOUT,W15_18,7,4,3,0.5714285714285714,0.44,3.08
CO026,ALL,W4_6,21,14,7,0.6666666666666666,0.6390476190476191,13.420000000000002
CO026,ALL,W7_10,31,16,15,0.5161290322580645,0.28322580645161294,8.780000000000001
CO026,ALL,W11_14,31,16,15,0.5161290322580645,0.317741935483871,9.85
CO026,ALL,W15_18,26,15,11,0.5769230769230769,0.46538461538461545,12.100000000000001
CO026,TRAIN,W4_6,5,5,0,1.0,1.498,7.49
CO026,TRAIN,W7_10,12,8,4,0.6666666666666666,0.6308333333333335,7.570000000000001
CO026,TRAIN,W11_14,9,2,7,0.2222222222222222,-0.46888888888888886,-4.22
CO026,TRAIN,W15_18,7,3,4,0.42857142857142855,0.11714285714285715,0.8200000000000001
CO026,VALIDATION,W4_6,11,8,3,0.7272727272727273,0.7481818181818182,8.23
CO026,VALIDATION,W7_10,9,5,4,0.5555555555555556,0.42000000000000004,3.7800000000000002
CO026,VALIDATION,W11_14,13,8,5,0.6153846153846154,0.6176923076923077,8.03
CO026,VALIDATION,W15_18,9,4,5,0.4444444444444444,0.1588888888888889,1.4300000000000002
CO026,HOLDOUT,W4_6,5,1,4,0.2,-0.45999999999999996,-2.3
CO026,HOLDOUT,W7_10,10,3,7,0.3,-0.257,-2.57
CO026,HOLDOUT,W11_14,9,6,3,0.6666666666666666,0.6711111111111112,6.040000000000001
CO026,HOLDOUT,W15_18,10,8,2,0.8,0.9850000000000001,9.850000000000001
CO009,ALL,W4_6,54,26,28,0.48148148148148145,0.7796296296296296,42.099999999999994
CO009,ALL,W7_10,70,21,49,0.3,0.0204285714285714,1.429999999999998
CO009,ALL,W11_14,73,21,52,0.2876712328767123,0.11589041095890412,8.46
CO009,ALL,W15_18,68,24,44,0.35294117647058826,0.3579411764705882,24.34
CO009,TRAIN,W4_6,9,4,5,0.4444444444444444,0.6755555555555556,6.08
CO009,TRAIN,W7_10,21,6,15,0.2857142857142857,-0.05047619047619048,-1.06
CO009,TRAIN,W11_14,24,8,16,0.3333333333333333,0.32958333333333334,7.91
CO009,TRAIN,W15_18,17,4,13,0.23529411764705882,-0.013529411764705894,-0.2300000000000002
CO009,VALIDATION,W4_6,24,12,12,0.5,0.77375,18.57
