method_id,family,feature,op,threshold,confirmed,base_n,base_win_pct,base_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,retained_share,veto_score
CO001,COACH,adv_dc_tenure_seasons,>=,0.0,True,93,0.3655913978494624,0.36913978494623656,15,0.13333333333333333,-0.35333333333333333,0.9553846153846154,0.1880952380952381,12,0.25,0.01999999999999998,0.57,0.1283783783783784,10,0.3,0.20099999999999998,0.5950000000000002,0.09285714285714275,0.6428571428571429,10.383003072196622
CO001,COACH,adv_dc_tenure_seasons,>=,0.0,True,93,0.3655913978494624,0.36913978494623656,15,0.13333333333333333,-0.35333333333333333,0.9553846153846154,0.1880952380952381,12,0.25,0.01999999999999998,0.57,0.1283783783783784,10,0.3,0.20099999999999998,0.5950000000000002,0.09285714285714275,0.6428571428571429,10.383003072196622
CO018,CONTEXT,rank_edge_sack_or_hit_rate,>=,9.600000000000001,True,132,0.696969696969697,0.16232538482666328,16,0.5,-0.1676370765523612,0.33486984933931224,0.18888888888888888,12,0.5833333333333334,-0.019127820343357138,0.2540369482114427,0.11666666666666659,12,0.5,-0.15624507291173956,0.268267387435944,0.2021276595744681,0.7446808510638298,10.382537747290133
CO018,COACH,coachq_prev_oc_prior_quality,<=,0.5078125,True,132,0.696969696969697,0.16232538482666328,16,0.5,-0.16949071935888932,0.33589254881877606,0.18888888888888888,11,0.5454545454545454,-0.1204082364150547,0.283034182978128,0.15454545454545454,24,0.5833333333333334,-0.03770477488172889,0.36605792532515913,0.11879432624113473,0.48936170212765956,10.371463036952397
CO009,COACH,coachq_prev_dc_prior_win_pct,>=,0.7237762237762239,True,265,0.3471698113207547,0.28803773584905656,10,0.1,-0.709,0.3244262295081968,0.20985915492957752,6,0.16666666666666666,-0.2916666666666667,0.34326530612244893,0.1891025641025642,5,0.2,-0.404,0.3971764705882353,0.16666666666666674,0.9444444444444444,10.37024984585029
CO009,COACH,coachq_hc_recent_quality,>=,0.6923076923076923,True,265,0.3471698113207547,0.28803773584905656,12,0.08333333333333333,-0.6658333333333334,0.350677966101695,0.22652582159624413,18,0.2222222222222222,-0.12833333333333335,0.3976744186046512,0.13354700854700863,5,0.2,-0.316,0.392,0.16666666666666674,0.9444444444444444,10.365073375262055
CO017,CONTEXT,recent_edge_passing_cpoe,<=,-7.419948902969396,True,146,0.4726027397260274,0.18308219178082194,8,0.0,-1.0,0.42937499999999995,0.44999999999999996,10,0.3,-0.255,0.2822222222222222,0.17272727272727262,9,0.3333333333333333,-0.1922222222222222,0.29928571428571427,0.15686274509803932,0.8235294117647058,10.355419208779402
CO018,CONTEXT,rank_edge_sack_rate_allowed,>=,7.0,True,132,0.696969696969697,0.16232538482666328,23,0.5652173913043478,-0.05102521429513045,0.3728460152177398,0.1236714975845411,21,0.6190476190476191,0.022148208757833885,0.33780991167818936,0.08095238095238089,18,0.5555555555555556,-0.06559971880345451,0.2998349180613568,0.14657210401891252,0.6170212765957447,10.345783764913179
CO017,CONTEXT,rank_edge_passing_cpoe,<=,-10.2,True,146,0.4726027397260274,0.18308219178082194,8,0.25,-0.32,0.2593749999999999,0.19999999999999996,14,0.35714285714285715,-0.07142857142857144,0.27195121951219514,0.11558441558441546,11,0.36363636363636365,-0.14,0.3095,0.12655971479500894,0.7843137254901961,10.331408895563207
CO018,CONTEXT,recent_edge_sack_or_hit_rate,>=,0.0151875901875901,True,132,0.696969696969697,0.16232538482666328,23,0.6086956521739131,0.019903476974094055,0.29869329252718696,0.0801932367149758,15,0.6,0.024469415038204257,0.26065837920908186,0.09999999999999998,25,0.6,-0.0006363961138964314,0.3422876176438444,0.10212765957446812,0.46808510638297873,10.328898403029946
