method_id,feature,op,threshold,pre_score,holdout_base_n,holdout_base_roi,removed_wins,removed_losses,safe_n,safe_roi,roi_change,loss_rate_change,confirmed
NFL-H027,dc_tenure_seasons,>=,3.0,0.6560502211223783,43,0.22906976744186044,4,6,33,0.3090909090909091,0.08002114164904864,-0.03382663847780121,True
NFL-H027,dc_prior_games,>=,58.5,1.2321724838659254,43,0.22906976744186044,4,6,33,0.3084848484848485,0.07941508104298803,-0.03382663847780121,True
NFL-H027,dc_prior_role_seasons,>=,4.75,0.9015141179635697,43,0.22906976744186044,4,6,33,0.3084848484848485,0.07941508104298803,-0.03382663847780121,True
NFL-H087,adv_dc_prior_win_pct,<=,-0.08994708994708994,1.4203333086071757,42,0.11047619047619045,4,11,27,0.18296296296296297,0.07248677248677252,-0.023809523809523725,True
NFL-H043,adv_hc_prior_games,<=,0.0,0.5449037318153067,32,0.1771875,7,9,16,0.249375,0.07218750000000002,-0.03125,True
NFL-H019,adv_hc_prior_games,<=,-26.0,0.9453490259740261,33,0.29363636363636364,6,7,20,0.36550000000000005,0.07186363636363641,-0.034848484848484906,True
NFL-H081,adv_dc_tenure_seasons,>=,1.0,1.223714220890043,38,0.15868421052631582,1,3,34,0.22911764705882354,0.07043343653250772,-0.026315789473684292,True
NFL-H035,adv_oc_prior_win_pct,<=,-0.06399816849816851,0.640643256893257,52,0.15423076923076923,3,6,43,0.2241860465116279,0.06995527728085868,-0.03085867620751337,True
NFL-H091,adv_dc_prior_role_seasons,>=,3.0,1.015860790063826,37,0.12810810810810808,2,4,31,0.19774193548387092,0.06963382737576285,-0.02441150828247607,True
NFL-H009,dc_prior_games,>=,61.0,1.0159541502425204,92,0.19532608695652173,11,15,66,0.2628787878787879,0.06755270092226615,-0.030303030303030276,True
NFL-H035,adv_oc_prior_win_pct,<=,-0.13894661534490632,0.49990840840840833,52,0.15423076923076923,2,5,45,0.22111111111111115,0.06688034188034192,-0.030341880341880234,True
NFL-H079,adv_oc_prior_role_seasons,>=,1.0,0.8215855047476666,93,0.1241935483870968,10,16,67,0.1882089552238806,0.06401540683678379,-0.025999037072701014,True
NFL-H079,adv_oc_prior_role_seasons,>=,0.3999999999999986,0.8215855047476666,93,0.1241935483870968,10,16,67,0.1882089552238806,0.06401540683678379,-0.025999037072701014,True
NFL-H079,adv_oc_prior_games,>=,13.0,0.8587178384136348,93,0.1241935483870968,10,16,67,0.18671641791044777,0.06252286952335097,-0.025999037072701014,True
NFL-H044,adv_oc_prior_win_pct,<=,-0.07381744271988172,1.1124523809523812,40,0.16025000000000006,5,7,28,0.22250000000000006,0.06225,-0.025000000000000022,True
NFL-H044,adv_oc_prior_win_pct,<=,-0.09460360875455218,1.0519181929181929,40,0.16025000000000006,5,7,28,0.22250000000000006,0.06225,-0.025000000000000022,True
NFL-H023,oc_tenure_seasons,>=,3.0,0.7203902041585866,40,0.254,1,3,36,0.31611111111111106,0.06211111111111106,-0.02777777777777779,True
NFL-H051,adv_full_staff_overhaul,<=,-0.10000000000000009,1.1325483654518669,50,0.24320000000000003,2,4,44,0.30250000000000005,0.05930000000000002,-0.022727272727272707,True
NFL-H006,adv_oc_prior_games,>=,29.55000000000002,1.1513072418145085,76,0.2681578947368421,3,6,67,0.32641791044776114,0.058260015710919044,-0.024155538098978746,True
NFL-H017,adv_hc_prior_games_current_stint,>=,13.0,0.5915925632735337,102,0.18235294117647058,12,15,75,0.2386666666666667,0.056313725490196115,-0.020000000000000018,True
NFL-H082,adv_dc_prior_games,<=,-25.0,0.6657951963968918,60,0.11199999999999997,7,10,43,0.16651162790697677,0.05451162790697679,-0.028294573643410814,True
NFL-H042,hc_prior_games,<=,13.0,0.8501269978621602,45,0.152,1,3,41,0.20463414634146343,0.052634146341463434,-0.023306233062330595,True
NFL-H042,oc_prior_games,<=,7.3,1.1225940176844433,45,0.152,1,3,41,0.20341463414634145,0.051414634146341454,-0.023306233062330595,True
NFL-H029,adv_oc_changed_season,<=,-1.0,0.6834781240169178,60,0.21783333333333338,2,4,54,0.2688888888888889,0.05105555555555552,-0.020370370370370372,True
NFL-H022,dc_prior_role_seasons,>=,2.0,0.7498729916657547,40,0.21100000000000002,10,11,19,0.26,0.04899999999999999,-0.02631578947368418,True
NFL-H029,oc_prior_games,<=,7.0,0.5505263006986483,60,0.21783333333333338,3,5,52,0.26423076923076927,0.04639743589743589,-0.021794871794871717,True
NFL-H051,adv_hc_tenure_seasons,<=,-1.0,1.0566565334033187,50,0.24320000000000003,13,14,23,0.28956521739130436,0.046365217391304336,-0.021739130434782594,True
NFL-H001,dc_prior_win_pct,<=,0.41801075268817206,1.0849968253968254,37,0.4289189189189189,2,5,30,0.4696666666666667,0.04074774774774775,-0.021621621621621623,True
NFL-H001,adv_dc_prior_win_pct,<=,-0.21895604395604398,0.990711111111111,37,0.4289189189189189,2,5,30,0.4696666666666667,0.04074774774774775,-0.021621621621621623,True
NFL-H009,adv_hc_tenure_seasons,<=,-1.0,0.43917994175787445,92,0.19532608695652173,22,24,46,0.23282608695652177,0.03750000000000003,-0.021739130434782594,True
