event_date,year,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,snapshot_mode,source_dataset,fight_key
2025-04-26,2025,Anthony Smith,Zhang Mingyang,Zhang Mingyang,Anthony Smith,26.694593318137947,36.75092575480674,10.05633243666879,0.8,1.2,True,9.999999999999998,historical_import_fallback,exact_id_ufcstats_mirror,2025-04-26|anthony smith|zhang mingyang
2025-05-03,2025,Jeremy Stephens,Mason Jones,Mason Jones,Jeremy Stephens,30.021150331628984,38.94125136039754,8.92010102876856,0.8284883720930233,1.18,True,8.999999999999996,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-03|jeremy stephens|mason jones
2025-05-03,2025,Marina Rodriguez,Gillian Robertson,Gillian Robertson,Marina Rodriguez,29.963654284482228,38.01310088502844,8.049446600546208,0.7173447537473234,1.32,True,16.000000000000004,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-03|gillian robertson|marina rodriguez
2025-05-03,2025,Cory Sandhagen,Deiveson Figueiredo,Cory Sandhagen,Deiveson Figueiredo,33.03558594632333,37.37516855240012,4.339582606076789,0.8157099697885197,1.22,True,10.999999999999998,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-03|cory sandhagen|deiveson figueiredo
2025-05-03,2025,Ryan Loder,Azamat Bekoev,Azamat Bekoev,Ryan Loder,29.342149393895838,33.91171618855965,4.569566794663817,0.7633587786259542,1.24,True,12.0,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-03|azamat bekoev|ryan loder
2025-05-10,2025,Navajo Stirling,Ivan Erslan,Navajo Stirling,Ivan Erslan,27.505013792206547,33.48460269546945,5.979588903262901,0.7203389830508474,1.32,True,16.000000000000004,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-10|ivan erslan|navajo stirling
2025-05-10,2025,Benoit Saint Denis,Kyle Prepolec,Benoit Saint Denis,Kyle Prepolec,29.394169627028617,35.694093650109174,6.299924023080557,0.8726415094339622,1.08,True,4.000000000000004,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-10|benoit saint denis|kyle prepolec
2025-05-17,2025,Elise Reed,Denise Gomes,Denise Gomes,Elise Reed,25.380397954783465,32.446935939820804,7.066537985037339,0.8176100628930818,1.16,True,7.9999999999999964,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-17|denise gomes|elise reed
2025-05-17,2025,Gilbert Burns,Michael Morales,Michael Morales,Gilbert Burns,25.897862379104293,38.82625926610402,12.928396886999732,0.8355795148247979,1.22,True,10.999999999999998,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-17|gilbert burns|michael morales
2025-05-17,2025,Yadier del Valle,Connor Matthews,Yadier del Valle,Connor Matthews,28.80004380651211,32.96166245713464,4.1616186506225326,0.7962328767123288,1.19,True,9.499999999999996,historical_import_fallback,exact_id_ufcstats_mirror,2025-05-17|connor matthews|yadier del valle
2025-06-07,2025,Bruno Silva,Joshua Van,Joshua Van,Bruno Silva,23.65825444738769,35.228649458921126,11.570395011533432,0.7769652650822669,1.22,True,10.999999999999998,historical_import_fallback,exact_id_ufcstats_mirror,2025-06-07|bruno silva|joshua van
2025-06-07,2025,Kelvin Gastelum,Joe Pyfer,Joe Pyfer,Kelvin Gastelum,28.720644503309444,33.621498045818875,4.900853542509431,0.7291666666666666,1.3,True,15.000000000000002,historical_import_fallback,exact_id_ufcstats_mirror,2025-06-07|joe pyfer|kelvin gastelum
2025-06-14,2025,Alonzo Menifield,Oumar Sy,Oumar Sy,Alonzo Menifield,29.563919861461905,37.65717297411993,8.093253112658026,0.7633587786259542,1.24,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2025-06-14|alonzo menifield|oumar sy
2025-06-28,2025,Ilia Topuria,Charles Oliveira,Ilia Topuria,Charles Oliveira,28.43316426757565,35.69683155711616,7.2636672895405106,0.7633587786259541,1.24,True,12.0,historical_import_fallback,exact_id_ufcstats_mirror,2025-06-28|charles oliveira|ilia topuria
2025-07-12,2025,Lauren Murphy,Eduarda Moura,Eduarda Moura,Lauren Murphy,31.36820057906733,41.96116278910587,10.59296221003854,0.8103727714748784,1.17,True,8.499999999999996,historical_import_fallback,exact_id_ufcstats_mirror,2025-07-12|eduarda moura|lauren murphy
2025-07-12,2025,Vitor Petrino,Austen Lane,Vitor Petrino,Austen Lane,27.871893331143006,37.67360041616186,9.801707085018856,0.7962328767123288,1.19,True,9.499999999999996,historical_import_fallback,exact_id_ufcstats_mirror,2025-07-12|austen lane|vitor petrino
2025-08-02,2025,Karol Rosa,Nora Cornolle,Karol Rosa,Nora Cornolle,30.590634989082595,35.65576295201134,5.065127962928742,0.9464557648538192,1.03,True,1.500000000000001,pre_or_event_snapshot,exact_id_ufcstats_mirror,2025-08-02|karol rosa|nora cornolle
2025-08-02,2025,Danny Silva,Kevin Vallejos,Kevin Vallejos,Danny Silva,23.65004072636673,28.504349849757357,4.854309123390625,0.896414342629482,1.07,True,3.500000000000003,pre_or_event_snapshot,exact_id_ufcstats_mirror,2025-08-02|danny silva|kevin vallejos
2025-08-02,2025,Austin Bashi,John Yannis,Austin Bashi,John Yannis,23.841694216855924,31.072506622312574,7.23081240545665,0.8817086527929902,1.11,True,5.500000000000005,pre_or_event_snapshot,exact_id_ufcstats_mirror,2025-08-02|austin bashi|john yannis
2025-08-09,2025,Julius Walker,Rafael Cerqueira,Julius Walker,Rafael Cerqueira,26.06761261353758,35.40387550736839,9.33626289383081,0.9400705052878964,1.03,True,1.500000000000001,pre_or_event_snapshot,exact_id_ufcstats_mirror,2025-08-09|julius walker|rafael cerqueira
2025-08-09,2025,Joselyne Edwards,Priscila Cachoeira,Joselyne Edwards,Priscila Cachoeira,29.86235172522365,36.9726962223728,7.11034449714915,0.7705810267750173,1.26,True,13.0,pre_or_event_snapshot,exact_id_ufcstats_mirror,2025-08-09|joselyne edwards|priscila cachoeira
2025-08-09,2025,Elijah Smith,Toshiomi Kazama,Elijah Smith,Toshiomi Kazama,22.92723327652176,28.23603496307248,5.308801686550716,0.8530183727034122,1.12,True,6.000000000000005,pre_or_event_snapshot,exact_id_ufcstats_mirror,2025-08-09|elijah smith|toshiomi kazama
