method,condition,era,risk_n,risk_wins,risk_losses,risk_win_pct,risk_roi,safe_n,safe_win_pct,safe_roi,roi_gap_safe_minus_risk
stricter,team_full_staff_overhaul,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,team_full_staff_overhaul,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,team_2plus_staff_changes,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,team_2plus_staff_changes,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
stricter,team_2plus_staff_changes,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,team_2plus_staff_changes,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,opponent_full_staff_overhaul,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,opponent_full_staff_overhaul,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
stricter,opponent_full_staff_overhaul,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,opponent_full_staff_overhaul,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,opponent_2plus_staff_changes,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,opponent_2plus_staff_changes,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
stricter,opponent_2plus_staff_changes,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,opponent_2plus_staff_changes,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,prior_current_loss,train,6,3,3,0.5,-0.41342193486590045,14,1.0,0.25122482725043854,0.664646762116339
stricter,prior_current_loss,validation,5,5,0,1.0,0.4542720612720613,16,0.875,0.30205986185483236,-0.15221219941722897
stricter,prior_current_loss,holdout,5,4,1,0.8,0.09006085767020773,18,0.8333333333333334,0.1330127413085519,0.042951883638344165
stricter,prior_current_loss,full,16,12,4,0.75,0.015070811594746408,48,0.8958333333333334,0.223840306557029,0.2087694949622826
stricter,prior_current_win,train,5,5,0,1.0,0.27267331322915467,15,0.8,-0.021783372922335748,-0.2944566861514904
stricter,prior_current_win,validation,4,4,0,1.0,0.4456535751894164,17,0.8823529411764706,0.3130413997223505,-0.13261217546706588
stricter,prior_current_win,holdout,9,6,3,0.6666666666666666,-0.07023945290547065,14,0.9285714285714286,0.24833490771815767,0.3185743606236283
stricter,prior_current_win,full,18,15,3,0.8333333333333334,0.13965698837523352,46,0.8695652173913043,0.18416612846737232,0.0445091400921388
stricter,prior_current_negative_margin,train,8,5,3,0.625,-0.25597742423431147,12,1.0,0.25703628051543576,0.5130137047497472
stricter,prior_current_negative_margin,validation,6,6,0,1.0,0.5222382119795913,15,0.8666666666666667,0.2647259216106718,-0.2575122903689195
