match_id,date,season,outcome,odds,market_prob,profit,method_id
MLS:20140405:CHICAGOFIREF:PHILADELPHIA:3978,2014-04-05 00:00:00+00:00,2014,AWAY,3.63,0.26877403541393735,-1.0,MLS-A05
MLS:20140405:VANCOUVERWHI:COLORADORAPI:3984,2014-04-05 00:00:00+00:00,2014,AWAY,3.86,0.2525377434127383,2.86,MLS-A05
MLS:20140412:CFMONTRÉAL:CHICAGOFIREF:3986,2014-04-12 00:00:00+00:00,2014,HOME,1.99,0.4909673320449321,-1.0,MLS-R01V2
MLS:20140412:DCUNITED:NEWYORKREDBU:3987,2014-04-12 00:00:00+00:00,2014,AWAY,2.82,0.3459244532803181,-1.0,MLS-A05
MLS:20140412:PHILADELPHIA:REALSALTLAKE:3991,2014-04-12 00:00:00+00:00,2014,AWAY,3.6,0.2696472497654249,-1.0,MLS-A05
MLS:20140419:PHILADELPHIA:HOUSTONDYNAM:4001,2014-04-19 00:00:00+00:00,2014,AWAY,3.25,0.29997093304912315,-1.0,MLS-A05
MLS:20140419:REALSALTLAKE:PORTLANDTIMB:4002,2014-04-19 00:00:00+00:00,2014,AWAY,3.88,0.2514374385191959,-1.0,MLS-A03
MLS:20140426:CFMONTRÉAL:PHILADELPHIA:4006,2014-04-26 00:00:00+00:00,2014,HOME,2.19,0.44590787561233824,1.19,MLS-R01V2
MLS:20140426:COLUMBUSCREW:NEWYORKREDBU:4007,2014-04-26 00:00:00+00:00,2014,AWAY,3.14,0.31093498822385884,-1.0,MLS-A05
MLS:20140426:SEATTLESOUND:COLORADORAPI:4012,2014-04-26 00:00:00+00:00,2014,HOME,1.74,0.5599929818111941,0.74,MLS-A02
MLS:20140427:HOUSTONDYNAM:PORTLANDTIMB:4013,2014-04-27 00:00:00+00:00,2014,AWAY,3.01,0.3244750419852682,-1.0,MLS-A05
MLS:20140503:CHICAGOFIREF:REALSALTLAKE:4014,2014-05-03 00:00:00+00:00,2014,AWAY,3.37,0.288969112924979,2.37,MLS-A05
MLS:20140503:CHICAGOFIREF:REALSALTLAKE:4014,2014-05-03 00:00:00+00:00,2014,AWAY,3.37,0.288969112924979,2.37,MLS-A06
MLS:20140504:FCDALLAS:NEWYORKREDBU:4021,2014-05-04 00:00:00+00:00,2014,AWAY,2.79,0.3495100864553314,1.79,MLS-A03
MLS:20140504:FCDALLAS:NEWYORKREDBU:4021,2014-05-04 00:00:00+00:00,2014,AWAY,2.79,0.3495100864553314,1.79,MLS-A05
MLS:20140507:HOUSTONDYNAM:COLUMBUSCREW:4023,2014-05-07 00:00:00+00:00,2014,HOME,2.16,0.4514163243436328,1.1600000000000001,MLS-R02V2
MLS:20140510:COLUMBUSCREW:VANCOUVERWHI:4027,2014-05-10 00:00:00+00:00,2014,AWAY,3.72,0.26096042306380074,2.72,MLS-A05
MLS:20140510:PHILADELPHIA:DCUNITED:4029,2014-05-10 00:00:00+00:00,2014,AWAY,3.96,0.24554308352591617,2.96,MLS-A06
MLS:20140510:SANJOSEEARTH:FCDALLAS:4030,2014-05-10 00:00:00+00:00,2014,AWAY,3.59,0.2717323248766561,-1.0,MLS-A05
MLS:20140511:NEWENGLANDRE:SEATTLESOUND:4033,2014-05-11 00:00:00+00:00,2014,AWAY,2.88,0.33872274095695104,-1.0,MLS-A05
MLS:20140517:DCUNITED:CFMONTRÉAL:4036,2014-05-17 00:00:00+00:00,2014,HOME,2.02,0.4818627467656394,-1.0,MLS-R01V2
MLS:20140517:PHILADELPHIA:NEWENGLANDRE:4039,2014-05-17 00:00:00+00:00,2014,AWAY,3.13,0.31215014569017185,2.13,MLS-A05
MLS:20140517:REALSALTLAKE:COLORADORAPI:4041,2014-05-17 00:00:00+00:00,2014,HOME,2.05,0.4761146224072076,1.0499999999999998,MLS-R02V2
MLS:20140518:CHICAGOFIREF:SPORTINGKANS:4044,2014-05-18 00:00:00+00:00,2014,AWAY,3.09,0.31570195819367247,-1.0,MLS-A05
MLS:20140524:NEWYORKREDBU:PORTLANDTIMB:4051,2014-05-24 00:00:00+00:00,2014,HOME,1.93,0.5059018101905345,-1.0,MLS-A02
MLS:20140525:SANJOSEEARTH:HOUSTONDYNAM:4055,2014-05-25 00:00:00+00:00,2014,AWAY,2.93,0.33283701405227645,-1.0,MLS-A05
MLS:20140607:CHICAGOFIREF:SEATTLESOUND:4070,2014-06-07 00:00:00+00:00,2014,AWAY,3.28,0.297945205479452,2.28,MLS-A05
MLS:20140607:PHILADELPHIA:VANCOUVERWHI:4073,2014-06-07 00:00:00+00:00,2014,AWAY,3.25,0.3000432962909511,-1.0,MLS-A05
MLS:20140607:REALSALTLAKE:PORTLANDTIMB:4074,2014-06-07 00:00:00+00:00,2014,AWAY,3.67,0.2660437031770438,2.67,MLS-R03
MLS:20140629:CFMONTRÉAL:HOUSTONDYNAM:4088,2014-06-29 00:00:00+00:00,2014,HOME,1.98,0.4924092409240924,0.98,MLS-R01V2
MLS:20140629:COLUMBUSCREW:FCDALLAS:4089,2014-06-29 00:00:00+00:00,2014,AWAY,3.84,0.25400807965704364,-1.0,MLS-A05
MLS:20140702:CHICAGOFIREF:TORONTOFC:4090,2014-07-02 00:00:00+00:00,2014,AWAY,3.27,0.29813725812280295,-1.0,MLS-A05
MLS:20140704:COLORADORAPI:COLUMBUSCREW:4092,2014-07-04 00:00:00+00:00,2014,HOME,1.83,0.5338677691405324,-1.0,MLS-A02
MLS:20140704:FCDALLAS:PHILADELPHIA:4093,2014-07-04 00:00:00+00:00,2014,AWAY,3.27,0.29791623231979636,-1.0,MLS-A05
MLS:20140704:REALSALTLAKE:NEWENGLANDRE:4096,2014-07-04 00:00:00+00:00,2014,AWAY,3.22,0.30275053673949626,-1.0,MLS-A05
MLS:20140704:REALSALTLAKE:NEWENGLANDRE:4096,2014-07-04 00:00:00+00:00,2014,AWAY,3.22,0.30275053673949626,-1.0,MLS-R03
MLS:20140705:CHIVASUSA:CFMONTRÉAL:4097,2014-07-05 00:00:00+00:00,2014,AWAY,2.85,0.3417609821599846,-1.0,MLS-A05
MLS:20140711:SANJOSEEARTH:DCUNITED:4101,2014-07-11 00:00:00+00:00,2014,AWAY,3.88,0.25147858028879433,2.88,MLS-A05
MLS:20140711:SANJOSEEARTH:DCUNITED:4101,2014-07-11 00:00:00+00:00,2014,AWAY,3.88,0.25147858028879433,2.88,MLS-R03
MLS:20140712:PHILADELPHIA:COLORADORAPI:4106,2014-07-12 00:00:00+00:00,2014,HOME,2.24,0.43563678730066263,-1.0,MLS-R01V2
MLS:20140712:PHILADELPHIA:COLORADORAPI:4106,2014-07-12 00:00:00+00:00,2014,HOME,2.24,0.43563678730066263,-1.0,MLS-R02V2
MLS:20140712:VANCOUVERWHI:CHIVASUSA:4108,2014-07-12 00:00:00+00:00,2014,HOME,1.74,0.5618656542961183,-1.0,MLS-A02
MLS:20140716:TORONTOFC:VANCOUVERWHI:4113,2014-07-16 00:00:00+00:00,2014,HOME,2.0,0.4844955542869254,-1.0,MLS-R01V2
MLS:20140716:TORONTOFC:VANCOUVERWHI:4113,2014-07-16 00:00:00+00:00,2014,HOME,2.0,0.4844955542869254,-1.0,MLS-R02V2
MLS:20140719:FCDALLAS:NEWENGLANDRE:4117,2014-07-19 00:00:00+00:00,2014,AWAY,3.78,0.2579093432007401,-1.0,MLS-A05
MLS:20140719:HOUSTONDYNAM:TORONTOFC:4118,2014-07-19 00:00:00+00:00,2014,AWAY,2.94,0.3320905097589325,-1.0,MLS-A05
MLS:20140719:SPORTINGKANS:LAGALAXY:4121,2014-07-19 00:00:00+00:00,2014,AWAY,3.19,0.30552669338479044,-1.0,MLS-A05
MLS:20140720:DCUNITED:CHIVASUSA:4122,2014-07-20 00:00:00+00:00,2014,HOME,1.82,0.5357377517072837,0.8200000000000001,MLS-A02
MLS:20140723:SANJOSEEARTH:CHICAGOFIREF:4123,2014-07-23 00:00:00+00:00,2014,HOME,2.27,0.4295038541831004,1.27,MLS-R01V2
MLS:20140725:COLORADORAPI:CHIVASUSA:4125,2014-07-25 00:00:00+00:00,2014,HOME,1.65,0.5914056809905317,0.6499999999999999,MLS-A02
MLS:20140726:NEWENGLANDRE:COLUMBUSCREW:4126,2014-07-26 00:00:00+00:00,2014,AWAY,3.23,0.30185314907979366,2.23,MLS-A05
MLS:20140728:SEATTLESOUND:LAGALAXY:4130,2014-07-28 00:00:00+00:00,2014,AWAY,2.9,0.3357739603867455,1.9,MLS-A03
MLS:20140728:SEATTLESOUND:LAGALAXY:4130,2014-07-28 00:00:00+00:00,2014,AWAY,2.9,0.3357739603867455,1.9,MLS-A05
MLS:20140730:NEWENGLANDRE:COLORADORAPI:4133,2014-07-30 00:00:00+00:00,2014,AWAY,3.7,0.2638543961721549,-1.0,MLS-A05
MLS:20140801:SPORTINGKANS:PHILADELPHIA:4135,2014-08-01 00:00:00+00:00,2014,HOME,1.79,0.5437241346528064,-1.0,MLS-A02
MLS:20140802:CFMONTRÉAL:TORONTOFC:4136,2014-08-02 00:00:00+00:00,2014,AWAY,3.21,0.30374711695952045,2.21,MLS-A05
MLS:20140802:COLORADORAPI:REALSALTLAKE:4138,2014-08-02 00:00:00+00:00,2014,AWAY,3.41,0.2853910663219699,2.41,MLS-A03
MLS:20140802:COLORADORAPI:REALSALTLAKE:4138,2014-08-02 00:00:00+00:00,2014,AWAY,3.41,0.2853910663219699,2.41,MLS-A06
MLS:20140802:NEWYORKREDBU:NEWENGLANDRE:4140,2014-08-02 00:00:00+00:00,2014,AWAY,3.75,0.26010837849103796,-1.0,MLS-A05
MLS:20140802:NEWYORKREDBU:NEWENGLANDRE:4140,2014-08-02 00:00:00+00:00,2014,AWAY,3.75,0.26010837849103796,-1.0,MLS-R03
MLS:20140803:HOUSTONDYNAM:DCUNITED:4143,2014-08-03 00:00:00+00:00,2014,AWAY,3.88,0.251424612396034,-1.0,MLS-A05
MLS:20140809:COLUMBUSCREW:TORONTOFC:4145,2014-08-09 00:00:00+00:00,2014,AWAY,3.68,0.265238449680221,2.68,MLS-A05
MLS:20140809:COLUMBUSCREW:TORONTOFC:4145,2014-08-09 00:00:00+00:00,2014,AWAY,3.68,0.265238449680221,2.68,MLS-R03
MLS:20140809:FCDALLAS:COLORADORAPI:4146,2014-08-09 00:00:00+00:00,2014,AWAY,3.36,0.29033800673839805,-1.0,MLS-A05
MLS:20140817:DCUNITED:COLORADORAPI:4161,2014-08-17 00:00:00+00:00,2014,AWAY,2.8,0.34858597939735325,-1.0,MLS-A05
MLS:20140822:FCDALLAS:REALSALTLAKE:4164,2014-08-22 00:00:00+00:00,2014,HOME,2.13,0.4575839567085787,1.13,MLS-R01V2
MLS:20140822:FCDALLAS:REALSALTLAKE:4164,2014-08-22 00:00:00+00:00,2014,HOME,2.13,0.4575839567085787,1.13,MLS-R02V2
MLS:20140830:CHICAGOFIREF:FCDALLAS:4176,2014-08-30 00:00:00+00:00,2014,AWAY,3.06,0.31883250089190157,-1.0,MLS-A05
MLS:20140830:VANCOUVERWHI:PORTLANDTIMB:4180,2014-08-30 00:00:00+00:00,2014,AWAY,3.71,0.262963500702931,2.71,MLS-A05
MLS:20140831:DCUNITED:NEWYORKREDBU:4182,2014-08-31 00:00:00+00:00,2014,AWAY,2.81,0.3474346235404746,-1.0,MLS-A05
MLS:20140903:PHILADELPHIA:TORONTOFC:4185,2014-09-03 00:00:00+00:00,2014,AWAY,3.09,0.3157636182969174,-1.0,MLS-R03
MLS:20140906:HOUSTONDYNAM:CFMONTRÉAL:4187,2014-09-06 00:00:00+00:00,2014,AWAY,4.51,0.2164711573346233,-1.0,MLS-A06
MLS:20140906:REALSALTLAKE:FCDALLAS:4189,2014-09-06 00:00:00+00:00,2014,AWAY,3.7,0.26361285868271067,-1.0,MLS-A05
MLS:20140906:REALSALTLAKE:FCDALLAS:4189,2014-09-06 00:00:00+00:00,2014,AWAY,3.7,0.26361285868271067,-1.0,MLS-A06
MLS:20140906:TORONTOFC:PHILADELPHIA:4190,2014-09-06 00:00:00+00:00,2014,AWAY,3.62,0.26933266052731175,2.62,MLS-A05
MLS:20140913:CHICAGOFIREF:TORONTOFC:4200,2014-09-13 00:00:00+00:00,2014,AWAY,3.22,0.3015937974344475,-1.0,MLS-A05
MLS:20140913:CHICAGOFIREF:TORONTOFC:4200,2014-09-13 00:00:00+00:00,2014,AWAY,3.22,0.3015937974344475,-1.0,MLS-R03
MLS:20140913:HOUSTONDYNAM:COLUMBUSCREW:4203,2014-09-13 00:00:00+00:00,2014,AWAY,3.69,0.264199814986124,-1.0,MLS-A05
MLS:20140913:PHILADELPHIA:NEWYORKREDBU:4205,2014-09-13 00:00:00+00:00,2014,AWAY,2.97,0.32828010134152924,-1.0,MLS-A05
MLS:20140920:CFMONTRÉAL:SANJOSEEARTH:4208,2014-09-20 00:00:00+00:00,2014,HOME,2.34,0.41656061353745,1.3399999999999999,MLS-R01V2
MLS:20140920:CHICAGOFIREF:DCUNITED:4209,2014-09-20 00:00:00+00:00,2014,HOME,2.04,0.477984585109872,-1.0,MLS-R01V2
