season,team,head_coach_espn,offensive_coordinator,defensive_coordinator,staff_source,staff_page,pdf_page
2024,BUF,Sean McDermott,Joe Brady,Bobby Babich,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,5
2024,CAR,Dave Canales,Brad Idzik,Ejiro Evero,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,6
2024,CHI,Matt Eberflus,Shane Waldron,Eric Washington,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,7
2024,CIN,Zac Taylor,Dan Pitcher,Lou Anarumo,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,8
2024,CLE,Kevin Stefanski,Ken Dorsey,Jim Schwartz,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,9
2024,DAL,Mike McCarthy,Brian Schottenheimer,Mike Zimmer,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,10
2024,DEN,Sean Payton,Joe Lombardi,Vance Joseph,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,11
2024,DET,Dan Campbell,Ben Johnson,Aaron Glenn,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,12
2024,GB,Matt LaFleur,Adam Stenavich,Jeff Hafley,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,13
2024,HOU,DeMeco Ryans,Bobby Slowik,Matt Burke,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,14
2024,IND,Shane Steichen,Jim Bob Cooter,Gus Bradley,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,15
2024,JAX,Doug Pederson,Press Taylor,Ryan Nielsen,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,16
2024,KC,Andy Reid,Matt Nagy,Steve Spagnuolo,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,17
2024,LA,Sean McVay,Mike LaFleur,Chris Shula,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,19
2024,LAC,Jim Harbaugh,Greg Roman,Jesse Minter,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,18
2024,LV,Antonio Pierce,Luke Getsy,Patrick Graham,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,20
2024,MIA,Mike McDaniel,Frank Smith,Anthony Weaver,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,21
2024,MIN,Kevin O'Connell,Wes Phillips,Brian Flores,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,22
2024,NE,Jerod Mayo,Alex Van Pelt,DeMarcus Covington,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,23
2024,NO,Dennis Allen,Klint Kubiak,Joe Woods,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,24
2024,NYG,Brian Daboll,Mike Kafka,Shane Bowen,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,25
2024,NYJ,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,26
2024,PHI,Nick Sirianni,Kellen Moore,Vic Fangio,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,27
2024,PIT,Mike Tomlin,Arthur Smith,Teryl Austin,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,28
2024,SEA,Mike Macdonald,Ryan Grubb,Aden Durde,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,29
2024,SF,Kyle Shanahan,Kyle Shanahan,Nick Sorensen,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,30
2024,TB,Todd Bowles,Liam Coen,Kacy Rodgers/Larry Foote,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,31
2024,TEN,Brian Callahan,Nick Holz,Dennard Wilson,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,32
2024,WAS,Dan Quinn,Kliff Kingsbury,Joe Whitt,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,33
2025,ARI,Jonathan Gannon,Drew Petzing,Nick Rallis,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,2
2025,ATL,Raheem Morris,Zac Robinson,Jeff Ulbrich,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,3
2025,BAL,John Harbaugh,Todd Monken,Zach Orr,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,4
2025,BUF,Sean McDermott,Joe Brady,Bobby Babich,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,5
2025,CAR,Dave Canales,Brad Idzik,Ejiro Evero,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,6
2025,CHI,Ben Johnson,Declan Doyle,Dennis Allen,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,7
2025,CIN,Zac Taylor,Dan Pitcher,Al Golden,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,8
2025,CLE,Kevin Stefanski,Tommy Rees,Jim Schwartz,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,9
2025,DAL,Brian Schottenheimer,Klayton Adams,Matt Eberflus,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,10
2025,DEN,Sean Payton,Joe Lombardi,Vance Joseph,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/25/NFLDK2025_CS_ClayProjections2025.pdf,11
