division,market_prob_min,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
Flyweight,0.7,2,21,15,0.7142857142857143,0.500432261771624,0.8618632425437179,12,8,0.6666666666666666,0.3906175873976139,0.8618821601026385,9,7,0.7777777777777778,0.4525833436728054,0.9367762376877727
Flyweight,0.7,3,10,8,0.8,0.49015684672072335,0.9433190520193067,4,3,0.75,0.3006360524426366,0.9544139373553637,6,5,0.8333333333333334,0.43649056343635395,0.9699474141282697
Flyweight,0.7,4,2,1,0.5,0.09452865480086614,0.9054713451991339,1,1,1.0,0.20654329147389294,1.0,1,0,0.0,0.0,0.7934567085261071
Flyweight,0.7,5,0,0,,,,0,0,,,,0,0,,,
Flyweight,0.75,1,27,22,0.8148148148148148,0.6330094349480825,0.9181941342571468,14,10,0.7142857142857143,0.4535045882751561,0.882788120898909,13,12,0.9230769230769231,0.6668546607175265,0.9862899336203037
Flyweight,0.75,2,16,12,0.75,0.5050123107060135,0.8981809801576265,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253
Flyweight,0.75,3,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,4,4,1.0,0.5100999795960008,1.0
Flyweight,0.75,4,0,0,,,,0,0,,,,0,0,,,
Flyweight,0.75,5,0,0,,,,0,0,,,,0,0,,,
Heavyweight,0.55,1,173,126,0.7283236994219653,0.6576144191557001,0.7891130476846813,109,76,0.6972477064220184,0.6054937943428982,0.7755713447547397,64,50,0.78125,0.665669836692222,0.8649780253865025
Heavyweight,0.55,2,123,91,0.7398373983739838,0.6558776000744663,0.8092694810093423,81,57,0.7037037037037037,0.5968782993287417,0.792081833436317,42,34,0.8095238095238095,0.6669893264500356,0.9001811039014357
Heavyweight,0.55,3,83,59,0.7108433734939759,0.6057057654384659,0.7973268825090616,55,37,0.6727272727272727,0.5410297617609947,0.7818710431117484,28,22,0.7857142857142857,0.6046105292072612,0.8978767829881058
Heavyweight,0.55,4,57,38,0.6666666666666666,0.5372226902277747,0.7750636401777372,37,23,0.6216216216216216,0.4610014255281996,0.7593621253610898,20,15,0.75,0.5312949900419365,0.888139947210597
Heavyweight,0.55,5,33,23,0.696969696969697,0.5266154602526555,0.8262465218545277,21,13,0.6190476190476191,0.40878295815501514,0.7924923220201749,12,10,0.8333333333333334,0.5519636426153274,0.9530358523851776
Heavyweight,0.6,1,132,100,0.7575757575757576,0.6778566120606642,0.8227264199413145,82,60,0.7317073170731707,0.6270357058464716,0.81564010634715,50,40,0.8,0.6696262789551477,0.8875637005402612
Heavyweight,0.6,2,99,74,0.7474747474747475,0.6537534716648654,0.8227074157581231,64,46,0.71875,0.598658376004965,0.8140677389451542,35,28,0.8,0.6410806339053748,0.899576805540992
Heavyweight,0.6,3,63,45,0.7142857142857143,0.5929704958526203,0.8109695654265832,41,29,0.7073170731707317,0.5552024292386027,0.8239098236694112,22,16,0.7272727272727273,0.5184787630099802,0.8684941798418556
