division,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
Welterweight,6,32,17,0.53125,0.3644923793257382,0.6913087009831766,27,14,0.5185185185185185,0.3398532458621043,0.6925704935029092,5,3,0.6,0.23071993220883708,0.8823817688407467
Women's Bantamweight,1,165,94,0.5696969696969697,0.49341069856310726,0.6428116542219884,83,52,0.6265060240963856,0.5190148638142846,0.722804724954232,82,42,0.5121951219512195,0.40590584856555767,0.6173928783920014
Women's Bantamweight,2,99,58,0.5858585858585859,0.48739617763471826,0.6779065792263185,56,35,0.625,0.494051260344893,0.7398997035330781,43,23,0.5348837209302325,0.38915389728872773,0.6748917373608144
Women's Bantamweight,3,61,36,0.5901639344262295,0.46499566253828867,0.7046485165072622,37,23,0.6216216216216216,0.4610014255281996,0.7593621253610898,24,13,0.5416666666666666,0.35074553553106635,0.7210894164831857
Women's Bantamweight,4,35,25,0.7142857142857143,0.5494475193017891,0.8367363660170444,22,15,0.6818181818181818,0.47318222782839336,0.8363961264530752,13,10,0.7692307692307693,0.49743126004873084,0.918206209075343
Women's Bantamweight,5,23,15,0.6521739130434783,0.4488997690689164,0.8118894536301776,14,9,0.6428571428571429,0.3876400468214042,0.8365550926279727,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257
Women's Bantamweight,6,11,5,0.45454545454545453,0.21270957543988045,0.7199122443100118,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,4,2,0.5,0.15003570882017148,0.8499642911798285
Women's Featherweight,1,21,10,0.47619047619047616,0.28343712296762946,0.6763078209973324,5,3,0.6,0.23071993220883708,0.8823817688407467,16,7,0.4375,0.2309836333518552,0.6682180439322347
Women's Featherweight,2,14,6,0.42857142857142855,0.21380509930400526,0.6740973309713064,5,3,0.6,0.23071993220883708,0.8823817688407467,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102
Women's Featherweight,3,11,4,0.36363636363636365,0.15166223614131383,0.6462032231083628,4,2,0.5,0.15003570882017148,0.8499642911798285,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873
Women's Featherweight,4,10,4,0.4,0.16817758120350967,0.6873304525498135,4,2,0.5,0.15003570882017148,0.8499642911798285,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
Women's Featherweight,5,5,2,0.4,0.1176182311592533,0.769280067791163,2,1,0.5,0.09452865480086614,0.9054713451991339,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121
Women's Featherweight,6,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,2,1,0.5,0.09452865480086614,0.9054713451991339,1,0,0.0,0.0,0.7934567085261071
Women's Flyweight,1,211,99,0.46919431279620855,0.403009819006349,0.5364804845475251,53,27,0.5094339622641509,0.3788330425329779,0.6387597064396054,158,72,0.45569620253164556,0.38000988802272073,0.5334857768743144
Women's Flyweight,2,121,58,0.4793388429752066,0.3923377779775271,0.5676114697091413,29,17,0.5862068965517241,0.40737528478515245,0.7448706472035449,92,41,0.44565217391304346,0.34829640062529765,0.5473647736455826
Women's Flyweight,3,62,33,0.532258064516129,0.40983817375848014,0.650913691323778,16,10,0.625,0.3864064709793481,0.815190174452472,46,23,0.5,0.3611870167007236,0.6388129832992764
Women's Flyweight,4,22,13,0.5909090909090909,0.38734477382893806,0.7674444033117963,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,19,11,0.5789473684210527,0.36275551465160105,0.7685837960796962
Women's Flyweight,5,13,10,0.7692307692307693,0.49743126004873084,0.918206209075343,2,1,0.5,0.09452865480086614,0.9054713451991339,11,9,0.8181818181818182,0.5230138624217553,0.9486333993289995
Women's Flyweight,6,4,3,0.75,0.3006360524426366,0.9544139373553637,0,0,,,,4,3,0.75,0.3006360524426366,0.9544139373553637
