family,feature,op,threshold,score,train_risk_n,train_risk_roi,train_safe_n,train_safe_roi,validation_risk_n,validation_risk_roi,validation_safe_n,validation_safe_roi,train_improvement,validation_improvement,train_loss_lift,validation_loss_lift
C03,sel_last5_ppg,>=,1.4,0.2691192916617741,17,-0.1152941176470588,28,0.4253571428571429,13,0.030769230769230764,18,0.6844444444444444,0.2042460317460318,0.27412186379928316,0.14379084967320266,0.18362282878411906
C03,sel_season_gdpg,>=,-0.1409523809523809,0.2676056784622133,9,-0.5055555555555555,36,0.4027777777777778,13,0.03307692307692305,18,0.6827777777777777,0.1816666666666667,0.27245519713261646,0.33333333333333337,0.18362282878411906
C03,opp_last10_ppg,>=,1.9,0.20714797242418706,11,-0.21818181818181817,34,0.36323529411764705,8,-0.15250000000000002,23,0.6060869565217392,0.14212418300653595,0.1957643758765779,0.19191919191919193,0.2701612903225806
C03,edge_days_rest,>=,1.0,0.18751794919518963,11,-0.1927272727272727,34,0.355,9,-0.009999999999999985,22,0.5822727272727273,0.1338888888888889,0.17195014662756603,0.19191919191919193,0.2007168458781362
C03,edge_venue5_ppg,<=,-0.03999999999999985,0.173391686568927,9,-0.018888888888888882,36,0.2811111111111111,11,-0.0018181818181818197,20,0.637,0.06,0.22667741935483876,0.11111111111111116,0.19061583577712604
C03,opp_last5_xgapg,<=,1.06962,0.15748859498147383,16,-0.04812499999999997,29,0.3696551724137931,5,-0.11200000000000002,26,0.5107692307692306,0.148544061302682,0.10044665012406939,0.11805555555555558,0.2451612903225806
C03,edge_last5_xgfpg,>=,0.5848879999999999,0.1462742771210592,9,-0.26666666666666666,36,0.34305555555555556,5,-0.07000000000000002,26,0.5026923076923077,0.12194444444444447,0.09236972704714641,0.22222222222222232,0.2451612903225806
C03,sel_last10_xgdpg,>=,0.08598199999999981,0.13686443599664597,16,-0.05437500000000001,29,0.37310344827586206,9,0.23333333333333334,22,0.4827272727272728,0.15199233716475097,0.07240469208211153,0.11805555555555558,0.08960573476702505
C03,sel_last10_gdpg,>=,0.020000000000000285,0.12383084565780147,9,-0.29333333333333333,36,0.34972222222222216,9,0.26999999999999996,22,0.46772727272727277,0.12861111111111106,0.05740469208211152,0.22222222222222232,0.08960573476702505
C04,opp_prior_road_miles5,>=,6158.814458334052,0.18604435922386933,25,0.10760000000000002,47,0.3378723404255319,11,-0.25909090909090915,25,0.47,0.0799556737588652,0.2227777777777778,0.07888888888888879,0.2752525252525252
C04,opp_last3_xgfpg,<=,0.9038866666666666,0.17601048923078638,15,-0.11666666666666663,57,0.35649122807017547,7,-0.43142857142857144,29,0.41103448275862076,0.09857456140350879,0.16381226053639858,0.17222222222222217,0.35317460317460314
C04,edge_last10_ppg,<=,-0.4,0.1746031041089926,26,-0.015384615384615389,46,0.4123913043478262,9,-0.13444444444444442,27,0.3744444444444444,0.15447463768115954,0.12722222222222224,0.13888888888888884,0.19444444444444442
C04,edge_season_gdpg,>=,0.0006249999999999939,0.14711176562979256,25,0.08600000000000002,47,0.3493617021276596,15,0.03533333333333332,21,0.39857142857142863,0.09144503546099292,0.15134920634920646,0.07888888888888879,0.10555555555555551
C04,opp_season_xgfpg,>=,1.467811896551724,0.1418231060063484,15,0.04733333333333333,57,0.3133333333333334,14,-0.01714285714285711,22,0.41545454545454547,0.055416666666666725,0.1682323232323233,0.10555555555555551,0.13888888888888884
C04,edge_last5_xgapg,>=,0.23745400000000003,0.11888812494381593,25,0.08439999999999999,47,0.3502127659574468,13,0.08076923076923076,23,0.34130434782608693,0.09229609929078014,0.09408212560386475,0.07888888888888879,0.1004273504273504
C04,edge_season_xgfpg,<=,-0.16930340326340299,0.09621013974180267,15,0.08533333333333334,57,0.30333333333333334,5,-0.21800000000000003,31,0.322258064516129,0.04541666666666666,0.07503584229390681,0.10555555555555551,0.23888888888888882
C04,opp_last10_ppg,>=,1.7,0.08661403293855355,16,0.12874999999999998,56,0.2948214285714286,8,-0.026249999999999968,28,0.32535714285714284,0.03690476190476194,0.07813492063492067,0.07638888888888884,0.13888888888888884
S_ELO_AWAY,edge_last5_xgapg,>=,0.011130000000000084,0.3049510912738466,18,-0.25111111111111106,33,0.6457575757575759,22,-0.365,39,0.27666666666666667,0.31654188948306605,0.23142076502732242,0.15032679738562094,0.1296572280178837
S_ELO_AWAY,opp_last10_gdpg,>=,0.3,0.24691954828132098,23,-0.04478260869565218,28,0.6364285714285715,19,-0.24631578947368424,42,0.17714285714285719,0.30721288515406164,0.13189695550351294,0.1116794543904518,0.10094909404659191
S_ELO_AWAY,opp_last5_xgapg,<=,1.13962,0.20515194067227838,11,-0.39272727272727276,40,0.5277499999999999,16,-0.358125,45,0.18866666666666668,0.19853431372549013,0.14342076502732243,0.19073083778966127,0.12397540983606559
S_ELO_AWAY,edge_last10_gdpg,<=,-0.7,0.18466318758035433,14,0.04642857142857142,37,0.43621621621621626,12,-0.7458333333333332,49,0.2389795918367347,0.10700052994170645,0.19373369019739045,0.08683473389355745,0.22814207650273222
S_ELO_AWAY,opp_last10_ppg,>=,1.7,0.1822119972059773,21,0.0319047619047619,30,0.5373333333333333,18,-0.2044444444444445,43,0.14976744186046512,0.20811764705882352,0.10452154022112087,0.08683473389355745,0.08925318761384338
S_ELO_AWAY,opp_last5_xgfpg,>=,1.54734,0.17939958150230728,11,-0.3181818181818182,40,0.50725,15,-0.3026666666666667,46,0.15869565217391307,0.17803431372549017,0.11344975053456882,0.19073083778966127,0.11147540983606563
S_ELO_AWAY,sel_last5_xgfpg,>=,1.7363399999999998,0.16460271992519146,11,-0.31545454545454543,40,0.5065,13,-0.27692307692307694,48,0.13249999999999998,0.17728431372549014,0.08725409836065573,0.19073083778966127,0.08070617906683475
S_ELO_AWAY,edge_last10_ppg,<=,-0.4000000000000001,0.16332800820855897,18,0.000555555555555519,33,0.5084848484848485,14,-0.265,47,0.13765957446808513,0.17926916221033873,0.09241367282874088,0.09477124183006536,0.09718969555035128
S_ELO_AWAY,edge_last3_xgapg,>=,0.2367999999999999,0.15230542312761067,11,0.02363636363636362,40,0.41325,19,-0.3178947368421053,42,0.2095238095238095,0.0840343137254902,0.16427790788446525,0.09982174688057044,0.10094909404659191
S_ELO_AWAY,opp_season_xgapg,>=,1.553285,0.1508785341817535,11,0.00454545454545453,40,0.4185,10,-0.6849999999999999,51,0.18843137254901968,0.08928431372549017,0.14318547090967543,0.09982174688057044,0.2114754098360656
S_ELO_AWAY,sel_season_gdpg,>=,0.2,0.14419508589255742,11,0.01727272727272727,40,0.4149999999999999,13,-0.46923076923076923,48,0.18458333333333332,0.08578431372549011,0.13933743169398907,0.09982174688057044,0.15762925598991173
S_ELO_AWAY,opp_last3_xgdpg,>=,0.3897999999999999,0.14324589931808687,11,0.007272727272727239,40,0.41775,19,-0.26789473684210524,42,0.1869047619047619,0.0885343137254902,0.14165886026541766,0.09982174688057044,0.10094909404659191
