org_group,event_date,event_name,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,best_odds,best_book,books,won,profit,bfo_event,bfo_href
PFL,2022-03-11,Professional Fighters League - PFL Challenger Series 4,Edwin Cooper Jr.,Troy Lamson,Edwin Cooper Jr.,Troy Lamson,29.04371753013409,30.404457312607377,1.3607397824732885,0.743421052631579,-350,BetWay,4,True,14.285714285714285,PFL Challenger Series 4,/events/pfl-challenger-series-4-2465
PFL,2022-03-11,Professional Fighters League - PFL Challenger Series 4,Brahyam Zurcher,Scottie Stockman,Scottie Stockman,Brahyam Zurcher,28.30722054525418,26.001902845369855,-2.3053176998843234,0.6865351629502573,-225,BetWay,4,False,-50.0,PFL Challenger Series 4,/events/pfl-challenger-series-4-2465
PFL,2022-03-18,Professional Fighters League - PFL Challenger Series 5,Yanal Ashmouz,Dennis Hughes Jr.,Yanal Ashmouz,Dennis Hughes Jr.,26.965646111829813,23.81705305379303,-3.1485930580367842,0.725752508361204,-305,DraftKings,5,True,16.39344262295082,PFL Challenger Series 5,/events/pfl-challenger-series-5-2477
PFL,2022-03-18,Professional Fighters League - PFL Challenger Series 5,Michael Dufort,Arut Pogosjan,Arut Pogosjan,Michael Dufort,33.96099851468545,28.186752636946686,-5.774245877738764,0.5,105,DraftKings,5,False,-50.0,PFL Challenger Series 5,/events/pfl-challenger-series-5-2477
PFL,2022-03-18,Professional Fighters League - PFL Challenger Series 5,Damir Ferhatbegovic,B.J. Bland,Damir Ferhatbegovic,B.J. Bland,27.507751699213536,33.41889292730173,5.911141228088191,0.6454867739296428,-185,BetMGM,5,True,27.027027027027028,PFL Challenger Series 5,/events/pfl-challenger-series-5-2477
PFL,2022-03-25,Professional Fighters League - PFL Challenger Series 6,Adam Keresh,Chad Johnson,Adam Keresh,Chad Johnson,28.433164267575652,35.674928301060255,7.241764033484603,0.6556291390728477,-210,Caesars,5,True,23.809523809523807,PFL CHALLENGER SERIES 6,/events/pfl-challenger-series-6-2480
PFL,2022-03-25,Professional Fighters League - PFL Challenger Series 6,Giacomo Lemos,Billy Swanson,Giacomo Lemos,Billy Swanson,32.75358152460352,28.006050774485445,-4.747530750118074,0.7864077669902912,-330,FanDuel,5,True,15.151515151515152,PFL CHALLENGER SERIES 6,/events/pfl-challenger-series-6-2480
PFL,2022-03-25,Professional Fighters League - PFL Challenger Series 6,Marcelo Nunes,Bevon Lewis,Marcelo Nunes,Bevon Lewis,33.24914269286844,30.889066852844344,-2.360075840024095,0.5367573011077542,-115,DraftKings,5,True,43.47826086956522,PFL CHALLENGER SERIES 6,/events/pfl-challenger-series-6-2480
PFL,2022-04-01,Professional Fighters League - PFL Challenger Series 7,Christian Turner,Chayanne Serrano,Christian Turner,Chayanne Serrano,20.1783746415053,25.26266795348296,5.08429331197766,0.817258883248731,-525,DraftKings,5,True,9.523809523809524,PFL Challenger Series 7,/events/pfl-challenger-series-7-2490
PFL,2022-04-01,Professional Fighters League - PFL Challenger Series 7,Daeri Alderman,Jaylon McDaniel,Daeri Alderman,Jaylon McDaniel,26.10868121864241,19.660910217184473,-6.447771001457937,0.791953838756211,-320,DraftKings,5,True,15.625,PFL Challenger Series 7,/events/pfl-challenger-series-7-2490
PFL,2022-05-06,Professional Fighters League - PFL 3: 2022 Regular Season,Sadibou Sy,Nikolay Aleksakhin,Nikolay Aleksakhin,Sadibou Sy,31.266898019808757,35.43946829845924,4.172570278650483,0.6760526130192538,-240,DraftKings,2,False,-50.0,PFL 2021 2: MacDonald vs. Millender,/events/pfl-2021-2-macdonald-vs-millender-2106
PFL,2022-11-25,Professional Fighters League - 2022 Season PFL Championships,Dakota Ditcheva,Katherine Corogenes,Dakota Ditcheva,Katherine Corogenes,24.337255385120844,33.61054641779092,9.273291032670077,0.7991596638655463,-400,Unibet,6,True,12.5,PFL Championships 2022,/events/pfl-championships-2022-2679
PFL,2022-11-25,Professional Fighters League - 2022 Season PFL Championships,Larissa Pacheco,Kayla Harrison,Kayla Harrison,Larissa Pacheco,32.400391520702,28.216869614023558,-4.183521906678443,0.8509066961450714,-715,Unibet,6,False,-50.0,PFL Championships 2022,/events/pfl-championships-2022-2679
PFL,2023-01-27,Professional Fighters League - PFL Challenger Series 2023 Week 1: Welterweights,Thad Jean,Eric Alequin,Thad Jean,Eric Alequin,24.534384689624016,32.696085477456755,8.16170078783274,0.7316514518717944,-333,BetWay,2,True,15.015015015015015,PFL Challenger Series Week 1,/events/pfl-challenger-series-week-1-2775
PFL,2023-01-27,Professional Fighters League - PFL Challenger Series 2023 Week 1: Welterweights,Kendly St. Louis,Nick Alley,Kendly St. Louis,Nick Alley,32.0663668658494,32.132076634017125,0.06570976816772145,0.7931340633323469,-500,BetWay,2,True,10.0,PFL Challenger Series Week 1,/events/pfl-challenger-series-week-1-2775
PFL,2023-02-03,Professional Fighters League - PFL Challenger Series 2023 Week 2: Women's Featherweights,Michelle Montague,Shaquita Woods,Michelle Montague,Shaquita Woods,29.19156450851147,33.88159921148278,4.69003470297131,0.8064516129032258,-500,DraftKings,1,True,10.0,PFL Challenger Series Week 2,/events/pfl-challenger-series-week-2-2787
PFL,2023-02-10,Professional Fighters League - PFL Challenger Series 2023 Week 3: Heavyweights,Louie Sutherland,Alton Meeks,Alton Meeks,Louie Sutherland,28.852064039644894,29.00538683203625,0.15332279239135715,0.5407695752523339,-125,DraftKings,2,False,-50.0,PFL Challenger Series,/events/pfl-challenger-series-2791
PFL,2023-02-10,Professional Fighters League - PFL Challenger Series 2023 Week 3: Heavyweights,Abraham Bably,Hassan Graham,Abraham Bably,Hassan Graham,27.116230997214178,29.667960327727467,2.5517293305132895,0.7761383354809606,-410,DraftKings,2,True,12.195121951219512,PFL Challenger Series,/events/pfl-challenger-series-2791
PFL,2023-02-10,Professional Fighters League - PFL Challenger Series 2023 Week 3: Heavyweights,Isaiah Pinson,Vitor Resende,Vitor Resende,Isaiah Pinson,32.843932455834135,27.797969841954316,-5.045962613879819,0.7854593330523615,-450,BetWay,2,False,-50.0,PFL Challenger Series,/events/pfl-challenger-series-2791
PFL,2023-02-10,Professional Fighters League - PFL Challenger Series 2023 Week 3: Heavyweights,Danilo Marques,Ras Hylton,Danilo Marques,Ras Hylton,16.832652278965345,35.00414108434807,18.171488805382726,0.8111687639466372,-549,BetWay,2,True,9.107468123861565,PFL Challenger Series,/events/pfl-challenger-series-2791
PFL,2023-02-17,Professional Fighters League - PFL Challenger Series 2023 Week 4: Lightweights,Charles Decca,Jose Aguayo,Charles Decca,Jose Aguayo,28.591962873980986,31.923995701486,3.3320328275050137,0.5934009783899942,-163,BetWay,2,True,30.67484662576687,PFL Challenger Series,/events/pfl-challenger-series-2800
