track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score
MODERN,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4288045288045288], [""recent_edge_success_rate"", "">="", 0.04949838070981]]",91,53,0.5824175824175825,0.34692307692307695,28,0.29250000000000004,9,0.33111111111111113,27,0.2551851851851852,0.75,-0.056620370370370376,False,0.36927113858363864
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785], [""recent_edge_kick_return_average"", ""<="", -0.1388888888888892]]",131,50,0.3816793893129771,0.3402290076335878,68,0.361764705882353,31,0.34741935483870967,32,0.28750000000000003,0.8,-0.0670920303605313,False,0.3665032268928256
MODERN,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4449241924851681], [""recent_edge_third_down_success"", "">="", 0.08214994428229724]]",86,52,0.6046511627906976,0.43337209302325574,25,0.5336000000000001,7,0.43714285714285717,24,0.29833333333333334,0.631578947368421,-0.18703809523809528,False,0.3662756432942822
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4667437246300308], [""rank_edge_third_down_success"", "">="", 1.0]]",116,65,0.5603448275862069,0.33698275862068966,50,0.51,26,0.13423076923076924,40,0.25250000000000006,0.75,-0.06961538461538458,False,0.3620301724137931
MODERN,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4449241924851681], [""rank_edge_def_allowed_success_rate"", ""<="", -1.0]]",169,95,0.5621301775147929,0.340414201183432,44,0.32954545454545453,17,0.4241176470588236,58,0.26155172413793104,0.75,-0.115279826664208,False,0.36002674230512827
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785], [""recent_edge_off_epa"", "">="", -3.647945323238858]]",158,66,0.4177215189873418,0.39924050632911395,84,0.38357142857142845,35,0.5877142857142856,39,0.2638461538461539,0.8,-0.22179670329670315,False,0.36001304771178194
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785], [""recent_edge_points_for"", "">="", -3.0]]",164,65,0.39634146341463417,0.35634146341463413,90,0.2511111111111111,32,0.6778124999999999,42,0.33690476190476193,0.7,-0.12755704365079357,False,0.35994662033004265
LONG,DOG20_34,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.4583534816247582], [""recent_edge_sack_or_hit_rate"", "">="", 0.02185692959912245]]",72,30,0.4166666666666667,0.4816666666666666,36,0.5102777777777777,22,0.6195454545454545,14,0.19142857142857142,0.7777777777777778,-0.3734830447330447,False,0.35289603174603174
MODERN,FAV55_65,HOME,RUN,"[[""pre_run_rate2"", "">="", 0.4277212252069547], [""rank_edge_punt_return_average"", "">="", 10.0]]",90,61,0.6777777777777778,0.11864433166121427,22,0.17068101739447325,9,0.12804462823930704,28,0.36419212737976414,0.55,0.214829304562874,False,0.34998034145460594
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4476493111406392], [""rank_edge_pass_epa_per_dropback"", "">="", 7.0]]",75,43,0.5733333333333334,0.3709333333333333,32,0.6546875000000001,20,0.1165,23,0.1973913043478261,0.8,-0.18820244565217398,False,0.34876556612318843
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.42857142857142855], [""rank_edge_sack_or_hit_rate"", "">="", 4.0]]",122,46,0.3770491803278688,0.3397540983606558,52,0.07711538461538463,36,0.7472222222222222,34,0.31000000000000005,0.7,-0.10216880341880336,False,0.34856149817850646
LONG,FAV55_65,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.410336189848385], [""recent_edge_rush_epa_per_carry"", ""<="", -0.00203209504005635]]",119,86,0.7226890756302521,0.2159569368183472,42,0.23968215156949557,34,0.2086773965814762,43,0.19853938678358868,0.8,-0.025640387291897215,False,0.3464574951904138
LONG,DOG35_44,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.44813110775890336], [""recent_edge_sack_or_hit_rate"", "">="", 0.00288736374754465]]",117,60,0.5128205128205128,0.28145299145299146,53,0.3671698113207547,23,0.06913043478260869,41,0.2897560975609756,0.6,0.0716059745092939,False,0.3436760270510196
MODERN,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4288045288045288], [""rank_edge_def_allowed_success_rate"", ""<="", -1.0]]",220,120,0.5454545454545454,0.3041818181818183,56,0.25875,23,0.36956521739130427,74,0.20810810810810812,0.8,-0.106049500587544,False,0.34339906860912306
LONG,DOG35_44,AWAY,ROAD3,"[[""road_prev5_ge3"", "">="", 1.0], [""recent_edge_third_down_success"", "">="", 0.08407356532356525]]",52,28,0.5384615384615384,0.3325000000000001,27,0.472962962962963,13,0.12538461538461537,12,0.24083333333333337,0.6842105263157895,-0.0583404558404558,False,0.34329566651671917
