event_date,year,event_name,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,best_odds,best_book,book_count,won,profit,event_match_score,fight_match_score,bfo_event,bfo_href
2026-04-11,2026,UFC 327 - Prochazka vs. Ulberg,Azamat Murzakanov,Paulo Costa,Azamat Murzakanov,Paulo Costa,36.997337385435706,34.9740241072712,-2.0233132781645082,0.6888983592584701,-250,BetWay,5,False,-50.0,90.0,100.0,UFC 327,/events/ufc-327-4074
2026-04-11,2026,UFC 327 - Prochazka vs. Ulberg,Josh Hokit,Curtis Blaydes,Josh Hokit,Curtis Blaydes,28.411261011519745,35.143774341704486,6.732513330184741,0.5064069707842132,100,BetWay,5,True,50.0,90.0,100.0,UFC 327,/events/ufc-327-4074
2026-04-11,2026,UFC 327 - Prochazka vs. Ulberg,Patricio Freire,Aaron Pico,Aaron Pico,Patricio Freire,29.547492419419974,38.76328740494329,9.215794985523317,0.6888983592584701,-265,BetRivers,5,True,18.867924528301888,90.0,100.0,UFC 327,/events/ufc-327-4074
2026-04-11,2026,UFC 327 - Prochazka vs. Ulberg,Mateusz Gamrot,Esteban Ribovics,Mateusz Gamrot,Esteban Ribovics,35.33268992518669,29.955440563461263,-5.377249361725429,0.6665837272953471,-188,BetWay,5,True,26.595744680851062,90.0,100.0,UFC 327,/events/ufc-327-4074
2026-05-09,2026,UFC 328 - Chimaev vs. Strickland,William Gomis,Pat Sabatini,Pat Sabatini,William Gomis,35.496964345606,28.904084272777673,-6.592880072828329,0.6053006554573952,-165,Caesars,5,True,30.303030303030305,90.0,100.0,UFC 328,/events/ufc-328-4165
2026-05-09,2026,UFC 328 - Chimaev vs. Strickland,Yaroslav Amosov,Joel Alvarez,Yaroslav Amosov,Joel Alvarez,32.663230593372894,33.1861708317077,0.5229402383348045,0.6209150326797386,-175,BetWay,5,True,28.57142857142857,90.0,100.0,UFC 328,/events/ufc-328-4165
2026-05-09,2026,UFC 328 - Chimaev vs. Strickland,Baisangur Susurkaev,Djorden Santos,Baisangur Susurkaev,Djorden Santos,25.33111562865767,28.76992682943524,3.438811200777568,0.8468983721953366,-770,BetRivers,5,True,6.493506493506493,90.0,100.0,UFC 328,/events/ufc-328-4165
2026-05-09,2026,UFC 328 - Chimaev vs. Strickland,Waldo Cortes-Acosta,Alexander Volkov,Alexander Volkov,Waldo Cortes-Acosta,37.53944297281943,34.59893084731377,-2.9405121255056628,0.5559568117330582,-126,FanDuel,5,True,39.682539682539684,90.0,100.0,UFC 328,/events/ufc-328-4165
2026-05-09,2026,UFC 328 - Chimaev vs. Strickland,Tatsuro Taira,Joshua Van,Tatsuro Taira,Joshua Van,26.281169360082686,24.578191201735834,-1.702978158346852,0.5829926410466066,-152,BetRivers,5,False,-50.0,90.0,100.0,UFC 328,/events/ufc-328-4165
2026-05-09,2026,UFC 328 - Chimaev vs. Strickland,Joaquin Buckley,Sean Brady,Joaquin Buckley,Sean Brady,32.033511981765535,33.457223625399564,1.4237116436340287,0.5951171430737736,-164,FanDuel,3,False,-50.0,90.0,100.0,UFC 328,/events/ufc-328-4165
2026-05-09,2026,UFC 328 - Chimaev vs. Strickland,Jose Ochoa,Clayton Carpenter,Jose Ochoa,Clayton Carpenter,25.35301888471358,29.914371958356433,4.561353073642852,0.6183206106870229,-180,FanDuel,5,True,27.77777777777778,90.0,100.0,UFC 328,/events/ufc-328-4165
