family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap
RING_RUST_EDGE,mkt 0.550-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,353,233,0.660056657223796,-0.03645694605424849,-1286.9301957149717,164,-0.07765950659219588,189,-0.0007044596615322483,0.2719546742209632
RING_RUST_EDGE,mkt 0.575-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,211,127,0.6018957345971564,-0.0869626122730875,-1834.9111189621462,93,-0.07709911477106843,118,-0.09473638572806863,0.11374407582938388
RING_RUST_EDGE,mkt 0.575-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,242,154,0.6363636363636364,-0.05388329262284264,-1303.9756814727918,107,-0.058916209060323625,135,-0.04989424033535769,0.17355371900826447
RING_RUST_EDGE,mkt 0.575-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,273,175,0.6410256410256411,-0.060650773268856095,-1655.7661102397715,126,-0.06540015669917906,147,-0.056579873185722135,0.23809523809523808
RING_RUST_EDGE,mkt 0.575-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,296,193,0.652027027027027,-0.056223090979149466,-1664.2034929828242,140,-0.05815915668294774,156,-0.0544855961167664,0.27702702702702703
RING_RUST_EDGE,mkt 0.575-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,314,209,0.6656050955414012,-0.04785177147071702,-1502.5456241805146,147,-0.05283315370199495,167,-0.043466961961747846,0.3057324840764331
RING_RUST_EDGE,mkt 0.600-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,176,105,0.5965909090909091,-0.11129233097493821,-1958.7450251589125,75,-0.09953134132242811,101,-0.12002573913274274,0.13636363636363635
RING_RUST_EDGE,mkt 0.600-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,207,132,0.6376811594202898,-0.06897630858307045,-1427.8095876695584,89,-0.07414232915648734,118,-0.06507990323532384,0.2028985507246377
RING_RUST_EDGE,mkt 0.600-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,238,153,0.6428571428571429,-0.07477310993430833,-1779.6000164365382,108,-0.07902826545897507,130,-0.0712380576522775,0.27310924369747897
RING_RUST_EDGE,mkt 0.600-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,261,171,0.6551724137931034,-0.06850718004519506,-1788.037399179591,122,-0.06915503984496253,139,-0.0679385548971977,0.31417624521072796
RING_RUST_EDGE,mkt 0.600-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,279,187,0.6702508960573477,-0.058293173131802205,-1626.3795303772815,129,-0.062489197826868244,150,-0.054684591894045405,0.34408602150537637
RING_RUST_EDGE,mkt 0.625-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,128,76,0.59375,-0.13643281217752573,-1746.3399958723294,52,-0.09909131703095013,76,-0.16198225622518275,0.1875
RING_RUST_EDGE,mkt 0.625-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,159,103,0.6477987421383647,-0.07644053826308018,-1215.404558382975,66,-0.0649479572932526,93,-0.08459656346747399,0.2641509433962264
RING_RUST_EDGE,mkt 0.625-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,190,124,0.6526315789473685,-0.0824839466921029,-1567.194987149955,85,-0.07321118301172476,105,-0.08999046967145662,0.34210526315789475
RING_RUST_EDGE,mkt 0.625-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,213,142,0.6666666666666666,-0.07397335069920223,-1575.6323698930075,99,-0.06186679542942149,114,-0.08448693817032761,0.38497652582159625
RING_RUST_EDGE,mkt 0.625-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,231,158,0.683982683982684,-0.061211017363233686,-1413.9745010906981,106,-0.054235890623521715,125,-0.06712592483850946,0.4155844155844156
RING_RUST_EDGE,mkt 0.650-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,87,53,0.6091954022988506,-0.12981364847586466,-1129.3787417400226,34,-0.025934322876052743,53,-0.19645321584178177,0.27586206896551724
RING_RUST_EDGE,mkt 0.650-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,118,80,0.6779661016949152,-0.050715534258531224,-598.4433042506685,48,-0.0003246598652304063,70,-0.0852692766996518,0.3559322033898305
RING_RUST_EDGE,mkt 0.650-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,149,101,0.6778523489932886,-0.06377407604145291,-950.2337330176483,67,-0.029133866390641694,82,-0.09207766197565234,0.436241610738255
