combo,size,n,wins,losses,win_rate,roi,lift,pre_n,pre_roi,recent_n,recent_roi,removed_n,removed_losses,removed_roi,t1_roi,t2_roi,t3_roi
tdd_under60 & recent5_under500 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
tdd_under60 & finish_vuln40 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
ctrl_allowed3 & recent5_under500 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
ctrl_allowed3 & finish_vuln40 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
recent5_under500 & finish_vuln40 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
finish_vuln40 & kd_abs050,2,39,36,3,0.9230769230769231,0.36846539315352145,0.03198533832715672,18,0.4744443845581652,21,0.27762625766382687,2,1,-0.2872340425531915,0.48087046596898814,0.45736002295538997,0.16716569053618635
tdd_under60 & recent5_under500 & finish_vuln40,3,38,35,3,0.9210526315789473,0.3648057728304319,0.02832571800406719,17,0.4820689021082398,21,0.2698784777007778,3,1,-0.02231237322515208,0.49220737261582914,0.44484437839969526,0.16716569053618635
older2 & tdd_under60 & ctrl_allowed3,3,35,32,3,0.9142857142857143,0.3645953030989947,0.028115248272629956,17,0.4788234660027631,18,0.2567131492454354,6,1,0.17247443990269043,0.4906155093683083,0.48308096954196705,0.1305911142424847
neg_strike & tdd_under60 & recent5_under500,3,39,36,3,0.9230769230769231,0.3642935116349566,0.027813456808591874,18,0.4744443845581652,21,0.2698784777007778,2,1,-0.2058823529411764,0.48087046596898814,0.44484437839969526,0.16716569053618635
older2 & neg_strike & ctrl_allowed3,3,38,35,3,0.9210526315789473,0.36329417319933965,0.026814118372974927,18,0.4744443845581652,20,0.26325898297639666,3,1,-0.003165444564651191,0.48306421692094914,0.44886569242716107,0.16716569053618635
neg_strike & tdd_under60 & ctrl_allowed3,3,38,35,3,0.9210526315789473,0.36329417319933965,0.026814118372974927,18,0.4744443845581652,20,0.2632589829763967,3,1,-0.003165444564651191,0.48306421692094914,0.44886569242716107,0.16716569053618635
neg_strike & recent5_under500 & finish_vuln40,3,38,35,3,0.9210526315789473,0.3631390444330838,0.026658989606719086,17,0.4783432739259324,21,0.2698784777007778,3,1,-0.0012004801920768198,0.48692939935756024,0.44484437839969526,0.16716569053618635
neg_strike & tdd_under60 & finish_vuln40,3,38,35,3,0.9210526315789473,0.3626819747070971,0.026201919880732394,18,0.4744443845581652,20,0.2620958058411358,3,1,0.004589069670421395,0.48306421692094914,0.44707618914214436,0.16716569053618635
older2 & neg_strike & finish_vuln40,3,37,34,3,0.918918918918919,0.36145275063685317,0.024972695810488443,17,0.4783432739259324,20,0.2620958058411358,4,1,0.10548261857934663,0.48692939935756024,0.44645375035853513,0.16716569053618635
neg_strike & tdd_under60,2,36,33,3,0.9166666666666666,0.35324842465159056,0.016768369825225837,17,0.47294111306158665,19,0.24615496660054137,5,1,0.2157477920847387,0.48306421692094914,0.44608994279133773,0.1305911142424847
recent5_under500 & finish_vuln40,2,34,31,3,0.9117647058823529,0.35190736374950776,0.015427308923143035,15,0.4895042417393007,19,0.2432782495470396,7,1,0.2615474114853844,0.49896939730318496,0.4498358464091261,0.12733272388732017
older2 & neg_strike,2,34,31,3,0.9117647058823529,0.35112969564061086,0.014649640814246134,15,0.484097685758032,19,0.24615496660054142,7,1,0.2653246565857409,0.497525674720032,0.44532125990459986,0.1305911142424847
older2 & tdd_under60 & finish_vuln40,3,34,31,3,0.9117647058823529,0.34964634249794985,0.01316628767158512,16,0.4792991750521783,18,0.23439938022752466,7,1,0.2725295147072369,0.4891003578531567,0.4491616670577959,0.1305911142424847
neg_strike & recent5_under500,2,36,33,3,0.9166666666666666,0.34911730784434947,0.01263725301798474,15,0.46005167004534964,21,0.2698784777007778,5,1,0.24549183309687517,0.47265623291048076,0.44410457638008277,0.1305911142424847
older2 & ctrl_allowed3 & recent5_under500,3,40,36,4,0.9,0.33804274112853067,0.0015626863021659387,18,0.4744443845581652,22,0.2264413965042843,1,0,0.273972602739726,0.48087046596898814,0.4690184315826123,0.08379671264074448
older2 & kd_abs050,2,41,37,4,0.9024390243902439,0.3364800548263647,0.0,18,0.4744443845581652,23,0.22850797068843393,0,0,,0.48087046596898814,0.4550865866652633,0.08379671264074448
older2 & neg_strike & kd_abs050,3,41,37,4,0.9024390243902439,0.3364800548263647,0.0,18,0.4744443845581652,23,0.22850797068843393,0,0,,0.48087046596898814,0.4550865866652633,0.08379671264074448
older2 & tdd_under60 & kd_abs050,3,41,37,4,0.9024390243902439,0.3364800548263647,0.0,18,0.4744443845581652,23,0.22850797068843393,0,0,,0.48087046596898814,0.4550865866652633,0.08379671264074448
older2 & ctrl_allowed3 & kd_abs050,3,41,37,4,0.9024390243902439,0.3364800548263647,0.0,18,0.4744443845581652,23,0.22850797068843393,0,0,,0.48087046596898814,0.4550865866652633,0.08379671264074448
older2 & recent5_under500 & kd_abs050,3,41,37,4,0.9024390243902439,0.3364800548263647,0.0,18,0.4744443845581652,23,0.22850797068843393,0,0,,0.48087046596898814,0.4550865866652633,0.08379671264074448
older2 & finish_vuln40 & kd_abs050,3,41,37,4,0.9024390243902439,0.3364800548263647,0.0,18,0.4744443845581652,23,0.22850797068843393,0,0,,0.48087046596898814,0.4550865866652633,0.08379671264074448
older2 & tdd_under60 & recent5_under500,3,39,35,4,0.8974358974358975,0.3316275474621431,-0.004852507364221603,18,0.4744443845581652,21,0.20921311566555276,2,0,0.4311039484286866,0.48087046596898814,0.4703896094243784,0.04362256699306281
older2 & neg_strike & recent5_under500,3,39,35,4,0.8974358974358975,0.3281867612424919,-0.008293293583872818,17,0.4783432739259324,22,0.21215672871437877,2,0,0.49819927971188477,0.4829181077681827,0.45801960896623023,0.04362256699306281
older2 & recent5_under500,2,37,33,4,0.8918918918918919,0.32108512960526703,-0.0153949252210977,17,0.4783432739259324,20,0.18741570693270138,4,0,0.478883113121519,0.48692939935756024,0.4590836930380261,0.04061482204983399
older2 & recent5_under500 & finish_vuln40,3,38,34,4,0.8947368421052632,0.31984532626670015,-0.01663472855966458,17,0.4783432739259324,21,0.19153746387589296,3,0,0.5471866165821165,0.48692939935756024,0.44484437839969526,0.04061482204983399
older2 & neg_strike & tdd_under60,3,37,33,4,0.8918918918918919,0.3166741429042503,-0.01980591192211445,17,0.47294111306158665,20,0.1838472182705143,4,0,0.5196847401059234,0.48306421692094914,0.44608994279133773,0.04362256699306281
