family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap,worst_era_roi,novelty,score
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.700; fav_fights>=8; opp_fights<=5; career_gap>=0.05,58,46,0.7931034482758621,0.20760215768617038,1204.0925145797883,26,0.2922667248635455,32,0.13881219685455307,0.05172413793103448,0.13881219685455307,0.9482758620689655,0.23992122790678166
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.800; fav_fights>=10; opp_fights<=6; career_gap>=0.00,76,61,0.8026315789473685,0.2045119202925421,1554.2905942233199,36,0.14202224021826987,40,0.2607526323593871,0.13157894736842105,0.14202224021826987,0.868421052631579,0.23965404389960698
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.750; fav_fights>=10; opp_fights<=6; career_gap>=0.00,62,49,0.7903225806451613,0.18320199544931204,1135.8523717857347,27,0.14800423691686102,35,0.21035455203148856,0.11290322580645161,0.14800423691686102,0.8870967741935484,0.2387378385499267
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.775; fav_fights>=10; opp_fights<=6; career_gap>=0.00,73,58,0.7945205479452054,0.2037516191605352,1487.386819871907,34,0.1372787220845889,39,0.26170234994469355,0.1232876712328767,0.1372787220845889,0.8767123287671232,0.23489315865378993
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.725; fav_fights>=10; opp_fights<=6; career_gap>=0.00,66,53,0.803030303030303,0.2341896481375561,1545.6516777078702,31,0.1240863992624733,35,0.33170966856977235,0.09090909090909091,0.1240863992624733,0.9090909090909091,0.2333255033833452
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.725; fav_fights>=8; opp_fights<=5; career_gap>=0.05,53,44,0.8301886792452831,0.2176264848223035,1153.4203695582087,24,0.3282102167178952,29,0.12610891359836562,0.1320754716981132,0.12610891359836562,0.8679245283018868,0.22831591913522847
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.750; fav_fights>=10; opp_fights<=6; career_gap>=0.00,71,56,0.7887323943661971,0.2020730658033598,1434.7187672038544,32,0.12939987575610926,39,0.26170234994469355,0.09859154929577464,0.12939987575610926,0.9014084507042254,0.22716770230841193
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.800; fav_fights>=10; opp_fights<=6; career_gap>=0.05,57,44,0.7719298245614035,0.14647560153331046,834.9109287398696,31,0.1428194735640001,26,0.15083483103518053,0.14035087719298245,0.1428194735640001,0.8596491228070176,0.2198754077848693
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.800; fav_fights>=8; opp_fights<=4; career_gap>=0.00,72,59,0.8194444444444444,0.1646255174747995,1185.3037258185564,33,0.19627929163348512,39,0.13784155472514242,0.19444444444444445,0.13784155472514242,0.8055555555555556,0.21962715250798892
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.700; fav_fights>=8; opp_fights<=6; career_gap>=0.05,50,40,0.8,0.1887349463490379,943.6747317451895,22,0.27040459056415744,28,0.12456594018001552,0.06,0.12456594018001552,0.94,0.21882317140217877
