track,price_band,venue,conditions,full_n,full_win_pct,full_roi,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,recent_delta,user_preferred,score
LONG,PK_55,ANY,"[[""coachq_oc_recent_quality"", ""<="", 0.5625], [""rank_edge_pass_epa_per_dropback"", "">="", 8.0]]",73,0.6712328767123288,0.3348216983654739,24,0.7083333333333334,0.4239733063331998,19,0.631578947368421,0.27217365827724094,30,0.6666666666666666,0.303177504047174,0.7777777777777778,-0.04489597825804642,False,0.41158598729009377
LONG,FAV55_65,AWAY,"[[""coachq_dc_prior_win_pct"", ""<="", 0.6045454545454546], [""opp_fatigue_load_index"", "">="", 0.9976454236715554]]",147,0.7074829931972789,0.18368951815400808,49,0.6938775510204082,0.15975023783461612,43,0.6511627906976745,0.09655525034821255,55,0.7636363636363637,0.27314039545036106,0.7894736842105263,0.14498765135894673,False,0.4111384561791591
MODERN,DOG35_49,AWAY,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.043749999999999956], [""recent_edge_punt_return_average"", "">="", 4.791666666666666]]",78,0.5512820512820513,0.31987179487179485,39,0.5384615384615384,0.277948717948718,15,0.6,0.45933333333333337,18,0.5555555555555556,0.34611111111111115,0.7647058823529411,-0.02252991452991454,False,0.41090327004463756
LONG,DOG20_34,AWAY,"[[""adv_oc_recent_quality"", ""<="", -0.25], [""rank_edge_giveaway_rate"", "">="", -4.0]]",83,0.37349397590361444,0.3430120481927711,39,0.41025641025641024,0.5074358974358975,26,0.3076923076923077,0.08346153846153846,18,0.3888888888888889,0.3616666666666667,0.7222222222222222,0.06621794871794873,False,0.4092216928098652
MODERN,DOG35_49,AWAY,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.043749999999999956], [""recent_edge_points_against"", "">="", 6.166666666666667]]",93,0.5268817204301075,0.24473118279569894,40,0.525,0.221,15,0.6,0.484,27,0.5925925925925926,0.4055555555555556,0.6666666666666666,0.053055555555555634,False,0.4053661059719129
MODERN,DOG20_34,AWAY,"[[""adv_staff_quality_min"", "">="", -0.11160714285714286], [""rank_edge_point_margin"", "">="", -4.0]]",165,0.4,0.35933333333333334,60,0.45,0.5361666666666667,25,0.36,0.22039999999999996,35,0.4,0.38571428571428573,0.631578947368421,0.007430952380952427,False,0.4050035710364253
MODERN,DOG20_34,AWAY,"[[""coachq_dc_recent_quality"", "">="", 0.5], [""recent_edge_sack_or_hit_rate"", "">="", 0.03082189290332965]]",87,0.40229885057471265,0.46287356321839074,30,0.43333333333333335,0.6693333333333334,15,0.4666666666666667,0.7100000000000002,24,0.4166666666666667,0.43083333333333335,0.631578947368421,-0.2588333333333335,False,0.40348426080729843
MODERN,FAV55_65,AWAY,"[[""coachq_dc_prior_win_pct"", ""<="", 0.5769230769230769], [""rank_edge_punt_return_average"", "">="", 2.5]]",128,0.75,0.24745344300627703,45,0.7555555555555555,0.2636233483542743,15,0.7333333333333333,0.23355147750917313,45,0.7333333333333333,0.215437074738583,0.8947368421052632,-0.0331503381931407,False,0.4028312099741288
MODERN,PK_55,ANY,"[[""coachq_oc_quality_delta_vs_departed"", ""<="", 0.09281249999999999], [""recent_edge_def_allowed_early_down_epa"", ""<="", 0.00209705196277545]]",139,0.6187050359712231,0.2510956985956751,60,0.6166666666666667,0.23691334360578806,25,0.64,0.2998552835142999,33,0.6060606060606061,0.24118778635306884,0.8888888888888888,-0.027196527206975157,False,0.39896378411939754
LONG,FAV55_65,AWAY,"[[""coachq_dc_prior_quality"", ""<="", 0.61875], [""rank_edge_points_against"", ""<="", -2.0]]",75,0.7333333333333333,0.23200849455439435,24,0.6666666666666666,0.09916360180318673,24,0.7916666666666666,0.3410000165142635,27,0.7407407407407407,0.25321149081336186,0.8125,0.033129681654636756,False,0.3984346332122966
MODERN,DOG20_34,AWAY,"[[""adv_staff_quality_min"", "">="", -0.012019230769230727], [""rank_edge_point_margin"", "">="", -4.0]]",122,0.38524590163934425,0.2809016393442623,51,0.43137254901960786,0.41313725490196074,17,0.4117647058823529,0.34470588235294114,20,0.4,0.41900000000000004,0.631578947368421,0.04007843137254907,False,0.39787792181873904
MODERN,FAV65_75,AWAY,"[[""coachq_dc_recent_quality"", "">="", 0.84375]]",89,0.8202247191011236,0.178358472895728,26,0.8076923076923077,0.161550381456039,21,0.7619047619047619,0.08063140736147717,23,0.8260869565217391,0.19335635918694843,0.8823529411764706,0.07226546477819035,False,0.3976663429978731
