method_id,track,p_lo,p_hi,odds_range,train_n,train_roi,validation_n,validation_roi,preholdout_gain,preholdout_retain,score
NFL-H017,LONG,0.3859622867404968,0.4999,+100 to +159,92,0.20760869565217396,60,0.23600000000000004,0.021260603935568903,0.6710654936461389,0.03803724127672238
NFL-H019,LONG,0.35,0.41649377593361,+140 to +186,33,0.6412121212121212,21,0.3780952380952381,0.11494724025974024,0.6619318181818181,0.13149553571428568
NFL-H019,LONG,0.35,0.4175420168067227,+139 to +186,36,0.5711111111111111,21,0.3780952380952381,0.07989673520923518,0.6931818181818181,0.09722628066378064
NFL-H019,LONG,0.35,0.4230136594436101,+136 to +186,38,0.5507894736842106,24,0.40499999999999997,0.08318829744816586,0.759469696969697,0.10217503987240828
NFL-H019,LONG,0.35,0.4289117625663781,+133 to +186,40,0.47325000000000006,26,0.478076923076923,0.0809570221445221,0.8106060606060606,0.10122217365967362
NFL-H019,LONG,0.36192643750326997,0.41649377593361,+140 to +176,28,0.9342857142857143,20,0.44699999999999995,0.29593641774891766,0.5946969696969697,0.3108038419913419
NFL-H019,LONG,0.36192643750326997,0.4175420168067227,+139 to +176,31,0.8245161290322581,20,0.44699999999999995,0.2410516251221896,0.6259469696969697,0.25670029936461386
NFL-H019,LONG,0.36192643750326997,0.4230136594436101,+136 to +176,33,0.7857575757575759,23,0.4660869565217391,0.23121582674571806,0.6922348484848485,0.24852169795783927
NFL-H019,LONG,0.36192643750326997,0.4289117625663781,+133 to +176,35,0.6837142857142858,25,0.5372,0.2157507034632035,0.7433712121212122,0.2343349837662338
NFL-H019,LONG,0.36192643750326997,0.4405286343612334,+127 to +176,40,0.6449999999999999,29,0.40551724137931033,0.1305521812957157,0.8560606060606061,0.15195369644723083
NFL-H019,LONG,0.36192643750326997,0.4499,+122 to +176,43,0.5820930232558141,32,0.41500000000000004,0.10384007223396766,0.9327651515151516,0.12715920102184644
NFL-H019,LONG,0.3690036900369003,0.4289117625663781,+133 to +171,34,0.6520588235294118,20,0.5085,0.18557297237076645,0.6571969696969697,0.20200289661319068
NFL-H019,LONG,0.3690036900369003,0.4499,+122 to +171,42,0.5540476190476191,27,0.3711111111111111,0.06787292568542569,0.8465909090909092,0.08903769841269842
NFL-H019,LONG,0.3745318352059925,0.4499,+122 to +167,39,0.5346153846153846,25,0.37240000000000006,0.058801252913752905,0.7850378787878788,0.07842719988344987
NFL-H019,LONG,0.3787878787878788,0.4499,+122 to +164,37,0.4732432432432433,23,0.3760869565217391,0.02995866048855178,0.7339015151515151,0.04830619836733966
NFL-H022,LONG,0.35,0.4329004329004329,+131 to +186,38,0.39052631578947367,35,0.5274285714285715,0.06748575961733852,0.8383575883575883,0.08844469932627823
NFL-H022,LONG,0.35,0.4347826086956521,+130 to +186,40,0.3785,35,0.5274285714285715,0.06147260172260169,0.8575883575883576,0.08291231066231063
NFL-H022,LONG,0.35,0.4366812227074236,+129 to +186,42,0.3128571428571429,35,0.5274285714285715,0.02865117315117313,0.8768191268191268,0.0505716513216513
NFL-H022,LONG,0.35,0.4405286343612334,+127 to +186,46,0.29739130434782607,35,0.5274285714285715,0.02091825389651472,0.9152806652806653,0.04380027052853136
NFL-H022,LONG,0.35,0.4422829519316986,+126 to +186,46,0.29739130434782607,35,0.5274285714285715,0.02091825389651472,0.9152806652806653,0.04380027052853136
NFL-H022,LONG,0.3684763379035825,0.4329004329004329,+131 to +171,32,0.306875,26,0.5219230769230769,0.022907354469854424,0.659043659043659,0.0393834459459459
NFL-H022,LONG,0.3684763379035825,0.4347826086956521,+130 to +171,34,0.29764705882352943,26,0.5219230769230769,0.018293383881619135,0.6782744282744283,0.03525024458847985
NFL-H027,LONG,0.35,0.4389896696997095,+128 to +186,41,0.4765853658536586,25,0.2556,0.005938257314776568,0.6252354048964219,0.021569142437187116
NFL-H027,LONG,0.35,0.44150325523371403,+126 to +186,44,0.4790909090909091,25,0.2556,0.007191028933401816,0.6506591337099812,0.023457507276151347
NFL-H028,LONG,0.35,0.45662100456621,+119 to +186,51,0.2605882352941176,42,0.25857142857142856,0.007663165266106442,0.7041666666666666,0.02526733193277311
NFL-H028,LONG,0.35,0.4651162790697674,+115 to +186,55,0.28709090909090906,46,0.29,0.03662878787878787,0.7652777777777777,0.055760732323232316
NFL-H028,LONG,0.35,0.4716981132075472,+112 to +186,58,0.25741379310344825,46,0.29,0.021790229885057466,0.7861111111111112,0.04144300766283525
NFL-H028,LONG,0.36941675386903117,0.45662100456621,+119 to +171,43,0.2386046511627907,33,0.2675757575757576,0.0011735377026074884,0.5736111111111111,0.015513815480385267
NFL-H028,LONG,0.36941675386903117,0.4651162790697674,+115 to +171,47,0.2714893617021277,37,0.30567567567567566,0.03666585202223502,0.6347222222222222,0.05253390757779057
NFL-H028,LONG,0.36941675386903117,0.4716981132075472,+112 to +171,50,0.23799999999999996,37,0.30567567567567566,0.019921171171171162,0.6555555555555556,0.03631006006006005
NFL-H029,LONG,0.35,0.4562058945620589,+119 to +186,52,0.29769230769230764,46,0.28130434782608693,0.08201963923460713,0.7237158469945355,0.10011253540947052
NFL-H029,LONG,0.35,0.4597725447089164,+117 to +186,56,0.32196428571428576,46,0.28130434782608693,0.09415562824559619,0.7503825136612021,0.11291519108712625
NFL-H029,LONG,0.35,0.4659897368708374,+115 to +186,60,0.26999999999999996,49,0.20285714285714285,0.028949882903981247,0.8016393442622951,0.048990866510538626
NFL-H029,LONG,0.35,0.47984909827015093,+108 to +186,67,0.2001492537313433,56,0.24142857142857138,0.013310224055367179,0.9056830601092896,0.03595230055809942
NFL-H029,LONG,0.36941675386903117,0.4597725447089164,+117 to +171,44,0.4313636363636364,40,0.26425,0.14032812965722802,0.6212021857923498,0.15585818430203677
NFL-H029,LONG,0.36941675386903117,0.47984909827015093,+108 to +171,55,0.26109090909090904,50,0.22299999999999998,0.03456676602086435,0.7765027322404372,0.05397933432687528
NFL-H031,LONG,0.35,0.4166666666666667,+140 to +186,54,0.33962962962962967,36,0.23666666666666666,0.043889892214195605,0.708204334365325,0.06159500057332873
NFL-H033,LONG,0.35,0.4694835680751174,+113 to +186,100,0.27049999999999996,65,0.17676923076923076,0.014470655196034951,0.826348873755893,0.03512937703993228
NFL-H033,LONG,0.364963503649635,0.45558322955583225,+119 to +174,75,0.35213333333333335,47,0.20893617021276598,0.07137079158446925,0.6092194866422211,0.08660127875052478
NFL-H033,LONG,0.364963503649635,0.4587155963302752,+118 to +174,82,0.3697560975609756,49,0.20408163265306123,0.077754904918438,0.6517024620220011,0.09404746646898804
NFL-H033,LONG,0.364963503649635,0.4694835680751174,+113 to +174,89,0.3340449438202247,52,0.25884615384615384,0.08728158864460886,0.7002095337873232,0.10478682698929194
NFL-H033,LONG,0.364963503649635,0.4784688995215311,+109 to +174,93,0.3219354838709678,59,0.2164406779661017,0.06002412072995435,0.7597695128339444,0.07901835855080296
NFL-H033,LONG,0.364963503649635,0.4999,+100 to +174,104,0.30009615384615385,70,0.23,0.05588411673449652,0.87386066003143,0.07773063323528227
NFL-H033,LONG,0.3703703703703703,0.4587155963302752,+118 to +170,76,0.33460526315789474,46,0.16413043478260872,0.04020388878167132,0.6075432163436354,0.0553924691902622
NFL-H033,LONG,0.3703703703703703,0.4694835680751174,+113 to +170,83,0.29927710843373495,49,0.22469387755102035,0.05282153280379724,0.6560502881089576,0.06922279000652118
NFL-H033,LONG,0.3703703703703703,0.4784688995215311,+109 to +170,87,0.28793103448275864,56,0.1842857142857143,0.02694441419565606,0.7156102671555788,0.04483467087454553
NFL-H033,LONG,0.3703703703703703,0.4999,+100 to +170,98,0.26857142857142857,67,0.20373134328358208,0.026987425738924917,0.8297014143530644,0.04772996109775153
NFL-H033,LONG,0.3759398496240601,0.4694835680751174,+113 to +166,79,0.2631645569620253,48,0.19416666666666663,0.019501651625765545,0.6326348873755894,0.03531752381015528
NFL-H035,LONG,0.3584229390681003,0.4999,+100 to +179,44,0.47590909090909084,43,0.4020930232558139,0.06143161263800795,0.9361111111111111,0.08483439041578572
NFL-H035,LONG,0.35984256073402143,0.4514742014742014,+121 to +178,28,0.5139285714285716,31,0.40225806451612894,0.08052387352790585,0.6361111111111111,0.09642665130568363
NFL-H035,LONG,0.35984256073402143,0.4999,+100 to +178,40,0.48425,42,0.43547619047619035,0.08229365079365075,0.8833333333333333,0.10437698412698408
NFL-H036,LONG,0.35,0.45004645901506884,+122 to +186,41,0.5409756097560976,33,0.3427272727272727,0.04024304963329353,0.7692307692307692,0.059473818864062764
NFL-H036,LONG,0.35,0.45320855614973254,+121 to +186,44,0.5365909090909091,33,0.3427272727272727,0.03805069930069929,0.7980769230769231,0.05800262237762237
NFL-H036,LONG,0.35,0.46061810341182935,+117 to +186,46,0.565,35,0.32828571428571435,0.04503446553446552,0.840034965034965,0.06603533966033964
NFL-H036,LONG,0.3627169931517757,0.4366812227074236,+129 to +176,31,0.64,25,0.36800000000000005,0.10239160839160841,0.5821678321678322,0.11694580419580422
NFL-H036,LONG,0.3627169931517757,0.4405286343612334,+127 to +176,34,0.6288235294117648,25,0.36800000000000005,0.09680337309749079,0.611013986013986,0.11207872274784045
NFL-H036,LONG,0.3627169931517757,0.45004645901506884,+122 to +176,35,0.646,27,0.43370370370370376,0.13824346024346026,0.6433566433566433,0.15432737632737634
NFL-H036,LONG,0.3627169931517757,0.45320855614973254,+121 to +176,38,0.6326315789473684,27,0.43370370370370376,0.13155924971714447,0.6722027972027972,0.14836431964721442
NFL-H036,LONG,0.3627169931517757,0.46061810341182935,+117 to +176,40,0.6605000000000001,29,0.41,0.1336416083916084,0.7141608391608392,0.15149562937062938
NFL-H036,LONG,0.3627169931517757,0.4999,+100 to +176,46,0.5828260869565218,38,0.3531578947368421,0.06638359923829035,0.8741258741258742,0.0882367460914372
NFL-H036,LONG,0.3780758714969241,0.4999,+100 to +164,39,0.5894871794871795,26,0.3484615384615385,0.0673659673659674,0.6704545454545454,0.08412733100233102
NFL-H039,LONG,0.35,0.4366812227074236,+129 to +186,23,0.4017391304347827,29,0.41206896551724137,0.08752904797601205,0.8125,0.10784154797601204
NFL-H039,LONG,0.35,0.43907952701136094,+128 to +186,24,0.3433333333333333,29,0.41206896551724137,0.058326149425287355,0.828125,0.07902927442528736
NFL-H039,LONG,0.35,0.44366128242780223,+125 to +186,25,0.38040000000000007,30,0.365,0.05332500000000004,0.859375,0.07480937500000004
NFL-H039,LONG,0.35,0.4444444444444444,+125 to +186,28,0.3932142857142858,31,0.39354838709677414,0.07400633640552998,0.921875,0.09705321140552997
NFL-H039,LONG,0.35,0.4462301587301587,+124 to +186,28,0.3932142857142858,31,0.39354838709677414,0.07400633640552998,0.921875,0.09705321140552997
NFL-H040,MODERN,0.3709241553382076,0.4499,+122 to +170,25,0.4744,13,0.4869230769230769,0.038721062271062257,0.8797619047619047,0.06071510989010988
NFL-H040,MODERN,0.3719568437823182,0.4499,+122 to +169,23,0.4856521739130434,13,0.4869230769230769,0.044347149227583954,0.844047619047619,0.06544833970377444
NFL-H040,MODERN,0.3759398496240601,0.4499,+122 to +166,23,0.4856521739130434,13,0.4869230769230769,0.044347149227583954,0.844047619047619,0.06544833970377444
NFL-H040,MODERN,0.3816793893129771,0.4499,+122 to +162,20,0.44250000000000006,13,0.4869230769230769,0.022771062271062292,0.7904761904761906,0.04253296703296706
NFL-H044,LONG,0.35,0.4166666666666667,+140 to +186,34,0.3644117647058823,33,0.3372727272727272,0.044643833290892054,0.7706349206349206,0.06390970630676507
NFL-H044,LONG,0.35,0.4284604284604284,+133 to +186,36,0.4194444444444445,35,0.3974285714285714,0.10223809523809524,0.8166666666666667,0.1226547619047619
NFL-H044,LONG,0.3657832941965783,0.4166666666666667,+140 to +173,29,0.40965517241379307,24,0.3791666666666667,0.08821250684181717,0.607936507936508,0.10341091954022986
NFL-H044,LONG,0.3657832941965783,0.4284604284604284,+133 to +173,31,0.4706451612903226,26,0.4569230769230769,0.157585706408287,0.653968253968254,0.17393491275749334
NFL-H044,LONG,0.3657832941965783,0.4389896696997095,+128 to +173,35,0.36857142857142855,30,0.3389999999999999,0.04758730158730151,0.746031746031746,0.06623809523809517
NFL-H044,LONG,0.3657832941965783,0.4499,+122 to +173,40,0.3095,33,0.3533333333333333,0.025218253968253918,0.8373015873015872,0.046150793650793595
NFL-H044,LONG,0.3723205771383556,0.4347826086956521,+130 to +169,32,0.3275,26,0.4569230769230769,0.08601312576312573,0.6650793650793652,0.10264010989010985
NFL-H044,LONG,0.3723205771383556,0.4389896696997095,+128 to +169,33,0.2872727272727273,27,0.4877777777777777,0.08132683982683978,0.6880952380952381,0.09852922077922073
NFL-H044,LONG,0.3759398496240601,0.4347826086956521,+130 to +166,31,0.3703225806451613,26,0.4569230769230769,0.10742441608570638,0.653968253968254,0.12377362243491273
NFL-H044,LONG,0.3759398496240601,0.4389896696997095,+128 to +166,32,0.3275,27,0.4877777777777777,0.10144047619047614,0.676984126984127,0.11836507936507931
NFL-H056,LONG,0.35,0.4219409282700422,+137 to +186,38,0.46894736842105256,34,0.29470588235294115,0.08686226479999479,0.7362683438155135,0.10526897339538263
NFL-H056,LONG,0.35,0.423728813559322,+136 to +186,42,0.3852380952380952,36,0.28833333333333333,0.041821353698712205,0.7962264150943397,0.0617270140760707
NFL-H056,LONG,0.35,0.4292317851639886,+133 to +186,42,0.3852380952380952,39,0.30923076923076925,0.052270071647430166,0.829559748427673,0.07300906535812199
NFL-H056,LONG,0.35,0.43516233149800637,+130 to +186,45,0.3442222222222222,40,0.27649999999999997,0.01539675052410902,0.8689727463312369,0.03712106918238994
NFL-H056,LONG,0.3652308761797812,0.4219409282700422,+137 to +174,32,0.5690625,25,0.31799999999999995,0.14856688941299792,0.579664570230608,0.16305850366876312
NFL-H056,LONG,0.3652308761797812,0.423728813559322,+136 to +174,36,0.4602777777777778,27,0.3077777777777777,0.08906341719077568,0.6396226415094339,0.10505398322851153
NFL-H056,LONG,0.3652308761797812,0.4292317851639886,+133 to +174,36,0.4602777777777778,30,0.333,0.10167452830188684,0.6729559748427673,0.11849842767295601
