method_id,registry_status,track,price_band,original_p_lo,original_p_hi,original_odds_range,proposed_p_lo,proposed_p_hi,proposed_odds_range,preholdout_gain,preholdout_retain,train_base_n,train_base_roi,train_window_n,train_window_roi,validation_base_n,validation_base_roi,validation_window_n,validation_window_roi,holdout_base_n,holdout_base_roi,holdout_window_n,holdout_window_roi,holdout_roi_change,holdout_retain,full_base_n,full_base_roi,full_window_n,full_window_roi,decision,live_p_lo,live_p_hi,live_odds_range
NFL-H010,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.35,0.4526943644590703,+121 to +186,0.1068404395775085,0.6705280172413793,64,0.36375,45,0.4766666666666666,58,0.2689655172413793,37,0.3697297297297297,40,0.3217499999999999,25,0.6036,0.2818500000000001,0.625,162,0.3194444444444444,107,0.46934579439252344,TIGHTEN_LIVE_PRICE,0.35,0.4526943644590703,+121 to +186
NFL-H031,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.35,0.4166666666666667,+140 to +186,0.043889892214195605,0.708204334365325,76,0.2530263157894737,54,0.33962962962962967,51,0.2354901960784314,36,0.23666666666666666,76,0.1828947368421053,43,0.3962790697674418,0.2133843329253365,0.5657894736842105,203,0.22236453201970444,133,0.3300751879699248,TIGHTEN_LIVE_PRICE,0.35,0.4166666666666667,+140 to +186
NFL-H065,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.35,0.4198223964126193,+138 to +186,0.1018260943737343,0.6507966143888474,103,0.2584466019417476,72,0.35263888888888884,78,0.2769230769230769,47,0.38638297872340427,120,0.10174999999999998,73,0.21575342465753425,0.11400342465753427,0.6083333333333333,301,0.20076411960132887,192,0.30885416666666665,TIGHTEN_LIVE_PRICE,0.35,0.4198223964126193,+138 to +186
NFL-H081,WATCHLIST,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.35,0.42238789959236217,+137 to +186,0.05313027903469075,0.8,52,0.24480769230769228,39,0.2474358974358974,40,0.35725,34,0.4608823529411764,38,0.1586842105263158,23,0.21782608695652173,0.059141876430205936,0.6052631578947368,130,0.2542307692307692,96,0.3159375,TIGHTEN_LIVE_PRICE,0.35,0.42238789959236217,+137 to +186
NFL-H087,FINAL_RESEARCH,LONG,DOG20_34,0.2,0.3499,+186 to +400,0.2,0.3355704697986577,+198 to +400,0.058132918905525965,0.9277427490542245,61,0.40262295081967225,55,0.5034545454545455,65,0.27230769230769225,62,0.28774193548387095,42,0.11047619047619046,40,0.166,0.055523809523809545,0.9523809523809523,168,0.2791666666666666,157,0.3322929936305732,TIGHTEN_LIVE_PRICE,0.2,0.3355704697986577,+198 to +400
NFL-H005,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.36576756576756575,0.4264566814577726,+134 to +173,0.03689301974502074,0.6243594797004335,59,0.5084745762711863,38,0.5842105263157894,43,0.3434883720930232,26,0.34153846153846157,41,0.3602439024390244,21,0.4147619047619048,0.0545180023228804,0.5121951219512195,143,0.4163636363636363,85,0.4681176470588235,TIGHTEN_LIVE_PRICE,0.36576756576756575,0.4264566814577726,+134 to +173
NFL-H096,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.35,0.4468577174459527,+124 to +186,0.18851587301587294,0.6499999999999999,30,0.41733333333333344,21,0.6304761904761905,30,0.275,18,0.43888888888888883,31,0.11580645161290322,19,0.16421052631578947,0.048404074702886254,0.6129032258064516,91,0.26769230769230773,58,0.4182758620689655,TIGHTEN_LIVE_PRICE,0.35,0.4468577174459527,+124 to +186
NFL-H008,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.35,0.4228348709146821,+136 to +186,0.09600174858243381,0.6668660287081339,76,0.23802631578947372,53,0.3464150943396227,66,0.40757575757575754,42,0.4911904761904762,64,0.24453125000000003,44,0.2902272727272728,0.045696022727272745,0.6875,206,0.29436893203883496,139,0.3723741007194244,TIGHTEN_LIVE_PRICE,0.35,0.4228348709146821,+136 to +186
NFL-H022,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.35,0.4329004329004329,+131 to +186,0.06748575961733852,0.8383575883575883,52,0.27730769230769237,38,0.39052631578947367,37,0.5056756756756757,35,0.5274285714285715,40,0.21100000000000002,30,0.23666666666666666,0.025666666666666643,0.75,129,0.3222480620155039,103,0.39223300970873787,TIGHTEN_LIVE_PRICE,0.35,0.4329004329004329,+131 to +186
NFL-H095,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.36483078964830784,0.42229850532789814,+137 to +174,0.17422722567287785,0.6785714285714286,60,0.2611666666666667,42,0.2621428571428571,35,0.326,23,0.6734782608695653,33,0.1003030303030303,18,0.12333333333333332,0.023030303030303026,0.5454545454545454,128,0.23742187500000003,83,0.3460240963855421,TIGHTEN_LIVE_PRICE,0.36483078964830784,0.42229850532789814,+137 to +174
NFL-H044,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.3657832941965783,0.4284604284604284,+133 to +173,0.157585706408287,0.653968253968254,45,0.28644444444444445,31,0.4706451612903226,42,0.325952380952381,26,0.4569230769230769,40,0.16025,23,0.18130434782608695,0.02105434782608695,0.575,127,0.2597637795275591,80,0.383,TIGHTEN_LIVE_PRICE,0.3657832941965783,0.4284604284604284,+133 to +173
NFL-H019,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.36192643750326997,0.41649377593361,+140 to +176,0.29593641774891766,0.5946969696969697,48,0.41729166666666667,28,0.9342857142857143,33,0.3721212121212122,20,0.44699999999999995,33,0.2936363636363637,11,0.6527272727272727,0.359090909090909,0.3333333333333333,114,0.3684210526315789,59,0.7166101694915255,WATCH_NARROW_WINDOW,0.35,0.4499,+122 to +186
NFL-H006,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.3636363636363636,0.4187616469181814,+139 to +175,0.09262717494486039,0.582604723998434,97,0.25680412371134015,59,0.38694915254237283,79,0.2967088607594937,44,0.3518181818181818,76,0.26815789473684204,37,0.44999999999999996,0.18184210526315792,0.4868421052631579,252,0.2727380952380953,140,0.3925714285714285,WATCH_NARROW_WINDOW,0.35,0.4499,+122 to +186
NFL-H056,WATCHLIST,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.3690036900369003,0.4219409282700422,+137 to +171,0.17387434909041724,0.570230607966457,53,0.3541509433962264,31,0.6196774193548387,45,0.23577777777777775,25,0.31799999999999995,33,0.2884848484848485,16,0.27875,-0.009734848484848513,0.48484848484848486,131,0.2969465648854962,72,0.43916666666666665,WATCH_NARROW_WINDOW,0.35,0.4499,+122 to +186
NFL-H016,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.3589386555271911,0.4166666666666667,+140 to +179,0.15673781887336874,0.6319693094629156,85,0.3334117647058824,52,0.48730769230769233,46,0.3060869565217391,30,0.4656666666666667,45,0.2613333333333333,21,0.2138095238095238,-0.047523809523809496,0.4666666666666667,176,0.30784090909090905,103,0.425242718446602,WATCH_NARROW_WINDOW,0.35,0.4499,+122 to +186
NFL-H057,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.3623188405797101,0.4166666666666667,+140 to +176,0.24120813352642526,0.6072522159548751,85,0.4545882352941176,52,0.8409615384615384,73,0.31054794520547946,44,0.40659090909090917,66,0.12500000000000006,32,0.039999999999999994,-0.08500000000000006,0.48484848484848486,224,0.3105357142857143,128,0.49140624999999993,WATCH_NARROW_WINDOW,0.35,0.4499,+122 to +186
