family,rule,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,removed_n,removed_wins,removed_losses,removed_roi,loss_capture_rate,winner_removal_rate,roi_change_pp,win_change_pp,sample_retained,promotion_screen
POWER TWO-FACTOR,veto oppKD15>=0.300 AND favKDabs15>=0.250,41,40,1,0.975609756097561,0.2041819652090366,21,0.17787033992416945,20,0.23180917175814714,13,11,2,0.08861352009011482,0.6666666666666666,0.21568627450980393,2.7822033084184907,3.1165311653116534,0.7592592592592593,True
POWER TWO-FACTOR,veto oppKD15>=0.350 AND favKDabs15>=0.200,41,40,1,0.975609756097561,0.20387885530138408,21,0.17727855391399072,20,0.23180917175814714,13,11,2,0.0895694821065574,0.6666666666666666,0.21568627450980393,2.75189231765324,3.1165311653116534,0.7592592592592593,True
POWER TWO-FACTOR,veto oppKD15>=0.400 AND favKDabs15>=0.050,39,38,1,0.9743589743589743,0.20329312755027107,20,0.23614248160969026,19,0.16871486011930356,15,13,2,0.10633362401876138,0.6666666666666666,0.2549019607843137,2.6933195425419387,2.991452991452992,0.7222222222222222,True
POWER TWO-FACTOR,veto oppKD15>=0.400 AND favKDabs15>=0.100,39,38,1,0.9743589743589743,0.20329312755027107,20,0.23614248160969026,19,0.16871486011930356,15,13,2,0.10633362401876138,0.6666666666666666,0.2549019607843137,2.6933195425419387,2.991452991452992,0.7222222222222222,True
POWER TWO-FACTOR,veto oppKD15>=0.400 AND favKDabs15>=0.125,39,38,1,0.9743589743589743,0.20329312755027107,20,0.23614248160969026,19,0.16871486011930356,15,13,2,0.10633362401876138,0.6666666666666666,0.2549019607843137,2.6933195425419387,2.991452991452992,0.7222222222222222,True
POWER TWO-FACTOR,veto oppKD15>=0.150 AND favKDabs15>=0.200,40,39,1,0.975,0.2019335731627919,20,0.17205797456743674,20,0.23180917175814714,14,12,2,0.10329238630216545,0.6666666666666666,0.23529411764705882,2.5573641037940216,3.055555555555556,0.7407407407407407,True
POWER TWO-FACTOR,veto oppKD15>=0.200 AND favKDabs15>=0.200,40,39,1,0.975,0.2019335731627919,20,0.17205797456743674,20,0.23180917175814714,14,12,2,0.10329238630216545,0.6666666666666666,0.23529411764705882,2.5573641037940216,3.055555555555556,0.7407407407407407,True
POWER TWO-FACTOR,veto oppKD15>=0.250 AND favKDabs15>=0.200,40,39,1,0.975,0.2019335731627919,20,0.17205797456743674,20,0.23180917175814714,14,12,2,0.10329238630216545,0.6666666666666666,0.23529411764705882,2.5573641037940216,3.055555555555556,0.7407407407407407,True
POWER TWO-FACTOR,veto oppKD15>=0.300 AND favKDabs15>=0.200,40,39,1,0.975,0.2019335731627919,20,0.17205797456743674,20,0.23180917175814714,14,12,2,0.10329238630216545,0.6666666666666666,0.23529411764705882,2.5573641037940216,3.055555555555556,0.7407407407407407,True
AGE CONFLICT,keep repaired age_adv >= -1y,42,41,1,0.9761904761904762,0.20085507529205934,19,0.2357488433265007,23,0.17202978865491217,12,10,2,0.09062693103962499,0.6666666666666666,0.19607843137254902,2.4495143167207662,3.1746031746031744,0.7777777777777778,True
AGE CONFLICT,keep repaired age_adv >= +1y,36,35,1,0.9722222222222222,0.2003376038832866,14,0.24934019417017128,22,0.1691541373370873,18,16,2,0.1284045886079819,0.6666666666666666,0.3137254901960784,2.397767175843493,2.777777777777779,0.6666666666666666,True
AGE CONFLICT,keep repaired age_adv >= +0y,40,39,1,0.975,0.19997345930876315,17,0.23777960195809097,23,0.17202978865491217,14,12,2,0.10889271159939044,0.6666666666666666,0.23529411764705882,2.3613527183911467,3.055555555555556,0.7407407407407407,True
AGE CONFLICT,keep repaired age_adv >= -3y,49,47,2,0.9591836734693877,0.18517257394658104,25,0.19624978674120072,24,0.17363381061885222,5,4,1,0.08999604227190434,0.3333333333333333,0.0784313725490196,0.8812641821729361,1.473922902494329,0.9074074074074074,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.15,45,43,2,0.9555555555555556,0.18185452766041335,24,0.18946959623148582,21,0.17315159215061632,9,8,1,0.14888695444704353,0.3333333333333333,0.1568627450980392,0.5494595535561669,1.1111111111111183,0.8333333333333334,True
POWER TWO-FACTOR,veto oppKD15>=0.450 AND favKDabs15>=0.150,45,43,2,0.9555555555555556,0.1809893181886465,24,0.18946959623148582,21,0.17129757185397307,9,8,1,0.1532130018058778,0.3333333333333333,0.1568627450980392,0.4629386063794816,1.1111111111111183,0.8333333333333334,True
POWER TWO-FACTOR,veto oppKD15>=0.500 AND favKDabs15>=0.150,45,43,2,0.9555555555555556,0.1809893181886465,24,0.18946959623148582,21,0.17129757185397307,9,8,1,0.1532130018058778,0.3333333333333333,0.1568627450980392,0.4629386063794816,1.1111111111111183,0.8333333333333334,True
AGE CONFLICT,keep repaired age_adv >= -2y,46,44,2,0.9565217391304348,0.17864355006764268,23,0.18525731148037322,23,0.17202978865491217,8,7,1,0.1632291289538037,0.3333333333333333,0.13725490196078433,0.22836179427909997,1.2077294685990392,0.8518518518518519,True
OLDER FAVORITE + CONSENSUS,if favorite >= 1y older require second striking method,47,45,2,0.9574468085106383,0.1782231154555909,23,0.18301195528523137,24,0.17363381061885222,7,6,1,0.1638499869041741,0.3333333333333333,0.11764705882352941,0.1863183330739232,1.3002364066193928,0.8703703703703703,True
AGE CONFLICT,keep repaired age_adv >= +2y,33,32,1,0.9696969696969697,0.19930503092424467,14,0.24934019417017128,19,0.16243701590093026,21,19,2,0.14030334829723426,0.6666666666666666,0.37254901960784315,2.2945098799392993,2.5252525252525304,0.6111111111111112,False
POWER TWO-FACTOR,veto oppKD15>=0.450 AND favKDabs15>=0.050,44,42,2,0.9545454545454546,0.17904210572323695,24,0.18946959623148582,20,0.16652911711333834,10,9,1,0.16455836829195664,0.3333333333333333,0.17647058823529413,0.2682173598385268,1.0101010101010166,0.8148148148148148,False
POWER TWO-FACTOR,veto oppKD15>=0.450 AND favKDabs15>=0.100,44,42,2,0.9545454545454546,0.17904210572323695,24,0.18946959623148582,20,0.16652911711333834,10,9,1,0.16455836829195664,0.3333333333333333,0.17647058823529413,0.2682173598385268,1.0101010101010166,0.8148148148148148,False
POWER TWO-FACTOR,veto oppKD15>=0.450 AND favKDabs15>=0.125,44,42,2,0.9545454545454546,0.17904210572323695,24,0.18946959623148582,20,0.16652911711333834,10,9,1,0.16455836829195664,0.3333333333333333,0.17647058823529413,0.2682173598385268,1.0101010101010166,0.8148148148148148,False
POWER TWO-FACTOR,veto oppKD15>=0.500 AND favKDabs15>=0.050,44,42,2,0.9545454545454546,0.17904210572323695,24,0.18946959623148582,20,0.16652911711333834,10,9,1,0.16455836829195664,0.3333333333333333,0.17647058823529413,0.2682173598385268,1.0101010101010166,0.8148148148148148,False
POWER TWO-FACTOR,veto oppKD15>=0.500 AND favKDabs15>=0.100,44,42,2,0.9545454545454546,0.17904210572323695,24,0.18946959623148582,20,0.16652911711333834,10,9,1,0.16455836829195664,0.3333333333333333,0.17647058823529413,0.2682173598385268,1.0101010101010166,0.8148148148148148,False
POWER TWO-FACTOR,veto oppKD15>=0.500 AND favKDabs15>=0.125,44,42,2,0.9545454545454546,0.17904210572323695,24,0.18946959623148582,20,0.16652911711333834,10,9,1,0.16455836829195664,0.3333333333333333,0.17647058823529413,0.2682173598385268,1.0101010101010166,0.8148148148148148,False
POWER TWO-FACTOR,veto oppKD15>=0.400 AND favKDabs15>=0.250,43,41,2,0.9534883720930233,0.17798024917245517,22,0.18258942178421042,21,0.17315159215061632,11,10,1,0.17002596548422022,0.3333333333333333,0.19607843137254902,0.16203170476034867,0.9043927648578864,0.7962962962962963,False
POWER TWO-FACTOR,veto oppKD15>=0.400 AND favKDabs15>=0.200,42,40,2,0.9523809523809523,0.17521507303230352,21,0.17727855391399072,21,0.17315159215061632,12,11,1,0.1803669389487705,0.3333333333333333,0.21568627450980393,-0.11448590925481616,0.7936507936507908,0.7777777777777778,False
AGE CONFLICT,keep repaired age_adv >= -5y,53,50,3,0.9433962264150944,0.17318129714217162,27,0.15607173986008613,26,0.19094891431972194,1,1,0,0.3448275862068966,0.0,0.0196078431372549,-0.3178634982680062,-0.10482180293500676,0.9814814814814815,False
OLDER FAVORITE + CONSENSUS,if favorite >= 5y older require second striking method,53,50,3,0.9433962264150944,0.17318129714217162,27,0.15607173986008613,26,0.19094891431972194,1,1,0,0.3448275862068966,0.0,0.0196078431372549,-0.3178634982680062,-0.10482180293500676,0.9814814814814815,False
AGE CONFLICT,keep repaired age_adv >= -4y,51,48,3,0.9411764705882353,0.1645277733498586,26,0.15024017955884686,25,0.17938687089251082,3,3,0,0.3775066312997348,0.0,0.058823529411764705,-1.183215877499308,-0.32679738562091387,0.9444444444444444,False
OLDER FAVORITE + CONSENSUS,if favorite >= 4y older require second striking method,51,48,3,0.9411764705882353,0.1645277733498586,26,0.15024017955884686,25,0.17938687089251082,3,3,0,0.3775066312997348,0.0,0.058823529411764705,-1.183215877499308,-0.32679738562091387,0.9444444444444444,False
OLDER FAVORITE + CONSENSUS,if favorite >= 3y older require second striking method,50,47,3,0.94,0.1614691224676494,26,0.15024017955884686,24,0.17363381061885222,4,4,0,0.3624950528398804,0.0,0.0784313725490196,-1.4890809657202269,-0.4444444444444473,0.9259259259259259,False
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.25,48,45,3,0.9375,0.15975345781113393,25,0.1418908123822264,23,0.17916937675559869,6,6,0,0.3092117266345941,0.0,0.11764705882352941,-1.6606474313717756,-0.694444444444442,0.8888888888888888,False
OLDER FAVORITE + CONSENSUS,if favorite >= 2y older require second striking method,49,46,3,0.9387755102040817,0.1573432604029818,25,0.14170433219574616,24,0.17363381061885222,5,5,0,0.3627233149991771,0.0,0.09803921568627451,-1.9016671721869882,-0.5668934240362744,0.9074074074074074,False
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.16,46,43,3,0.9347826086956522,0.15616203792866523,25,0.1418908123822264,21,0.17315159215061632,8,8,0,0.292497823752924,0.0,0.1568627450980392,-2.019789419618645,-0.9661835748792202,0.8518518518518519,False
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.18,46,43,3,0.9347826086956522,0.15616203792866523,25,0.1418908123822264,21,0.17315159215061632,8,8,0,0.292497823752924,0.0,0.1568627450980392,-2.019789419618645,-0.9661835748792202,0.8518518518518519,False
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.20,47,44,3,0.9361702127659575,0.1554990158450766,25,0.1418908123822264,22,0.1709628834164974,7,7,0,0.316426084289056,0.0,0.13725490196078433,-2.086091627977507,-0.8274231678486954,0.8703703703703703,False
POWER TWO-FACTOR,veto oppKD15>=0.450 AND favKDabs15>=0.200,47,44,3,0.9361702127659575,0.1554990158450766,25,0.1418908123822264,22,0.1709628834164974,7,7,0,0.316426084289056,0.0,0.13725490196078433,-2.086091627977507,-0.8274231678486954,0.8703703703703703,False
POWER TWO-FACTOR,veto oppKD15>=0.450 AND favKDabs15>=0.250,47,44,3,0.9361702127659575,0.1554990158450766,25,0.1418908123822264,22,0.1709628834164974,7,7,0,0.316426084289056,0.0,0.13725490196078433,-2.086091627977507,-0.8274231678486954,0.8703703703703703,False
POWER TWO-FACTOR,veto oppKD15>=0.500 AND favKDabs15>=0.200,47,44,3,0.9361702127659575,0.1554990158450766,25,0.1418908123822264,22,0.1709628834164974,7,7,0,0.316426084289056,0.0,0.13725490196078433,-2.086091627977507,-0.8274231678486954,0.8703703703703703,False
POWER TWO-FACTOR,veto oppKD15>=0.500 AND favKDabs15>=0.250,47,44,3,0.9361702127659575,0.1554990158450766,25,0.1418908123822264,22,0.1709628834164974,7,7,0,0.316426084289056,0.0,0.13725490196078433,-2.086091627977507,-0.8274231678486954,0.8703703703703703,False
