candidate_id,bucket,week_lo,week_hi,n,wins,losses,roi,units,trainval_n,trainval_roi,holdout_n,holdout_roi
NFL-NW141,W4_6,4,6,30,22,8,0.48043849149036816,14.413154744711045,14,0.4711849953657811,13,0.38421479906781786
NFL-NW141,W7_10,7,10,34,18,16,0.0800497396598176,2.7216911484337984,20,0.31128826112539354,6,0.06166666666666665
NFL-NW141,W11_14,11,14,18,10,8,0.13896667234429116,2.5014001021972407,13,0.09010770016901855,3,-0.31666666666666665
NFL-NW141,W15_18,15,18,14,8,6,0.1466908491830188,2.0536718885622633,7,0.45432690507395623,3,0.3419753086419754
NFL-NW142,W4_6,4,6,30,22,8,0.48043849149036816,14.413154744711045,14,0.4711849953657811,13,0.38421479906781786
NFL-NW142,W7_10,7,10,34,18,16,0.0800497396598176,2.7216911484337984,20,0.31128826112539354,6,0.06166666666666665
NFL-NW142,W11_14,11,14,18,10,8,0.13896667234429116,2.5014001021972407,13,0.09010770016901855,3,-0.31666666666666665
NFL-NW142,W15_18,15,18,14,8,6,0.1466908491830188,2.0536718885622633,7,0.45432690507395623,3,0.3419753086419754
NFL-NW143,W4_6,4,6,30,22,8,0.48043849149036816,14.413154744711045,14,0.4711849953657811,13,0.38421479906781786
NFL-NW143,W7_10,7,10,34,18,16,0.0800497396598176,2.7216911484337984,20,0.31128826112539354,6,0.06166666666666665
NFL-NW143,W11_14,11,14,18,10,8,0.13896667234429116,2.5014001021972407,13,0.09010770016901855,3,-0.31666666666666665
NFL-NW143,W15_18,15,18,14,8,6,0.1466908491830188,2.0536718885622633,7,0.45432690507395623,3,0.3419753086419754
NFL-NW153,W4_6,4,6,22,12,10,0.3336363636363636,7.34,12,0.30583333333333335,10,0.367
NFL-NW153,W7_10,7,10,25,16,9,0.5688000000000001,14.220000000000002,20,0.724,5,-0.052000000000000005
NFL-NW153,W11_14,11,14,22,10,12,0.09545454545454544,2.0999999999999996,13,-0.05615384615384615,9,0.3144444444444444
NFL-NW153,W15_18,15,18,16,8,8,0.25312500000000004,4.050000000000001,9,0.6277777777777778,7,-0.22857142857142856
NFL-NW151,W4_6,4,6,23,14,9,0.012051548289052779,0.2771856106482139,12,-0.04157650664323176,6,0.1057891495905411
NFL-NW151,W7_10,7,10,31,20,11,0.08924236822392956,2.7665134149418162,15,0.35318748448009657,4,-0.16775599128540303
NFL-NW151,W11_14,11,14,25,19,6,0.288891284622321,7.222282115558024,13,0.4327482224495944,7,0.4530793176733282
NFL-NW151,W15_18,15,18,22,13,9,-0.009871607010501144,-0.21717535423102519,11,0.08172190173728767,5,-0.01638981173864895
NFL-NW163,W4_6,4,6,59,31,28,0.2572881355932204,15.180000000000001,40,0.146,19,0.49157894736842106
NFL-NW163,W7_10,7,10,158,86,72,0.30613924050632907,48.36999999999999,109,0.3156880733944954,49,0.2848979591836735
NFL-NW163,W11_14,11,14,150,68,82,0.07273333333333333,10.91,98,0.10795918367346939,52,0.006346153846153822
NFL-NW163,W15_18,15,18,109,51,58,0.11596330275229356,12.639999999999999,71,0.15985915492957745,38,0.033947368421052636
NFL-H035,W4_6,4,6,30,15,15,0.16433333333333333,4.93,17,0.36176470588235293,13,-0.09384615384615386
NFL-H035,W7_10,7,10,36,21,15,0.4130555555555555,14.869999999999997,25,0.6519999999999999,11,-0.13
NFL-H035,W11_14,11,14,42,24,18,0.42071428571428565,17.669999999999998,29,0.20068965517241377,13,0.9115384615384614
