candidate_id,source,deployment_status,track,full_n,full_roi,trainval_n,trainval_roi,holdout_n,holdout_roi,min_week,median_week,max_week,min_prior_games,median_prior_games,W4_6_n,W4_6_share,W4_6_roi,W4_6_trainval_n,W4_6_trainval_roi,W4_6_holdout_n,W4_6_holdout_roi,W7_10_n,W7_10_share,W7_10_roi,W7_10_trainval_n,W7_10_trainval_roi,W7_10_holdout_n,W7_10_holdout_roi,W11_14_n,W11_14_share,W11_14_roi,W11_14_trainval_n,W11_14_trainval_roi,W11_14_holdout_n,W11_14_holdout_roi,W15_18_n,W15_18_share,W15_18_roi,W15_18_trainval_n,W15_18_trainval_roi,W15_18_holdout_n,W15_18_holdout_roi,recommended_start_week,timing_decision
NFL-NW112,NEXT_WAVE,WATCHLIST,LONG,129,0.4314728682170542,80,0.576875,49,0.19408163265306122,4,10.0,18,3,8.0,35,0.2713178294573643,0.27085714285714285,17,0.4094117647058823,18,0.13999999999999999,38,0.29457364341085274,0.4526315789473685,30,0.5236666666666667,8,0.18625,37,0.2868217054263566,0.41432432432432426,20,0.44650000000000006,17,0.3764705882352941,19,0.14728682170542637,0.718421052631579,13,1.1192307692307693,6,-0.15000000000000002,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW069,NEXT_WAVE,WATCHLIST,LONG,87,0.29379310344827586,53,0.269811320754717,34,0.3311764705882353,5,11.0,18,4,9.0,8,0.09195402298850575,0.6025,4,0.9675,4,0.23750000000000004,30,0.3448275862068966,0.10200000000000002,21,0.13619047619047625,9,0.022222222222222216,30,0.3448275862068966,0.409,16,0.288125,14,0.5471428571428572,19,0.21839080459770116,0.2847368421052632,12,0.24666666666666667,7,0.35000000000000003,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW105,NEXT_WAVE,WATCHLIST,MODERN,122,0.1778328596455265,65,0.2150841724465845,30,0.22140855917820063,4,9.0,17,3,7.0,37,0.30327868852459017,0.4760855507195656,16,0.4141618709450584,15,0.34231949252544214,41,0.3360655737704918,0.04093135029718655,24,0.2591967072800109,8,0.041442307692307695,23,0.1885245901639344,0.2238515760601473,16,0.12705449772931893,3,-0.31666666666666665,21,0.1721311475409836,-0.1307775291160827,9,-0.09996796272025626,4,0.5314814814814816,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW116,NEXT_WAVE,WATCHLIST,LONG,319,0.22905956112852666,208,0.24740384615384617,111,0.19468468468468472,5,11.0,18,4,9.0,34,0.10658307210031348,0.19970588235294115,21,0.0504761904761905,13,0.44076923076923075,110,0.3448275862068966,0.3472727272727272,73,0.39041095890410965,37,0.2621621621621622,102,0.31974921630094044,0.15843137254901957,71,0.11521126760563383,31,0.2574193548387097,73,0.22884012539184953,0.16328767123287674,43,0.3190697674418605,30,-0.059999999999999984,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW106,NEXT_WAVE,WATCHLIST,LONG,76,0.3075,62,0.3398387096774194,14,0.16428571428571428,4,8.0,18,3,7.0,30,0.39473684210526316,0.1013333333333333,24,0.19333333333333333,6,-0.26666666666666666,12,0.15789473684210525,-0.1508333333333333,10,-0.291,2,0.55,14,0.18421052631578946,0.6335714285714287,13,0.7592307692307693,1,-1.0,20,0.2631578947368421,0.6635,15,0.6313333333333334,5,0.76,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW113,NEXT_WAVE,WATCHLIST,LONG,92,0.40586956521739126,63,0.5025396825396825,29,0.19586206896551725,4,10.0,17,3,8.0,27,0.29347826086956524,0.06111111111111109,18,0.07444444444444445,9,0.03444444444444442,21,0.22826086956521738,0.8247619047619048,18,1.008888888888889,3,-0.28,24,0.2608695652173913,0.58375,13,0.4846153846153846,11,0.700909090909091,20,0.21739130434782608,0.21800000000000003,14,0.41857142857142854,6,-0.24999999999999997,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW075,NEXT_WAVE,WATCHLIST,LONG,293,0.2710921501706484,204,0.2668627450980392,89,0.28078651685393263,4,12.0,18,3,10.0,53,0.18088737201365188,0.3983018867924528,41,0.45268292682926825,12,0.2125,71,0.24232081911262798,0.2861971830985916,48,0.296875,23,0.2639130434782608,88,0.3003412969283277,0.2736363636363636,59,0.22440677966101696,29,0.3737931034482759,81,0.2764505119453925,0.17185185185185184,56,0.14982142857142858,25,0.22119999999999998,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW117,NEXT_WAVE,WATCHLIST,MODERN,104,0.2031190918042141,48,0.2854898640174195,25,0.1641537178816057,4,11.0,18,3,9.0,23,0.22115384615384615,0.18525302847771116,9,0.28055008473793247,9,0.2828700955780744,27,0.25961538461538464,0.12822599964993053,12,0.20696649432189596,5,0.14741206554646172,20,0.19230769230769232,0.3001538552501916,9,0.2793727169567957,3,0.5190435280641467,34,0.3269230769230769,0.21759961167938102,18,0.34336724031782384,8,-0.09202235313590948,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW118,NEXT_WAVE,RESEARCH_ONLY,MODERN,104,0.2031190918042141,48,0.2854898640174195,25,0.1641537178816057,4,11.0,18,3,9.0,23,0.22115384615384615,0.18525302847771116,9,0.28055008473793247,9,0.2828700955780744,27,0.25961538461538464,0.12822599964993053,12,0.20696649432189596,5,0.14741206554646172,20,0.19230769230769232,0.3001538552501916,9,0.2793727169567957,3,0.5190435280641467,34,0.3269230769230769,0.21759961167938102,18,0.34336724031782384,8,-0.09202235313590948,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW111,NEXT_WAVE,WATCHLIST,MODERN,118,0.1573759001624826,58,0.23839685246711212,28,0.1936012550359289,4,11.0,18,3,9.0,24,0.2033898305084746,0.029072361673480013,11,0.0554244327459908,8,0.2900388466112662,32,0.2711864406779661,0.07394343871168671,18,0.03337646559678256,5,0.14455783516929555,21,0.17796610169491525,0.23997867784223562,7,0.451628315481448,5,0.17885487528344673,41,0.3474576271186441,0.2552896894036221,22,0.4297806406261083,10,0.1483460815852168,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
