event_date,year,player1,player2,player1_url,player2_url,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,date_offset_days,snapshot_mode,fight_url,source,region
2024-02-24,2024,Cristian Quinonez,Raoni Barcelos,http://ufcstats.com/fighter-details/7debc13b36343605,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,Raoni Barcelos,Cristian Quinonez,36.81937342998145,27.83082472603818,-8.988548703943266,0.593369754159424,1.617283950617284,True,30.864197530864203,0,historical_import_fallback,http://ufcstats.com/fight-details/063e7ce759c52f81,zewnetrzne,us
2024-02-24,2024,Yair Rodriguez,Brian Ortega,http://ufcstats.com/fighter-details/cbf5e6f231b55443,http://ufcstats.com/fighter-details/def8166ff24bd237,Yair Rodriguez,Brian Ortega,31.38462802110926,33.008206876253446,1.623578855144185,0.5996387718242023,1.6024096385542168,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/3b05a4ced6dd74f5,zewnetrzne,us
2024-02-24,2024,Yazmin Jauregui,Sam Hughes,http://ufcstats.com/fighter-details/40cb680ae1cd331f,http://ufcstats.com/fighter-details/e94085e821bd81de,Yazmin Jauregui,Sam Hughes,24.988877252784107,31.658418721808115,6.669541469024008,0.8524590163934427,1.125,True,6.25,0,historical_import_fallback,http://ufcstats.com/fight-details/6e4acb2aaa2cee56,zewnetrzne,us
2024-02-24,2024,Daniel Zellhuber,Francisco Prado,http://ufcstats.com/fighter-details/4148802ae4a50768,http://ufcstats.com/fighter-details/3920d0cc288f9b0d,Daniel Zellhuber,Francisco Prado,24.63568724888259,21.692437216369946,-2.943250032512644,0.7408716136631331,1.2941176470588236,True,14.70588235294118,0,historical_import_fallback,http://ufcstats.com/fight-details/ecbece0cbd60029e,zewnetrzne,us
2024-02-24,2024,Manuel Torres,Chris Duncan,http://ufcstats.com/fighter-details/2e7878927067fdca,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,Manuel Torres,Chris Duncan,28.920511714819607,30.793240107599743,1.872728392780136,0.6037569709421778,1.5882352941176472,True,29.41176470588236,0,historical_import_fallback,http://ufcstats.com/fight-details/673a156925dfb31d,zewnetrzne,us
2024-02-24,2024,Victor Altamirano,Felipe dos Santos,http://ufcstats.com/fighter-details/dc7927cd622676a7,http://ufcstats.com/fighter-details/5cdf5339728f580d,Felipe dos Santos,Victor Altamirano,23.452911421863558,33.08760617945612,9.634694757592559,0.7095435684647303,1.350877192982456,True,17.543859649122794,0,historical_import_fallback,http://ufcstats.com/fight-details/93ddc6b233d1956a,zewnetrzne,us
2024-02-24,2024,Brandon Moreno,Brandon Royval,http://ufcstats.com/fighter-details/792be9a24df82ed6,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15,Brandon Moreno,Brandon Royval,30.21554172912517,31.524261278465676,1.3087195493405055,0.7220792588780237,1.3278688524590163,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/74f5cbecac011abb,zewnetrzne,us
2024-02-24,2024,Edgar Chairez,Daniel Lacerda,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,http://ufcstats.com/fighter-details/31bb0772f21cabd8,Edgar Chairez,Daniel Lacerda,28.077236356667147,27.721308445758638,-0.35592791090850895,0.8,1.2,True,9.999999999999998,0,historical_import_fallback,http://ufcstats.com/fight-details/1c03c1bb62f3aed6,zewnetrzne,us
2024-02-24,2024,Erik Silva,Muhammad Naimov,http://ufcstats.com/fighter-details/21b813b919776d90,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Muhammad Naimov,Erik Silva,29.550230326426963,36.94531715230292,7.395086825875957,0.8118668596237336,1.181818181818182,True,9.090909090909104,0,historical_import_fallback,http://ufcstats.com/fight-details/50dae6b76c9c6490,zewnetrzne,us
2024-02-24,2024,Claudio Puelles,Fares Ziam,http://ufcstats.com/fighter-details/d747eb273a40a920,http://ufcstats.com/fighter-details/1e4f273069fb9e85,Fares Ziam,Claudio Puelles,26.93005332073896,27.844514261073122,0.9144609403341626,0.6574752261956054,1.4587155963302751,True,22.935779816513758,0,historical_import_fallback,http://ufcstats.com/fight-details/a376f6d5806d0c90,zewnetrzne,us
2024-02-24,2024,Jesus Aguilar,Mateus Mendonca,http://ufcstats.com/fighter-details/c051c2e12d692b8a,http://ufcstats.com/fighter-details/48812daf291a4e23,Mateus Mendonca,Jesus Aguilar,25.103869347077627,27.951292634345673,2.8474232872680467,0.551441114716549,1.7407407407407407,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/d1d3b6ab8a56e973,zewnetrzne,us
2024-03-02,2024,Alex Perez,Muhammad Mokaev,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,http://ufcstats.com/fighter-details/75353550928a7921,Muhammad Mokaev,Alex Perez,23.58980677221298,31.948636864548895,8.358830092335914,0.771505376344086,1.2439024390243902,True,12.195121951219512,0,historical_import_fallback,http://ufcstats.com/fight-details/5a82757b553c40fc,zewnetrzne,us
