track,price_band,venue,concept,conditions,full_n,full_wins,full_win_pct,full_roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,positive_season_ratio,recent_delta,weather_research_only,preferred,score
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.4876835335517534], [""rank_edge_third_down_success"", "">="", 1.0]]",117,65,0.5555555555555556,0.338034188034188,60,0.18433333333333332,23,0.7008695652173912,34,0.36382352941176466,0.75,-0.07877791986359761,False,False,0.4139580943107207
LONG,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate_edge"", ""<="", -0.04185443170951321], [""rank_edge_fg_accuracy"", ""<="", 10.125]]",87,71,0.8160919540229885,0.17951462212714533,34,0.11482511460816242,18,0.12552029221992952,35,0.2701243705264398,0.75,0.14995166711239383,False,False,0.40812045481052733
LONG,FAV65_75,AWAY,ROAD_STREAK,"[[""road_games_prev5"", "">="", 2.0], [""recent_edge_penalty_yards"", ""<="", -17.75]]",85,69,0.8117647058823529,0.16490284114873288,36,0.12303887478728091,27,0.15918458141722017,22,0.24042537759251087,0.85,0.09931364949026034,False,False,0.40571522948510613
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.462580750311148], [""recent_edge_punt_return_average"", "">="", 4.1111111111111125]]",104,63,0.6057692307692307,0.4222115384615384,44,0.5881818181818181,29,0.32241379310344825,31,0.27999999999999997,0.8,-0.17529780564263325,False,False,0.40559462417453607
LONG,DOG35_44,AWAY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.46563781414931504], [""rank_edge_third_down_success"", "">="", 1.0]]",83,50,0.6024096385542169,0.49481927710843376,35,0.7937142857142857,16,0.335625,32,0.2475,0.8,-0.31716964285714283,False,False,0.405328157128679
LONG,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.48411676837020085], [""recent_edge_kick_return_average"", "">="", 3.668055555555556]]",84,69,0.8214285714285714,0.1732450089361951,28,0.18730692589371664,31,0.1109558693853498,25,0.23473419498681913,0.85,0.0856027973472859,False,False,0.4046244193585057
LONG,DOG35_44,AWAY,ROAD_STREAK,"[[""road_games_prev5"", "">="", 3.0], [""rank_edge_punt_return_average"", "">="", 0.0]]",108,57,0.5277777777777778,0.3298148148148148,43,0.5362790697674419,28,0.0692857142857143,37,0.28702702702702704,0.8,-0.015755364999551047,False,False,0.40391743428238613
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.4876835335517534], [""recent_edge_def_allowed_early_down_epa"", ""<="", -0.0918458548246622]]",73,45,0.6164383561643836,0.496027397260274,29,0.6344827586206896,15,0.8140000000000001,29,0.19310344827586207,0.85,-0.5311379310344828,False,False,0.39828396899946866
LONG,DOG35_44,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.42752740560292324], [""recent_edge_punt_net_average"", "">="", 3.636002886002888]]",143,76,0.5314685314685315,0.35307692307692307,72,0.4588888888888889,28,0.16749999999999998,43,0.29674418604651165,0.7,-0.016450258397932793,False,False,0.3972628942146663
MODERN,DOG35_49,AWAY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.4449241924851681], [""recent_edge_third_down_success"", "">="", 0.0056869300290353]]",164,96,0.5853658536585366,0.38182926829268293,41,0.4697560975609756,18,0.3222222222222222,48,0.26895833333333335,0.75,-0.12703082655826553,False,False,0.3945429966076966
