method_id,week,n,wins,losses,win_pct,roi,units
US010,11,14,13,1,0.9285714285714286,0.555192694373975,7.772697721235651
US010,12,12,6,6,0.5,-0.1740397259885956,-2.088476711863147
US010,13,15,9,6,0.6,-0.012688628537930602,-0.19032942806895903
US010,14,10,8,2,0.8,0.31352139261537504,3.1352139261537504
US010,15,12,8,4,0.6666666666666666,0.10217974280135539,1.2261569136162647
US010,16,11,6,5,0.5454545454545454,-0.10028708602531453,-1.1031579462784598
US010,17,7,6,1,0.8571428571428571,0.3604261914489179,2.5229833401424253
US010,18,3,1,2,0.3333333333333333,-0.4516129032258065,-1.3548387096774195
US011,4,23,15,8,0.6521739130434783,0.4969565217391304,11.43
US011,5,13,7,6,0.5384615384615384,0.3507692307692307,4.56
US011,6,21,9,12,0.42857142857142855,0.07761904761904766,1.6300000000000008
US011,7,23,13,10,0.5652173913043478,0.34347826086956523,7.9
US011,8,25,12,13,0.48,0.15400000000000003,3.8500000000000005
US011,9,18,10,8,0.5555555555555556,0.33444444444444443,6.02
US011,10,27,13,14,0.48148148148148145,0.1937037037037037,5.23
US011,11,32,10,22,0.3125,-0.2146875,-6.87
US011,12,23,9,14,0.391304347826087,-0.053478260869565225,-1.2300000000000002
US011,13,25,12,13,0.48,0.11,2.75
US011,14,26,9,17,0.34615384615384615,-0.14884615384615382,-3.8699999999999997
US011,15,28,17,11,0.6071428571428571,0.5071428571428572,14.200000000000001
US011,16,30,16,14,0.5333333333333333,0.3303333333333333,9.91
US011,17,12,3,9,0.25,-0.43,-5.16
US011,18,6,2,4,0.3333333333333333,-0.18666666666666665,-1.1199999999999999
