method_id,depth,features,pre_roi,pre_improvement,pre_retained,score
US005,2,FEATURE:rank_edge_pass_epa_per_dropback <= -7.0 | FEATURE:adv_altitude_change_ft >= 562.0,0.43368055555555557,0.18357539883159196,0.6139240506329114,0.42095903656821376
US005,2,FEATURE:rank_edge_pass_epa_per_dropback <= -7.0 | FEATURE:qb_prior_starts <= 5.0,0.48707605633802814,0.23697089961406453,0.6075949367088608,0.47422795507220533
US005,2,FEATURE:prior_road_miles_last4 <= 560.8951840204854 | FEATURE:rank_edge_punt_return_average <= -8.399999999999999,0.46177059496567513,0.21166543824171152,0.6265822784810127,0.4493022405352954
US005,2,FEATURE:prior_road_miles_last4 <= 560.8951840204854 | FEATURE:opp_prior_road_miles_last2 <= 236.61916746283418,0.4466839916839917,0.1965788349600281,0.6329113924050633,0.43434221953209295
US005,2,FEATURE:prior_road_miles_last4 <= 560.8951840204854 | FEATURE:rank_edge_punt_net_average <= -12.0,0.47743838028169017,0.22733322355772656,0.6012658227848101,0.46446369673738636
US005,2,FEATURE:prior_road_miles_last4 <= 560.8951840204854 | FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143,0.4607638888888889,0.2106587321649253,0.6265822784810127,0.44829553445850917
US005,2,FEATURE:prior_road_miles_last4 <= 560.8951840204854 | FEATURE:adv_altitude_change_ft >= 562.0,0.4485407407407407,0.19843558401677708,0.6455696202531646,0.43645213314580394
US005,2,FEATURE:prior_road_miles_last4 <= 560.8951840204854 | FEATURE:qb_prior_starts <= 5.0,0.45085714285714285,0.20075198613317924,0.620253164556962,0.43826220614828204
US005,2,FEATURE:rank_edge_punt_return_average <= -8.399999999999999 | FEATURE:opp_prior_road_miles_last2 <= 236.61916746283418,0.4590027027027027,0.2088975459787391,0.6265822784810127,0.44653434827232297
US005,2,FEATURE:rank_edge_punt_return_average <= -8.399999999999999 | FEATURE:rank_edge_punt_net_average <= -12.0,0.4776538461538462,0.2275486894298826,0.6075949367088608,0.4648057448880234
US005,2,FEATURE:rank_edge_punt_return_average <= -8.399999999999999 | FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143,0.46310344827586214,0.21299829155189853,0.6518987341772152,0.4511414229594064
US005,2,FEATURE:rank_edge_punt_return_average <= -8.399999999999999 | FEATURE:adv_altitude_change_ft >= 562.0,0.41873373373373374,0.16862857700977013,0.6392405063291139,0.406518543860316
US005,2,FEATURE:rank_edge_punt_return_average <= -8.399999999999999 | FEATURE:qb_prior_starts <= 5.0,0.47711083743842364,0.22700568071446003,0.6265822784810127,0.4646424830080439
US005,2,FEATURE:recent_edge_def_allowed_early_down_epa >= 0.03214186733363575 | FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143,0.40481043956043955,0.15470528283647594,0.5886075949367089,0.39158259145917373
US005,2,FEATURE:opp_prior_road_miles_last2 <= 236.61916746283418 | FEATURE:rank_edge_punt_net_average <= -12.0,0.4255059523809524,0.1754007956569888,0.6329113924050633,0.41316418022905366
US005,2,FEATURE:opp_prior_road_miles_last2 <= 236.61916746283418 | FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143,0.45584264205925207,0.20573748533528846,0.6329113924050633,0.4435008699073533
US005,2,FEATURE:opp_prior_road_miles_last2 <= 236.61916746283418 | FEATURE:adv_altitude_change_ft >= 562.0,0.3881936936936937,0.1380885369697301,0.6582278481012658,0.37635825065571904
US005,2,FEATURE:opp_prior_road_miles_last2 <= 236.61916746283418 | FEATURE:qb_prior_starts <= 5.0,0.38643607305936073,0.13633091633539712,0.6518987341772152,0.374474047742905
US005,2,FEATURE:rank_edge_punt_net_average <= -12.0 | FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143,0.3752777777777778,0.12517262105381421,0.6645569620253164,0.36356891701828414
US005,2,FEATURE:rank_edge_punt_net_average <= -12.0 | FEATURE:adv_altitude_change_ft >= 562.0,0.34031249999999996,0.09020734327603636,0.6582278481012658,0.3284770569620253
US005,2,FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143 | FEATURE:adv_altitude_change_ft >= 562.0,0.36700392156862743,0.11689876484466383,0.689873417721519,0.35580138992305776
US005,2,FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143 | FEATURE:qb_prior_starts <= 5.0,0.3709285714285714,0.12082341470460778,0.6645569620253164,0.3592197106690777
US005,2,FEATURE:adv_altitude_change_ft >= 562.0 | FEATURE:qb_prior_starts <= 5.0,0.37129004329004334,0.12118488656607973,0.6392405063291139,0.3590748534166256
US006,1,FEATURE:adv_road_miles_last4_including_current <= 46.981456936549954,0.5415769230769231,0.26722115384615386,0.6212121212121212,0.5540011655011655
US006,1,FEATURE:rank_edge_punt_net_average <= -5.0,0.5159374999999999,0.24158173076923073,0.5909090909090909,0.5277556818181818
US006,1,FEATURE:rank_edge_def_allowed_pass_epa_per_dropback <= -5.350000000000001,0.5027991452991453,0.22844337606837606,0.6666666666666666,0.5161324786324786
US006,1,FEATURE:fatigue_load_index >= 1.2576974558676897,0.49942307692307697,0.22506730769230776,0.6363636363636364,0.5121503496503497
US007,1,FEATURE:recent_edge_def_allowed_explosive_rate <= 0.0023370835186801364,0.29154422399653296,0.13887649332892715,0.65,0.30454422399653297
US007,1,FEATURE:recent_edge_points_for >= 9.049999999999999,0.26332317984756237,0.11065544917995657,0.68,0.2769231798475624
US007,1,FEATURE:rank_edge_early_down_epa >= 16.0,0.25470874698444906,0.10204101631684326,0.67,0.2681087469844491
US007,1,FEATURE:recent_edge_off_epa >= 9.633203715648454,0.23559612356736126,0.08292839289975545,0.66,0.24879612356736125
US007,1,FEATURE:recent_edge_off_epa_per_play >= 0.1755274046956585,0.23334314612562818,0.08067541545802237,0.66,0.24654314612562817
US007,1,FEATURE:rank_edge_def_allowed_yards_per_play <= 1.0,0.23322770896201228,0.08055997829440648,0.62,0.24562770896201228
US007,1,FEATURE:recent_edge_def_allowed_giveaway_rate >= 0.01530608732337508,0.22814068459901785,0.07547295393141204,0.67,0.24154068459901784
US007,1,FEATURE:recent_edge_sack_or_hit_rate >= 0.03499473549785348,0.22685163348402426,0.07418390281641846,0.63,0.23945163348402426
US007,2,FEATURE:recent_edge_points_for >= 9.049999999999999 | FEATURE:recent_edge_off_epa_per_play >= 0.1755274046956585,0.2795454711178549,0.12687774045024908,0.58,0.26614547111785486
US008,1,TIMING:W11_14 IN 11-14,0.48617391304347835,0.27331625668114906,0.6744186046511628,0.4996622851365016
US008,1,FEATURE:recent_edge_yards_per_play <= 0.08176873928376835,0.48140172101449274,0.26854406465216346,0.5872093023255814,0.49314590706100436
