method_id,season,week,game_id,team,opponent,moneyline
US005,2006,5,2006_05_STL_GB,GB,LA,118.0
US005,2006,9,2006_09_GB_BUF,GB,BUF,168.0
US005,2008,10,2008_10_GB_MIN,GB,MIN,119.0
US005,2010,14,2010_14_BAL_HOU,HOU,BAL,131.0
US005,2023,5,2023_05_HOU_ATL,HOU,ATL,120.0
US005,2010,9,2010_09_IND_PHI,IND,PHI,146.0
US005,2012,6,2012_06_IND_NYJ,IND,NYJ,166.0
US005,2018,4,2018_04_HOU_IND,IND,HOU,104.0
US005,2023,14,2023_14_IND_CIN,IND,CIN,124.0
US005,2006,17,2006_17_JAX_KC,JAX,KC,129.0
US005,2016,13,2016_13_DEN_JAX,JAX,DEN,160.0
US005,2022,6,2022_06_JAX_IND,JAX,IND,110.0
US005,2007,5,2007_05_JAX_KC,KC,JAX,122.0
US005,2024,12,2024_12_PHI_LA,LA,PHI,142.0
US005,2025,16,2025_16_LA_SEA,LA,SEA,102.0
US005,2006,6,2006_06_SEA_STL,LA,SEA,136.0
US005,2008,16,2008_16_SF_STL,LA,SF,173.0
US005,2011,9,2011_09_STL_ARI,LA,ARI,106.0
US005,2019,7,2019_07_LAC_TEN,LAC,TEN,141.0
US005,2023,6,2023_06_DAL_LAC,LAC,DAL,110.0
US005,2021,11,2021_11_CIN_LV,LV,CIN,112.0
US005,2025,9,2025_09_JAX_LV,LV,JAX,110.0
US005,2013,14,2013_14_OAK_NYJ,LV,NYJ,140.0
US005,2017,4,2017_04_OAK_DEN,LV,DEN,166.0
US005,2017,8,2017_08_OAK_BUF,LV,BUF,116.0
US005,2006,6,2006_06_MIA_NYJ,MIA,NYJ,115.0
US005,2009,17,2009_17_PIT_MIA,MIA,PIT,133.0
US005,2017,11,2017_11_TB_MIA,MIA,TB,108.0
US005,2017,17,2017_17_BUF_MIA,MIA,BUF,118.0
US005,2021,17,2021_17_MIA_TEN,MIA,TEN,151.0
US005,2023,4,2023_04_MIA_BUF,MIA,BUF,120.0
US005,2006,4,2006_04_MIN_BUF,MIN,BUF,119.0
US005,2018,14,2018_14_MIN_SEA,MIN,SEA,151.0
US005,2023,11,2023_11_MIN_DEN,MIN,DEN,120.0
US005,2025,15,2025_15_BUF_NE,NE,BUF,120.0
US005,2006,17,2006_17_CAR_NO,NO,CAR,144.0
US005,2010,15,2010_15_NO_BAL,NO,BAL,113.0
US005,2012,12,2012_12_SF_NO,NO,SF,115.0
US005,2024,6,2024_06_TB_NO,NO,TB,145.0
US005,2024,13,2024_13_LA_NO,NO,LA,120.0
US005,2025,6,2025_06_NE_NO,NO,NE,160.0
US005,2022,8,2022_08_NYG_SEA,NYG,SEA,147.0
US005,2016,4,2016_04_SEA_NYJ,NYJ,SEA,102.0
US005,2020,17,2020_17_NYJ_NE,NYJ,NE,145.0
US005,2021,11,2021_11_MIA_NYJ,NYJ,MIA,162.0
US005,2018,14,2018_14_PHI_DAL,PHI,DAL,166.0
US005,2011,15,2011_15_PIT_SF,PIT,SF,144.0
US005,2021,12,2021_12_PIT_CIN,PIT,CIN,154.0
US005,2010,12,2010_12_KC_SEA,SEA,KC,108.0
US005,2010,14,2010_14_SEA_SF,SEA,SF,182.0
US005,2013,14,2013_14_SEA_SF,SEA,SF,118.0
