method_id,feature,op,threshold,pre_score,confirmed_holdout,base_train_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,base_validation_roi,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,base_holdout_roi,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,holdout_retained_share
RS001,opp_prior_road_miles_last3,<=,1466.151712515187,1.2894164715066356,True,0.2615,20,0.3,-0.24099999999999996,0.764,0.19999999999999996,0.30619047619047624,7,0.2857142857142857,-0.33571428571428574,0.6271428571428572,0.23809523809523814,0.6759999999999999,11,0.45454545454545453,0.12181818181818181,1.1114285714285714,0.22545454545454546,0.56
RS001,opp_prior_road_miles_last3,<=,1971.4778431023626,1.400942502852339,True,0.2615,26,0.38461538461538464,-0.031153846153846147,0.805,0.11538461538461542,0.30619047619047624,8,0.25,-0.41875,0.7523076923076923,0.27380952380952384,0.6759999999999999,14,0.5,0.24785714285714283,1.220909090909091,0.18000000000000005,0.44
RS001,opp_prior_road_miles_last4,<=,1202.8092832201924,0.7847348375668048,True,0.2615,14,0.2857142857142857,-0.28571428571428564,0.5561538461538462,0.2142857142857143,0.30619047619047624,5,0.4,-0.07000000000000002,0.42375,0.12380952380952381,0.6759999999999999,7,0.42857142857142855,0.06999999999999999,0.9116666666666666,0.25142857142857145,0.72
RS001,opp_prior_road_miles_last4,<=,1890.8678135781097,0.970640905542545,True,0.2615,20,0.35,-0.1275,0.6505000000000001,0.15000000000000002,0.30619047619047624,6,0.3333333333333333,-0.225,0.5186666666666667,0.19047619047619058,0.6759999999999999,13,0.46153846153846156,0.13384615384615386,1.2633333333333334,0.21846153846153848,0.48
RS001,opp_prior_road_miles_last5,<=,1282.1200143970832,0.7847348375668046,True,0.2615,14,0.2857142857142857,-0.28571428571428564,0.556153846153846,0.2142857142857143,0.30619047619047624,5,0.4,-0.07000000000000002,0.42375,0.12380952380952381,0.6759999999999999,4,0.25,-0.4325,0.8871428571428571,0.43000000000000005,0.84
RS001,opp_prior_road_miles_last5,<=,2290.881531592865,0.6148450429352069,True,0.2615,20,0.4,0.015000000000000003,0.5080000000000001,0.09999999999999998,0.30619047619047624,7,0.42857142857142855,0.015714285714285698,0.45142857142857146,0.09523809523809523,0.6759999999999999,13,0.5384615384615384,0.3061538461538461,1.0766666666666667,0.1415384615384616,0.48
RS001,opp_road_miles_last4_including_current,<=,1084.2572731409475,0.9527018705338377,True,0.2615,14,0.21428571428571427,-0.4649999999999999,0.6526923076923077,0.2857142857142857,0.30619047619047624,5,0.4,-0.07000000000000002,0.42375,0.12380952380952381,0.6759999999999999,7,0.42857142857142855,0.06999999999999999,0.9116666666666666,0.25142857142857145,0.72
RS001,opp_road_miles_last4_including_current,<=,1466.151712515187,1.2894164715066356,True,0.2615,20,0.3,-0.24099999999999996,0.764,0.19999999999999996,0.30619047619047624,7,0.2857142857142857,-0.33571428571428574,0.6271428571428572,0.23809523809523814,0.6759999999999999,11,0.45454545454545453,0.12181818181818181,1.1114285714285714,0.22545454545454546,0.56
RS001,opp_road_miles_last4_including_current,<=,1971.4778431023626,1.400942502852339,True,0.2615,26,0.38461538461538464,-0.031153846153846147,0.805,0.11538461538461542,0.30619047619047624,8,0.25,-0.41875,0.7523076923076923,0.27380952380952384,0.6759999999999999,14,0.5,0.24785714285714283,1.220909090909091,0.18000000000000005,0.44
RS001,opp_road_miles_last5_including_current,<=,1202.8092832201924,0.7847348375668048,True,0.2615,14,0.2857142857142857,-0.28571428571428564,0.5561538461538462,0.2142857142857143,0.30619047619047624,5,0.4,-0.07000000000000002,0.42375,0.12380952380952381,0.6759999999999999,7,0.42857142857142855,0.06999999999999999,0.9116666666666666,0.25142857142857145,0.72
RS001,opp_road_miles_last5_including_current,<=,1890.8678135781097,0.970640905542545,True,0.2615,20,0.35,-0.1275,0.6505000000000001,0.15000000000000002,0.30619047619047624,6,0.3333333333333333,-0.225,0.5186666666666667,0.19047619047619058,0.6759999999999999,13,0.46153846153846156,0.13384615384615386,1.2633333333333334,0.21846153846153848,0.48
